prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,akses_internet_sekolah_kita
Bali,Kab. Badung,Kuta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/453609A8-61BB-45A2-AA8A-336447E8F97B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9990380,LKP Bali Education Center,K9990380,"Ruko Sunset Indah I, Jl. Sunset Road Nol 89 Kav.1",KUTA,KEC. KUTA,KAB. BADUNG,PROV. BALI,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,AHU-0010073.AH.01.04.Tahun 2015,28-07-2015,71 Tahun 2020,19-03-2020,Lihat SK Operasional,2020-06-16 14,,185,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,KBK Teknologi dan Rekayasa,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Bali,Kab. Badung,Kuta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2CC08E48-0F4B-43CE-9946-8DA2B3658CAD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5650087,LKP Bina Ilmu Courses Institution (BICI),K5650087,Jl Kubu Anyar No 18 Kuta Badung Bali 80362,TUBAN,KEC. KUTA,KAB. BADUNG,PROV. BALI,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Bali,Kab. Badung,Kuta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B156B77F-1286-41C3-A98C-AF0556098734,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5667896,LKP Dekadi Dwipa Jagadhita,K5667896,"Ruko Segitiga Emas No. 11A, Jl. By Pass Ngurah Rai Kuta",KUTA,KEC. KUTA,KAB. BADUNG,PROV. BALI,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,431 TAHUN 2017,24-02-2017,431 TAHUN 2017,24-02-2017,Lihat SK Operasional,2017-06-09 09,,40,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Bali,Kab. Badung,Kuta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/48E0CE83-D4DA-4DB0-A3F7-31E3550BBD10,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5650089,LKP English First,K5650089,Jl. Boulevard Sunset Road 819 Blok 2-3 Kuta Badung,KUTA,KEC. KUTA,KAB. BADUNG,PROV. BALI,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,,,,Silakan Upload SK,,B,0,,2.,,758900,756700,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Bali,Kab. Badung,Kuta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7F2ABEF7-CC4B-46A2-9B55-2EC07300196C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5650141,LKP Prshanty Nilayam,K5650141,"Jl. Kubu Anyar No.21 Kuta, Bandung, Bali 80361",KUTA,KEC. KUTA,KAB. BADUNG,PROV. BALI,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,,,,,Silakan Upload SK,,B,0,,2.,,0361768227,0361754516,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Bali,Kab. Badung,Kuta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A262EEB3-AA19-4BA5-B1A1-7AA022B84BF1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997065,LKP SIP SPA,K9997065,"Jl. Basangkasa No.35, Lingk. Basangkasa",SEMINYAK,KEC. KUTA,KAB. BADUNG,PROV. BALI,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,AHU.0012168.AH.01.04. Tahun 2016,15-08-2016,53 TAHUN 2021,03-03-2021,Lihat SK Operasional,2021-03-08 16,,290,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,KBK Kesehatan,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Bali,Kab. Badung,Kuta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1A303055-191E-4A06-B06E-8BF1CB34D137,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5650095,LKP Widya Guna,K5650095,Jl. Raya Tuban No 20 Badung Bali,TUBAN,KEC. KUTA,KAB. BADUNG,PROV. BALI,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Bali,Kab. Badung,Kuta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DAC54F7C-958B-485F-9325-0A5AF8559EAF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997359,LKP YAYASAN ELEMENT PELANGI,K9997359,"Jl. Uluwatu No.31.B, Lingk. Kubu Alit",KEDONGANAN,KEC. KUTA,KAB. BADUNG,PROV. BALI,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,AHU-0015997.AH.01.04.Tahun 2018,16-11-2018,149 TAHUN 2020,10-08-2020,Lihat SK Operasional,2022-02-23 23,,500,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,KBK Bahasa,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Bali,Kab. Badung,Kuta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E19F8297-FB51-4250-8C73-A34C25138261,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997481,LKP. PACIFIC INTERNATIONAL BEAUTY INSTITUTE,K9997481,"Komplek Pertokoan Tuban Plaza No.11-12, By Pass Ngurah Rai",TUBAN,KEC. KUTA,KAB. BADUNG,PROV. BALI,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,AHU-AHA.01.03-0227375,31-07-2018,141 Tahun 2021,23-08-2021,Lihat SK Operasional,2021-09-03 18,,355,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,KBK Kesehatan,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Bali,Kab. Badung,Kuta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4E0AE99C-2C24-48F6-80E7-5E3BD5CD43A5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9998303,PKBM META MORPHOO ACADEMY,P9998303,"Jl. Sunset Road No. 28, Lingkungan Basangkasa",SEMINYAK,KEC. KUTA,KAB. BADUNG,PROV. BALI,SWASTA,PKBM,Paket A,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Intan Eduka,AI7165,188 TAHUN 2022,19-05-2022,006/PKBM-MMA/R/X/2022,16-11-2022,Lihat SK Operasional,2023-04-12 16,,0,1. -,2. Lainnya (Satelit),PLN,,,,,.000000000000,.000000000000,6,0,0,6,2013,Sehari Penuh/5 hari,,2022/2023-2,"4,000",6,0,0,2,0,0,8,0,6,0,0,0,0,6,0,1,5,6,0,0,0,0,0,0,1,5,6,0,0,0,0,0,0,0,Tidak Ada
