prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12
Jawa Tengah,Kab. Pati,Trangkil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/95C0B369-0C4B-4FD5-8193-6E2A63062575,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69894831,MA Maslakul Ulum Trangkil,69894831,Ds.Trangkil Kec Trangkil,TRANGKIL,KEC. TRANGKIL,KAB. PATI,PROV. JAWA TENGAH,SWASTA,MA,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,C,0,,2.,,,,,,-6.665500000000,111.677400000000,0,31,8,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Tengah,Kab. Pati,Trangkil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/16D62588-6A16-444C-97F3-DEAA3694B5B8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70033245,MA RAUDLATUL ULUM 2,70033245,Jl. Raya Juwana - Tayu Km. 07,GUYANGAN,KEC. TRANGKIL,KAB. PATI,PROV. JAWA TENGAH,SWASTA,MA,Kementerian Agama,,,,,537 TAHUN 2022,27-05-2022,Silakan Upload SK (link file tidak valid) => [233744-644667-https,2022-09-08 09,,"5,560",,2.,,,,,,.000000000000,.000000000000,0,36,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Tengah,Kab. Pati,Trangkil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/490621AB-9309-4185-B5C1-CA2F68AAF4E6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70033535,MA SHIRATHUL ULUM,70033535,RT 04 RW 01,KERTOMULYO,KEC. TRANGKIL,KAB. PATI,PROV. JAWA TENGAH,SWASTA,MA,Kementerian Agama,,,,,539 TAHUN 2022,27-05-2022,Silakan Upload SK (link file tidak valid) => [238364-343538-https,2022-09-20 09,,0,,2.,,,,,,.000000000000,.000000000000,0,15,32,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Tengah,Kab. Pati,Trangkil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/02CFF9C7-DB75-4170-A65D-9330A0294C76,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69725505,MAS KHOIRIYATUL ULUM,69725505,DS.TEGALHARJO TRANGKIL,TEGALHARJO,KEC. TRANGKIL,KAB. PATI,PROV. JAWA TENGAH,SWASTA,MA,Kementerian Agama,,,Wk/5.a/PP.03.2/3991/1998,16-10-1998,wk/5.d/PP.00.6/0018/OPS/1995,25-10-1995,Silakan Upload SK,,B,0,,2.,,,,,,-6.642400000000,111.027700000000,0,35,51,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Tengah,Kab. Pati,Trangkil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/43CB4E66-35E3-4872-AFFB-8005D56CE4CB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20363146,MAS MATHALIUL HUDA,20363146,JL. PASUCEN LAHAR KM 02 TRANGKIL,PASUCEN,KEC. TRANGKIL,KAB. PATI,PROV. JAWA TENGAH,SWASTA,MA,Kementerian Agama,,,Wk/s.a/PP.03.2/4383/2001,18-09-2001,Wk/s.a/PP.03.2/4383/2001,18-09-2001,Silakan Upload SK (link file tidak valid) => [754632-268225--],2023-01-12 11,B,0,,2.,,,,,,-6.657600000000,111.049600000000,0,64,81,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Tengah,Kab. Pati,Trangkil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7E9F317F-134A-436C-B09B-8962116131A2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60728104,MAS MISBAHUL ULUM,60728104,Jl. Dampuawang  No.  12 PASUCEN,PASUCEN,KEC. TRANGKIL,KAB. PATI,PROV. JAWA TENGAH,SWASTA,MA,Kementerian Agama,,,D/Kw/MA/552/2009,02-02-2009,D/Kw/MA/552/2009,02-02-2009,Lihat SK Operasional,2022-01-13 16,B,0,,2.,,,,,,-6.668600000000,111.060100000000,0,42,41,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Tengah,Kab. Pati,Trangkil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A5556DC1-6268-40B7-8A23-F56E46C79345,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69888901,MAS NU Luthful Ulum,69888901,Jl. Pasucen-Lahar KM.02,PASUCEN,KEC. TRANGKIL,KAB. PATI,PROV. JAWA TENGAH,SWASTA,MA,Kementerian Agama,Lainnya,,D/Kw/2014,11-06-2014,Kw.11.2/5/PP.03.2/1783/2014,23-02-2015,Lihat SK Operasional,2020-01-09 10,C,0,,2.,,,,,,-6.667991900000,111.044664000000,0,23,36,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Tengah,Kab. Pati,Trangkil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0FB21C3C-003C-4CB0-816F-9DC683094556,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20363144,MAS RAUDLATUL ULUM,20363144,JL. JUWANA - TAYU KM 07 GUYANGAN - TRANGKIL - PATI,GUYANGAN,KEC. TRANGKIL,KAB. PATI,PROV. JAWA TENGAH,SWASTA,MA,Kementerian Agama,,,LK/3.c//6/pgm/CA/78,13-04-2016,LK/3.c//6/pgm/CA/78,03-02-2009,Silakan Upload SK (link file tidak valid) => [409892-881830--],2021-01-14 11,A,"2,000",,2.,,,,,,-6.657300000000,111.099500000000,0,639,844,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Tengah,Kab. Pati,Trangkil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A9C50407-4672-484B-A320-663520BB165E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20363145,MAS SILAHUL ULUM,20363145,Jl. Juana Tayu Km. 08 Asempapan Trangkil Pati,ASEMPAPAN,KEC. TRANGKIL,KAB. PATI,PROV. JAWA TENGAH,SWASTA,MA,Kementerian Agama,,,Wk/5.d./180/Pgm./MA/1988,08-08-1988,Wk/5.d./180/Pgm./MA/1988,08-08-1988,Lihat SK Operasional,2016-06-27 09,B,0,,2.,,,,,,-6.665600000000,111.100300000000,0,151,221,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Tengah,Kab. Pati,Trangkil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9415A8E2-7019-4B2C-9D78-9394F28BEC61,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70039091,SMA TERPADU BINA BANGSA PATI,70039091,Jl. Raya Pati KM. 13 Ketanen RT 001 RW 001,MOJOAGUNG,KEC. TRANGKIL,KAB. PATI,PROV. JAWA TENGAH,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN SAFIN BINA BANGSA,AX0127,420/380/2023,27-03-2023,420/380/2023,27-03-2023,Lihat SK Operasional,2023-04-27 10,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
