prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,program_/_layanan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_13
Jawa Timur,Kab. Sidoarjo,Candi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A322BAAB-BDDC-49FB-BDA0-ED01C2C67AD9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69734239,MAS AL MUAWANAH,69734239,JL. ABABIL 1 MINGGIR LARANGAN,LARANGAN,KEC. CANDI,KAB. SIDOARJO,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,005967.AH.01.04 Tahun 2016,02-02-2016,6625 Tahun 2016,29-01-2016,Lihat SK Operasional,2020-12-08 23,B,0,,2.,,,,,,-7.472400000000,112.721100000000,0,44,35,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Sidoarjo,Candi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4CFFCC35-3DF6-418D-8923-8E830BFB13C8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584605,MAS ISLAMIYAH,20584605,JL SUMORAME CANDI NO 54,SUMORAME,KEC. CANDI,KAB. SIDOARJO,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,AHU-0027020.AH.01.04 TAHUN 2016,09-06-2016,MAS/15.0028/2016,16-11-2016,Lihat SK Operasional,2019-10-03 13,A,0,,2.,,,,,,-7.496100000000,112.709800000000,0,89,173,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Sidoarjo,Candi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D0AB1C00-EB2B-460F-8610-D7EE0001B001,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69941750,MAS Ma Arif Nu,69941750,Jl. KH. Abdurrahman,KEDUNGKENDO,KEC. CANDI,KAB. SIDOARJO,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,Lainnya,,NOMOR 512 TAHUN 2015,08-07-2015,NOMOR 512 TAHUN 2015,08-07-2015,Lihat SK Operasional,2020-12-18 10,C,0,,2.,,,,,,-7.475637000000,112.696938000000,0,33,20,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Sidoarjo,Candi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/737CC2EF-EEE3-4EDB-A5DD-C6E8D7C4BD3E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584611,MAS NURUL IKHLAS,20584611,JL. PESANTREN 108 SEPANDE CANDI SIDOARJO,SEPANDE,KEC. CANDI,KAB. SIDOARJO,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,MAS/15.0042/2015,15-05-2018,-Kd.13.15/pp.004/16799/2010,25-05-2018,Lihat SK Operasional,2018-05-08 16,B,0,,2.,,,,,,-7.460300000000,112.700700000000,0,127,117,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Sidoarjo,Candi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CB79FEEC-9B7F-48B0-9FE4-C9FCD0FB419E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70039651,SLB AUTIS MUTIARA HATI CANDI,70039651,Jl. Desa Kali pecabean RT 5 RW 1,KALIPECABEAN,KEC. CANDI,KAB. SIDOARJO,PROV. JAWA TIMUR,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,18/18.08/01/IV/2023,05-04-2023,18/18.08/01/IV/2023,05-04-2023,Lihat SK Operasional,2023-05-23 14,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Sidoarjo,Candi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D0145019-87FE-E111-BFB8-5D1D0A2C2EFF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69787032,SLB Merdeka Candi,69787032,Jl. Raya Gelam Gg. Kemuning RT 13,GELAM,KEC. CANDI,KAB. SIDOARJO,PROV. JAWA TIMUR,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Merdeka,AE2672,51,17-08-2009,19.14/201/III/II/2020,30-03-2020,Lihat SK Operasional,2020-08-27 15,,240,1. Indosat IM3,2. Telkom Speedy,PLN,,,slbmerdeka@gmail.com,http,-7.483800000000,112.710600000000,10,31,27,13,Pagi/6 hari,,2022/2023-2,"3,500",2,0,0,1,1,0,9,0,9,0,0,1,2,8,0,8,2,2,1,1,0,1,2,3,1,9,0,0,2,0,0,0,0,1,"SDLB, SMPLB,  dan SMLB",2,1,1,1,1,1,1,1,1,1,1,1,Pendidikan Khusus SMALB 2013,Indosat IM3,
Jawa Timur,Kab. Sidoarjo,Candi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9D563D38-C857-4C1E-8FCB-BDBD9F4A341A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69974926,SLB NABIGHAH,69974926,Perum Larangan Mega Asri Blok E68 Candi,LARANGAN,KEC. CANDI,KAB. SIDOARJO,PROV. JAWA TIMUR,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Nabighah,AE2676,421.8/3306.2/101.4/2017,03-07-2017,421.8/3943/101.4/2020,28-07-2017,Silakan Upload SK (link file tidak valid) => [656079-647900--],2022-07-22 06,C,0,1. 3 (Tri),2. Telkomsel Flash,PLN,,,sekolahnabighah90@gmail.com,,-7.469200000000,112.710700000000,4,20,9,9,Sehari Penuh/5 hari,,2022/2023-2,"1,300",4,0,1,1,0,0,6,0,4,0,0,0,0,4,0,3,1,1,1,1,0,1,0,0,1,3,4,0,0,0,1,0,0,0,SDLB dan SMPLB,1,1,1,1,1,1,1,1,1,0,0,0,Pendidikan Khusus SMPLB 2013,3 (Tri),
Jawa Timur,Kab. Sidoarjo,Candi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0BB4F19-87FE-E111-B616-996DF83E5633,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20501897,SLB-C DHARMA PENDIDIKAN,20501897,Jl. Raya Gelam No.48,GELAM,KEC. CANDI,KAB. SIDOARJO,PROV. JAWA TIMUR,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Dharma Pendidikan,AG9125,9,22-10-1976,421.8/7675/103.03/2010,08-12-2010,Lihat SK Operasional,2023-02-01 11,,583,1. -,2. Telkom Speedy,PLN,,,slbdharmapendidikan75@gmail.com,,-7.495800000000,112.709800000000,5,17,14,12,Pagi/6 hari,,2022/2023-2,900,14,0,1,1,2,0,4,0,3,2,0,0,3,2,0,5,0,0,2,0,0,0,3,0,2,3,0,2,12,0,0,1,0,0,"SDLB, SMPLB,  dan SMLB",1,1,1,1,1,1,1,1,1,1,1,1,Pendidikan Khusus SMALB 2013,Tidak Ada,
Jawa Timur,Kab. Sidoarjo,Candi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CF6792CD-E248-4EF3-8984-FE5E364C67C7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69859774,SMA HANG TUAH 5,69859774,Jl. M. Ridwan No.7 Candi,CANDI,KEC. CANDI,KAB. SIDOARJO,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan HANG TUAH CABANG SURABAYA,AB5048,1056,27-12-2013,188/3537/404.3.1/2014,24-09-2014,Lihat SK Operasional,2015-09-09 13,A,"8,580",1. Biznet (Serat Optik),2. Telkom Speedy,PLN,0313295486,0318056489,smahangtuah5_sidoarjo@yahoo.co.id,http,-7.480300000000,112.710200000000,34,341,332,19,Sehari Penuh/5 hari,,2022/2023-2,"130,000",20,3,1,4,0,0,32,7,34,0,0,0,8,26,0,28,6,15,10,2,3,2,1,1,12,22,10,10,0,0,1,0,0,0,,,,,,,,,,,7,5,7,SMA 2013 Bhs&Budaya,Biznet (Serat Optik),
Jawa Timur,Kab. Sidoarjo,Candi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4D5A091B-430F-4961-924C-8864EFB0604E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20554852,SMKS AL AZIZIYAH,20554852,KEDUNG PELUK NO. 03,KEDUNG PELUK,KEC. CANDI,KAB. SIDOARJO,PROV. JAWA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan YLP Al Aziziyah,AB0620,421.5/081/404.3.14/2008,01-01-1900,,,Silakan Upload SK,,B,845,1. Smartfren,2. Telkom Speedy,PLN,,0318929540,smk_alaziziyah@yahoo.co.id,http,-7.478500000000,112.716500000000,7,44,19,3,Pagi/6 hari,,2022/2023-2,"3,300",3,0,1,4,0,0,8,0,7,0,0,0,1,6,1,4,2,0,1,1,1,1,0,3,4,3,3,0,0,0,1,0,0,0,,,,,,,,,,,1,1,1,SMK 2013 REV. Teknik Komputer dan Jaringan,Smartfren,0
