prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,akses_internet_sekolah_kita,rombel_tingkat_13
Jawa Timur,Kota Surabaya,Krembangan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4F8B27D3-E50E-4B20-BF4B-812700236951,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70034774,MA PLUS KETERAMPILAN WACHID HASYIM,70034774,Jl. Tambak Asri No. 10 RT/RW,MOROKREMBANGAN,KEC. KREMBANGAN,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,,,735 TAHUN 2022,13-06-2022,Silakan Upload SK (link file tidak valid) => [239970-882044-https,2022-10-21 13,,0,,2.,,,,,,.000000000000,.000000000000,0,18,29,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Jawa Timur,Kota Surabaya,Krembangan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DCB18D1D-F928-46BB-9156-33305BD2A2E6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20532391,SMA SAMPOERNA (SAMPOERNA ACADEMY),20532391,JL.  KALIANAK TIMUR GG. LEBAR NO. 11,MOROKREMBANGAN,KEC. KREMBANGAN,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Majlis Ta'lim Annahdliyah,AE6987,30477/104.7.4/1989,25-09-1989,1/18.01.11/03/V/2023,02-05-2023,Lihat SK Operasional,2023-05-16 22,B,480,,2.,,,7480408,smaislamkartika@gmail.com,http,-7.231200000000,112.711500000000,3,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,4,0,3,0,0,0,1,2,0,3,0,0,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,SMA 2013 IPS,,,,,
Jawa Timur,Kota Surabaya,Krembangan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E9553191-490A-4EF0-9A43-F3A25DFAB6FA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20532406,SMAS HANG TUAH 1 SURABAYA,20532406,JL. IKAN LUMBA-LUMBA NO. 27,PERAK BARAT,KEC. KREMBANGAN,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan HANG TUAH CABANG SURABAYA,AB5048,skep/290/VII/1974,29-05-1969,422/9948/436.6.4/2016,21-09-2016,Lihat SK Operasional,2018-01-24 09,A,"28,713",1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,3537810,3537810,sma_hangtuah1_surabaya@yahoo.co.id,http,-7.231000000000,112.722500000000,52,403,450,26,Sehari Penuh/5 hari,,2022/2023-2,"36,000",23,4,1,5,5,0,51,9,41,1,8,2,26,26,2,42,8,4,6,8,5,10,6,13,22,30,22,1,0,4,1,0,0,0,SMA 2013 IPS,9,9,8,Lainnya (Serat Optik),
Jawa Timur,Kota Surabaya,Krembangan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/223963D7-4E08-48F6-BF9F-87E0876F7B87,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20532131,SMAS KATOLIK FRATERAN,20532131,JL. KEPANJEN NO. 8,KREMBANGAN SELATAN,KEC. KREMBANGAN,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Mardi Wiyata,AB5155,753,04-10-1964,19.03/1228/01/X/2020,01-10-2020,Lihat SK Operasional,2020-11-11 13,A,"2,904",1. Telkom Speedy,2. Biznet (Serat Optik),PLN,0313528821,0313524901,smak@frateran.sch.id,http,-7.241500000000,112.736300000000,44,255,244,16,Sehari Penuh/5 hari,,2022/2023-2,"193,000",67,3,1,6,1,0,43,9,43,0,0,1,31,13,1,41,2,5,5,4,9,8,6,7,26,18,67,0,0,0,1,0,0,0,SMA 2013 IPS,4,5,7,Telkom Speedy,
Jawa Timur,Kota Surabaya,Krembangan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E53367C5-4006-45DD-AB4B-AA2770FF4017,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20532146,SMAS KATOLIK STELLA MARIS,20532146,JL. INDRAPURA NO.32,KREMBANGAN SELATAN,KEC. KREMBANGAN,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Perkumpulan Dharmaputri,AB5124,30395/104.7.4/1989,25-01-1967,19.03/1221/01/X/2020,01-10-2020,Lihat SK Operasional,2022-06-29 14,A,"9,072",1. Telkomsel Flash,2. Lainnya,PLN,0313571275,0313522174,smastellamaris@gmail.com,http,-7.239900000000,112.732000000000,16,125,181,11,Sehari Penuh/5 hari,,2022/2023-2,0,19,4,1,6,0,0,19,2,13,0,3,0,9,7,0,15,1,0,1,1,3,1,4,6,8,8,19,0,0,0,1,0,0,0,SMA 2013 IPS,4,3,4,Telkomsel Flash,
Jawa Timur,Kota Surabaya,Krembangan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CCFB9185-5C6D-42B5-AD4F-4D8F0F7F4A07,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20532147,SMAS KAWUNG 1 SURABAYA,20532147,JL. PARANG KLITIK NO.2,KEMAYORAN,KEC. KREMBANGAN,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN HARAPAN SENTOSA,AE6829,1368/104.7.4/1987,13-04-1987,19.03/1185/01/VIII/2020,27-08-2020,Lihat SK Operasional,2021-10-28 08,B,"159,980",1. -,2. Telkom Speedy,PLN,,3531083,smakawung1@gmail.com,http,-7.237200000000,112.730300000000,11,55,60,6,Pagi/6 hari,,2022/2023-2,"10,600",9,5,1,2,0,0,13,0,11,0,0,0,3,8,0,10,1,3,3,0,1,0,1,3,7,4,9,0,0,0,1,0,0,0,SMA 2013 IPS,2,2,2,Tidak Ada,
Jawa Timur,Kota Surabaya,Krembangan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/41E387CA-78AF-4512-B4BE-96E4F39A1E90,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20532150,SMAS KEMALA BHAYANGKARI 2,20532150,Jalan Gresik No. 39,MOROKREMBANGAN,KEC. KREMBANGAN,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Kemala Bhayangkari,AA0760,03236/104.7.4/1989,06-03-1986,P2T/34/19.03/01/I/2018,27-09-2017,Silakan Upload SK (link file tidak valid) => [652401-773544--],2022-07-19 05,B,"3,700",1. Smartfren,2. Telkom Speedy,PLN,,0313559951,smakemalabhayangkari2sby@yahoo.com,http,-7.234700000000,112.715900000000,17,57,56,6,Sehari Penuh/5 hari,,2022/2023-2,"2,500",11,1,1,1,0,0,17,1,17,0,0,0,12,5,0,16,1,0,1,0,4,5,2,5,4,13,10,0,1,0,1,0,0,0,SMA 2013 Bhs&Budaya,2,2,2,Smartfren,
Jawa Timur,Kota Surabaya,Krembangan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3BD29511-95AD-47BA-B046-B62BFF689D55,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20532125,SMAS TAMIRIYAH SURABAYA,20532125,JL. INDRAPURA NO. 2,KREMBANGAN SELATAN,KEC. KREMBANGAN,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Ta'mirul Masjid Agung Kemayoran Surabaya,AE6995,30237/IO4.7.4/1989,20-01-1989,19.03/1188/01/IX/2020,09-09-2020,Lihat SK Operasional,2022-02-04 10,A,"2,100",1. Telkom Speedy,2. Centrin (Wavelan),PLN,3578218,3525931,SMA_takmiriyah@yahoo.co.id,http,-7.242800000000,112.735300000000,37,153,171,12,Sehari Penuh/5 hari,,2022/2023-2,"36,000",23,4,1,2,0,0,35,8,37,0,0,0,15,22,0,35,2,7,2,7,6,4,6,5,21,16,23,0,0,0,0,0,1,0,SMA 2013 IPS,4,4,4,Telkom Speedy,
Jawa Timur,Kota Surabaya,Krembangan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/41357FBB-50E2-436C-B9B8-3B28D42EC5B0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20532183,SMKS KAL 1 SURABAYA,20532183,JL. KODIKLATAL MOROKREMBANGAN,MOROKREMBANGAN,KEC. KREMBANGAN,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan HANG TUAH CABANG SURABAYA,AB5048,1698/B.3/F.1,16-06-1977,P2T/23/19.08/02/I/2018,23-01-2018,Lihat SK Operasional,2020-08-30 09,A,"7,809",1. -,2. Telkom Speedy,PLN,0313281137,0313281137,smk_kal1@yahoo.com,http,-7.221200000000,112.714400000000,48,626,31,24,Sehari Penuh/5 hari,,2022/2023-2,"2,500",20,1,1,5,0,0,33,20,48,0,0,0,14,34,0,33,15,10,3,6,2,7,10,10,30,18,1,19,0,0,0,1,0,0,SMK 2013 REV. Teknik Pemesinan,9,7,8,Tidak Ada,0
Jawa Timur,Kota Surabaya,Krembangan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6BB4A1D5-846C-4352-8B70-80826BDDE816,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20532178,SMKS KAWUNG 1 SURABAYA,20532178,JL. PARANG KLITIK NO.2,KEMAYORAN,KEC. KREMBANGAN,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN HARAPAN SENTOSA,AE6829,2042/34.B/1996,01-03-1996,422/7618/436.6.4/2014,16-09-2014,Silakan Upload SK (link file tidak valid) => [414440-265083--],2021-01-27 21,B,"1,600",1. CBN,2. Telkom Speedy,PLN,0313559146,0313559146,smkkawung1@gmail.com,http,-7.237200000000,112.730400000000,31,144,326,17,Double Shift/6 hari,,2022/2023-2,"12,999",21,2,2,2,0,0,28,6,31,0,0,0,18,13,0,26,5,9,2,4,4,3,1,8,17,14,21,0,0,0,2,0,0,0,SMK 2013 REV.  Otomatisasi dan Tata Kelola Perkantoran,5,6,6,CBN,0
