prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,program_/_layanan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12
Aceh,Kab. Gayo Lues,Blangkejeren,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AFCEA7C7-CA79-4D58-A02B-B78C25E1808A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70031463,MA Shalahuddin,70031463,Jln. H. Idris Darda No. 01 Buntul Tajuk,BUSTANUSSALAM,KEC. BLANGKEJEREN,KAB. GAYO LUES,PROV. ACEH,SWASTA,MA,Kementerian Agama,,,,,221 TAHUN 2022,31-05-2022,Silakan Upload SK (link file tidak valid) => [228021-738160-https,2022-07-27 10,,0,,2.,,,,,,.000000000000,.000000000000,0,1,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Aceh,Kab. Gayo Lues,Blangkejeren,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/86C3D305-97FD-4058-AE70-C3D72956A8D5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10113767,MAN GAYO LUES,10113767,JL. DATOK PINING NO. DESA BUSTANUSSALAM,BUSTANUSSALAM,KEC. BLANGKEJEREN,KAB. GAYO LUES,PROV. ACEH,NEGERI,MA,Kementerian Agama,Pemerintah Daerah,,,,,,Silakan Upload SK,,C,0,,2.,,,,,,4.007097000000,97.339069000000,0,80,69,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Aceh,Kab. Gayo Lues,Blangkejeren,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/51D44CF7-5E82-4B35-8476-137DE4D0B13D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70010322,MAS RUHUL A'ZHAM,70010322,DUSUN GUNYAK DESA PERSIAPAN SENTANG,SENTANG,KEC. BLANGKEJEREN,KAB. GAYO LUES,PROV. ACEH,SWASTA,MA,Kementerian Agama,,,4196,30-08-2019,401 tahun 2019,30-08-2019,Lihat SK Operasional,2021-05-25 14,B,"5,000",,2.,,,,,,.000000000000,.000000000000,0,66,79,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Aceh,Kab. Gayo Lues,Blangkejeren,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D0787F71-3CFE-E111-B198-CB5F4892E5BA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10111359,SLB Swasta Mutiara Louser,10111359,KP. LEME,LEME,KEC. BLANGKEJEREN,KAB. GAYO LUES,PROV. ACEH,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Mutiara Louser,AE8048,421.8/DPMPTSP/213/2023,18-01-2023,421.8/DPMPTSP/214/2023,18-01-2023,Lihat SK Operasional,2023-05-04 11,,"10,000",1. Telkomsel Flash,2. Lainnya (Wavelan),PLN,081396864477,,sdlbmulo2006@gmail.com,,4.016455000000,97.341708000000,14,20,14,13,Pagi/6 hari,,2022/2023-2,"1,300",10,0,1,2,2,0,14,1,11,0,2,1,2,12,0,12,2,3,3,5,1,0,0,2,5,9,10,0,0,0,1,0,0,0,SDLB,Pendidikan Khusus SDLB 2013,Telkomsel Flash,3,3,1,1,3,2,0,0,0,0,0,0
Aceh,Kab. Gayo Lues,Blangkejeren,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/627D028E-8727-4843-847F-68F3D3B903BA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70028767,SMA IT Askaril Ikhlas,70028767,Dusun Blower,BUSTANUSSALAM,KEC. BLANGKEJEREN,KAB. GAYO LUES,PROV. ACEH,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN MAHADUL ASKARIL IKHLAS LITAHFIDZIL QURAN BLOWER,AX1788,421.3/DPMPTSP/858/2022,11-04-2022,421.3/DPMPTSP/859/2022,11-04-2022,Lihat SK Operasional,2022-05-13 15,,"7,000",1. Telkom Speedy,2. Telkomsel Flash,PLN,,,,,.000000000000,.000000000000,7,11,17,2,Pagi/6 hari,,2022/2023-2,360,2,0,0,2,0,2,6,3,7,0,0,0,0,7,0,4,3,2,1,3,1,0,0,0,4,3,0,2,0,0,0,0,0,0,,SMA 2013 MIPA,Telkom Speedy,,,,,,,,,,1,1,0
Aceh,Kab. Gayo Lues,Blangkejeren,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EAD3DBF1-C81C-4635-83C5-2E2B819A4275,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10104528,SMA NEGERI 1 BLANGKEJEREN,10104528,"Jl. Tgk. H. M. Luddin, Km 01, Ujung Dah, Bustanussalam, Blangkejeren, Gayo Lues",BUSTANUSSALAM,KEC. BLANGKEJEREN,KAB. GAYO LUES,PROV. ACEH,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,36/D.1981,13-07-1981,421.3/DPMPTSP/1445/2019,06-05-2019,Lihat SK Operasional,2023-02-08 09,A,"8,128",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,sman1gayolues81@gmail.com,http,4.005318000000,97.341190000000,44,306,336,21,Pagi/6 hari,,2022/2023-2,"2,200",21,0,1,1,33,6,0,5,13,0,24,7,26,18,0,40,4,5,6,11,12,3,5,2,9,35,20,0,1,0,1,0,0,0,,SMA 2013 IPS,Telkomsel Flash,,,,,,,,,,7,7,7
Aceh,Kab. Gayo Lues,Blangkejeren,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/73314B72-CAE3-421A-8C54-B1A06D6F8C17,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70010959,SMAIT BUNAYYA,70010959,Jalan Kutacane - Blangkejeren,GELE,KEC. BLANGKEJEREN,KAB. GAYO LUES,PROV. ACEH,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN NURHAYATI SAHALI,AE8054,421.3/DPMPTSP/1288/2021,16-06-2021,421.3/DPMPTSP/1289/2021,16-06-2021,Silakan Upload SK (link file tidak valid) => [469523-650798--],2021-06-29 01,,"1,625",1. Telkom Speedy,2. Telkom Speedy,PLN,,,smaitbunayya.gayolues@gmail.com,,.000000000000,.000000000000,10,0,36,3,Sehari Penuh/6 hari,,2022/2023-2,"4,500",1,0,1,2,0,1,14,1,10,0,0,0,2,8,0,8,2,6,2,1,0,1,0,0,2,8,1,0,0,2,1,0,0,0,,SMA 2013 MIPA,Telkom Speedy,,,,,,,,,,1,1,1
Aceh,Kab. Gayo Lues,Blangkejeren,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/393534EC-E633-41C7-94D7-DB84BF31C924,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69786524,SMALBS MUTIARA LOUSER,69786524,JL. BLANGKEJEREN - TAKENGON KM.2,LEME,KEC. BLANGKEJEREN,KAB. GAYO LUES,PROV. ACEH,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Mutiara Louser,AE8048,421.3/1016/IV.2/2013,01-11-1983,421/232/2013,07-10-2013,Lihat SK Operasional,2020-08-29 11,B,"1,000",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,smalbmulo2013@gmail.com,,4.016785000000,97.340818000000,7,8,11,7,Pagi/6 hari,,2022/2023-2,"1,320",5,0,1,3,0,0,9,1,7,0,0,0,0,7,0,5,2,5,2,0,0,0,0,0,2,5,5,0,0,0,1,0,0,0,SMLB,Pendidikan Khusus SMALB 2013,Telkomsel Flash,0,0,0,0,0,0,0,0,0,3,2,2
Aceh,Kab. Gayo Lues,Blangkejeren,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0600B6D2-07F1-423A-A1A7-4B3DDECBC567,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10104526,SMAS SHALAHUDDIN,10104526,JL. H.M. IDRIS DARGA NO.1,BUSTANUSSALAM,KEC. BLANGKEJEREN,KAB. GAYO LUES,PROV. ACEH,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pesantren Modern Shalahuddiin,AE8051,351/107.1c/I/1998,21-04-1998,351/107.1c/I/1998,21-04-1998,Lihat SK Operasional,2020-09-01 07,B,210,1. Telkomsel Flash,2. Telkom Speedy,PLN,064221570,064221570,smashalahuddiin@yahoo.co.id,http,4.007285000000,97.335755000000,11,24,22,2,Pagi/6 hari,,2022/2023-2,"2,200",6,1,1,1,2,2,6,6,10,0,1,0,0,11,0,11,0,0,3,5,2,0,0,1,6,5,6,0,0,0,1,0,0,0,,SMA 2013 MIPA,Telkomsel Flash,,,,,,,,,,0,0,2
Aceh,Kab. Gayo Lues,Blangkejeren,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/102AD471-3CFE-E111-B1EE-C1667AEB98B6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10113046,SMPLBS Mutiara Louser,10113046,Kp. Leme,LEME,KEC. BLANGKEJEREN,KAB. GAYO LUES,PROV. ACEH,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Mutiara Louser,AE8048,Nomor,21-06-2009,421/440/2010,19-01-2010,Lihat SK Operasional,2020-09-01 06,B,"2,500",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,smplbmulo2009@gmail.com,,4.016613000000,97.341340000000,6,15,6,9,Pagi/6 hari,,2022/2023-2,"1,320",7,0,0,2,0,0,10,0,6,0,0,0,1,5,0,6,0,5,1,0,0,0,0,0,1,5,7,0,0,0,0,0,0,0,SMPLB,Pendidikan Khusus SMPLB 2013,Telkomsel Flash,0,0,0,0,0,0,3,3,3,0,0,0
