prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,program_/_layanan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_13
Aceh,Kota Langsa,Langsa Baro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3C2F5DC0-394B-460B-BF72-8111D779428D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70027611,MA KENCANA LANGSA,70027611,JALAN  B. ACEH -MEDAN SIMPANG COMMODORE GP.BIREM PUNTONG KEC. LANGSA BARO KOTA L,BIREM PUNTONG,KEC. LANGSA BARO,KOTA LANGSA,PROV. ACEH,SWASTA,MA,Kementerian Agama,,,,,111 TAHUN 2021,18-02-2021,Silakan Upload SK (link file tidak valid) => [198608-567707-https,2022-04-02 20,,"12,800",,2.,,,,,,.000000000000,.000000000000,0,27,11,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceh,Kota Langsa,Langsa Baro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/47D5E654-6840-47C5-A022-5B97AA6790EA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69941576,MAS Yapila Langsa,69941576,"Jl. Banda Aceh- Medan, Simpang Commodore",TIMBANG LANGSA,KEC. LANGSA BARO,KOTA LANGSA,PROV. ACEH,SWASTA,MA,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,Tidak Terakreditasi,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceh,Kota Langsa,Langsa Baro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4F780775-3DAB-4E46-B25F-F594D9E5F88E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10105732,SMA JAYA LANGSA,10105732,"JL. ISKANDAR MUDA NO. 3-4, KEC. LANGSA KOTA. KOTA LANGSA",PAYA BUJOK SEULEUMAK,KEC. LANGSA BARO,KOTA LANGSA,PROV. ACEH,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pendidikan Samudra Langsa,AO1621,1060/10726.26/AD.87,17-10-1987,421.3/DPMPTSP/209/2023,18-01-2023,Silakan Upload SK (link file tidak valid) => [797889-66659--],2023-03-12 07,C,"1,256",1. -,2. Telkom Speedy,PLN,,424583,smaswastajayalangsa@yahoo.co.id,http,4.470857000000,97.934845000000,16,78,44,6,Pagi/6 hari,,2022/2023-2,"7,200",6,1,1,2,3,2,4,7,13,0,2,1,4,12,0,13,3,3,2,5,4,2,0,0,2,14,6,0,0,0,1,0,0,0,SMA 2013 Bhs&Budaya,Tidak Ada,2,2,2,,,,,,,,,,,
Aceh,Kota Langsa,Langsa Baro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E721EBB6-45F2-48A3-A15A-3FB91AE99EE6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10105735,SMA N 1 LANGSA,10105735,JL. JENDERAL A. YANI,PAYA BUJOK SEULEUMAK,KEC. LANGSA BARO,KOTA LANGSA,PROV. ACEH,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,64/05-10-1958,01-06-1958,421.9/105/2016,30-12-2016,Silakan Upload SK,,A,"23,640",1. Telkomsel Flash,2. Telkom Speedy,PLN,425401,21220,sman1langsa58@gmail.com,http,4.485200000000,97.954000000000,84,558,660,35,Pagi/6 hari,,2022/2023-2,"19,722",32,3,2,0,56,7,0,21,70,0,8,6,54,30,0,76,8,12,10,16,15,8,5,18,23,61,26,6,0,5,2,0,0,0,SMA 2013 Bhs&Budaya,Telkomsel Flash,12,12,11,,,,,,,,,,,
Aceh,Kota Langsa,Langsa Baro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3F7C6153-FD18-4039-A04E-A6940DF08A01,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10107501,SMA N 5 LANGSA,10107501,Jalan Kebun Baru,GEUDUBANG ACEH,KEC. LANGSA BARO,KOTA LANGSA,PROV. ACEH,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,15 Tahun 2008,30-12-2008,15 Tahun 2008,30-12-2008,Lihat SK Operasional,2016-04-25 07,B,"9,775",1. -,2. Lainnya (Serat Optik),PLN,,0641426343,sma.negeri.5.langsa@gmail.com,http,4.470500000000,97.940200000000,54,326,273,19,Pagi/6 hari,,2022/2023-2,"33,000",21,4,1,2,30,6,0,18,25,0,22,7,25,29,0,53,1,4,9,14,19,5,2,1,12,42,17,4,0,0,0,0,1,0,SMA 2013 Bhs&Budaya,Tidak Ada,8,6,5,,,,,,,,,,,
Aceh,Kota Langsa,Langsa Baro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4D5EB1D8-7600-4DAA-B1E2-BA9F3BFD84E1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69896933,SMA UNGGUL CUT NYAK DHIEN,69896933,JL. PERUMNAS NO. 45,PAYA BUJOK SEULEUMAK,KEC. LANGSA BARO,KOTA LANGSA,PROV. ACEH,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Cut Nyak Dhien Gampong Jawa,AO1641,421.9/506.1/2015,17-03-2015,915.1/2015,22-06-2015,Lihat SK Operasional,2015-06-29 11,B,"1,850",1. -,2. Telkom Speedy,PLN,,,smaunggulcndlangsa15@gmail.com,http,4.498778300000,97.946185000000,16,46,50,5,Sehari Penuh/6 hari,,2022/2023-2,"2,200",3,2,1,1,1,0,13,5,15,0,1,0,3,13,0,11,5,7,5,3,1,0,0,0,6,10,3,0,0,0,1,0,0,0,SMA 2013 MIPA,Tidak Ada,2,2,1,,,,,,,,,,,
Aceh,Kota Langsa,Langsa Baro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5B45A8C1-1A66-4E11-A16D-CA982636D548,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10112965,SMALB KOTA LANGSA,10112965,JL. PERUMNAS LANGSA,PAYA BUJOK SEULEUMAK,KEC. LANGSA BARO,KOTA LANGSA,PROV. ACEH,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421.3/1089/2008,20-06-2008,421.8/DPMPTSP/1919/2022,20-06-2008,Lihat SK Operasional,2023-02-08 09,B,"14,795",1. -,2. -,PLN,,,smalbkotalangsa08@gmail.com,http,4.497023300000,97.948111700000,8,14,14,7,Pagi/6 hari,,2022/2023-2,"2,600",10,0,1,4,0,3,5,3,8,0,0,0,3,5,0,6,2,3,3,2,0,0,0,0,3,5,10,0,0,0,1,0,0,0,Pendidikan Khusus SMALB 2013,Tidak Ada,2,2,3,SMLB,0,0,0,0,0,0,0,0,0,
Aceh,Kota Langsa,Langsa Baro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FA1738A9-8DBD-4A69-BBCC-9731BBE8B3F1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10105724,SMK N 2 LANGSA,10105724,JL. A. YANI,PAYA BUJOK SEULEUMAK,KEC. LANGSA BARO,KOTA LANGSA,PROV. ACEH,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,47,01-01-1971,7360/12,11-09-1971,Lihat SK Operasional,2015-11-17 04,B,"49,729",1. Telkomsel Flash,2. Lainnya (Serat Optik),PLN,064121116,064121116,smkn2langsa75@gmail.com,http,4.491061700000,97.955313300000,119,"1,157",127,50,Sehari Penuh/6 hari,,2022/2023-2,"131,000",48,1,1,8,73,16,0,30,47,2,43,27,72,47,0,113,6,9,10,25,24,20,11,20,60,59,10,27,11,1,0,1,0,0,SMK 2013 REV.  Desain Interior dan Teknik Furnitur,Telkomsel Flash,18,15,16,,,,,,,,,,,1
Aceh,Kota Langsa,Langsa Baro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B6E722A5-3E8B-48AD-B910-A3DC4F095643,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10105707,SMK N 3 LANGSA,10105707,JL. RA. KARTINI NO. 9 B,PAYA BUJOK SEULEUMAK,KEC. LANGSA BARO,KOTA LANGSA,PROV. ACEH,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,607/P3/Kej,30-11-1964,607/P3/Kej,30-11-1964,Lihat SK Operasional,2020-11-09 15,A,"1,462,804",1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,064121630,064121630,smkn3langsa64@gmail.com,http,4.483951700000,97.953243300000,62,18,643,25,Pagi/6 hari,,2022/2023-2,"66,200",21,0,2,2,37,5,0,20,25,0,19,18,33,29,0,59,3,8,13,9,3,12,8,9,9,53,15,1,5,0,2,0,0,0,SMK 2013 REV.  Tata Busana,Lainnya (Serat Optik),10,7,8,,,,,,,,,,,0
Aceh,Kota Langsa,Langsa Baro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3316D619-1CD0-4BCA-A2CE-D2DF9A82BCA2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10105744,SMK N 4 LANGSA,10105744,"JL. ISTIQOMAH NO.12, DESA ALUE DUA BAKARAN BATEE, KEC. LANGSA BARO - KOTA LANGSA",ALUE DUA BAKARAN BATEE,KEC. LANGSA BARO,KOTA LANGSA,PROV. ACEH,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,56,01-01-2004,421.5/DPMPTSP/2526/2022,28-09-2022,Lihat SK Operasional,2023-03-27 03,B,"36,662",1. Lainnya,2. Telkom Speedy,PLN,0,,smkn4langsa04@gmail.com,http,4.527386700000,97.938531700000,33,134,58,12,Pagi/6 hari,,2022/2023-2,"10,000",12,1,1,1,13,7,0,13,20,0,7,6,16,17,0,33,0,3,11,3,14,1,1,0,12,21,3,3,6,0,1,0,0,0,SMK 2013 REV. Teknik Komputer dan Jaringan,Lainnya,4,4,4,,,,,,,,,,,0
