prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,program_/_layanan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Sumatera Utara,Kab. Langkat,Stabat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5AB7278C-73B6-4C14-89F1-005C8B26EECF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69827784,MA Jabal Rahmah Stabat,69827784,Jl. Wonosari No.59,PERDAMAIAN,KEC. STABAT,KAB. LANGKAT,PROV. SUMATERA UTARA,SWASTA,MA,Kementerian Agama,Lainnya,,AHU-2175 AH.01.04. Tahun 2011,27-04-2011,37 TAHUN 2017,12-01-2017,Lihat SK Operasional,2019-11-28 15,Sertifikat Kedaluwarsa,0,,2.,,,,,,3.452760000000,98.284490000000,0,12,15,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Utara,Kab. Langkat,Stabat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/82E6064B-5A9D-484A-8B78-D9E868DF4C8B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10264840,MAN 3 LANGKAT,10264840,JL. PROKLAMASI NO.54 KWALA BINGAI,KWALA BINGAI,KEC. STABAT,KAB. LANGKAT,PROV. SUMATERA UTARA,NEGERI,MA,Kementerian Agama,Pemerintah Daerah,,Nomor 558 tahun 2003,30-12-2003,Nomor 558 tahun 2003,30-12-2003,Lihat SK Operasional,2023-01-16 09,A,0,,2.,,,,,,3.716400000000,98.425100000000,0,341,525,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Utara,Kab. Langkat,Stabat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/29B149A5-3F5B-4BD9-AB7C-37DDFC868112,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69734230,MAS AL - MASUM,69734230,Jl. Sei Batang Serangan No. 4,KWALA BINGAI,KEC. STABAT,KAB. LANGKAT,PROV. SUMATERA UTARA,SWASTA,MA,Kementerian Agama,Yayasan Haji Maksum Abidin  Shaleh,AI8072,AHU-3390.AH.01.04.Tahun 2012,04-06-2012,9100001990673,07-01-2019,Lihat SK Operasional,2020-12-03 01,A,0,,2.,,,,,,3.713500000000,98.420100000000,0,108,89,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Utara,Kab. Langkat,Stabat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6C547FD1-184C-44C3-BB59-F61847F2CD52,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10264842,MAS AL WASHLIYAH STABAT,10264842,JL. KH. ZAINAL ARIFIN NO.2 STABAT,KWALA BINGAI,KEC. STABAT,KAB. LANGKAT,PROV. SUMATERA UTARA,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,A,0,,2.,,,,,,3.757300000000,98.452800000000,0,45,91,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Utara,Kab. Langkat,Stabat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/24C148DB-671E-464F-A1FE-FA0A78776F1C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10264841,MAS AL-JAMIYATUL CHALIDIYAH,10264841,JLN.PERNIAGAAN NO.88 STABAT,STABAT BARU,KEC. STABAT,KAB. LANGKAT,PROV. SUMATERA UTARA,SWASTA,MA,Kementerian Agama,,,NO.02 TAHUN 2014,20-10-2014,180 TAHUN 2017,07-02-2017,Lihat SK Operasional,2021-01-18 15,B,0,,2.,,,,,,3.736300000000,98.480600000000,0,35,43,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Utara,Kab. Langkat,Stabat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E08A1EBD-D7BC-4B77-966D-793CB9835A6E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69726446,MAS IBADURRAHMAN,69726446,JL. UDKP PAYA MABAR,PAYA MABAR,KEC. STABAT,KAB. LANGKAT,PROV. SUMATERA UTARA,SWASTA,MA,Kementerian Agama,,,1190,11-07-2016,1190,11-07-2016,Lihat SK Operasional,2022-08-01 05,B,0,,2.,,,,,,3.766000000000,98.466000000000,0,110,196,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Utara,Kab. Langkat,Stabat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0C30CE0B-E964-4374-A702-211F479A4881,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60729884,MAS ULUMUL QURAN,60729884,JL. K.H. WAHID HASYIM NO. 3,KWALA BINGAI,KEC. STABAT,KAB. LANGKAT,PROV. SUMATERA UTARA,SWASTA,MA,Kementerian Agama,,,AHU-04318.50.10.2014,08-06-2014,730,17-01-2017,Lihat SK Operasional,2021-01-11 06,A,0,,2.,,,,,,3.745500000000,98.450600000000,0,99,127,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Utara,Kab. Langkat,Stabat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B00DDBD7-2EF5-E011-AC42-AB17EAD5E9BA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10201464,SLB Negeri Stabat,10201464,Jln. Proklamasi,KWALA BINGAI,KEC. STABAT,KAB. LANGKAT,PROV. SUMATERA UTARA,NEGERI,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,01,01-04-1983,01,01-01-1910,Lihat SK Operasional,2022-11-14 10,,"5,298",1. Telkom Speedy,2. Telkom Speedy,PLN,,,sdlblangkat@yahoo.com,,3.739918000000,98.441096000000,22,79,56,21,Sehari Penuh/6 hari,,2022/2023-2,"5,500",13,0,1,4,4,0,0,18,18,0,0,4,6,16,0,20,2,7,8,1,1,1,0,4,4,18,13,0,0,0,1,0,0,0,SDLB dan SMPLB,Pendidikan Khusus SMPLB 2013,Telkom Speedy,4,3,4,3,3,3,1,0,0,0,0,0,
Sumatera Utara,Kab. Langkat,Stabat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4C5F6823-3BFB-4AAC-A92A-D252DCBE6E79,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69939076,SMA SWASTA BINTANG LANGKAT,69939076,JL.STABAT-SECANGGANG,ARA CONDONG,KEC. STABAT,KAB. LANGKAT,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan VIVINA HUDA,AK3955,0,15-02-2016,421.3/0486.II/2016,15-02-2016,Lihat SK Operasional,2016-03-17 20,B,0,1. -,2. -,PLN,,,Smabintanglangkat@gmail.com,,3.775361700000,98.472411700000,14,48,93,5,Pagi/6 hari,,2022/2023-2,"7,699",5,1,1,2,0,0,9,7,14,0,0,0,0,14,0,11,3,5,5,3,1,0,0,0,1,13,5,0,0,0,1,0,0,0,,SMA 2013 IPS,Tidak Ada,,,,,,,,,,2,2,1,
Sumatera Utara,Kab. Langkat,Stabat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/303AB579-11AA-4C50-B49B-187DFF7DFB24,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10201335,SMAN 1 STABAT,10201335,JL. PROKLAMASI KWALA BINGAI STABAT,KWALA BINGAI,KEC. STABAT,KAB. LANGKAT,PROV. SUMATERA UTARA,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,2191011981,,,,Silakan Upload SK,,A,"23,504",1. Telkom Speedy,2. Telkom Speedy,PLN,0618912317,0618912317,smanstabat52@gmail.com,http,3.747200000000,98.450100000000,63,389,672,30,Pagi/6 hari,,2022/2023-2,"17,000",29,1,1,2,35,0,2,26,29,2,11,21,39,24,0,51,12,15,5,8,5,7,7,16,26,37,28,0,1,0,1,0,0,0,,SMA 2013 Bhs&Budaya,Telkom Speedy,,,,,,,,,,10,10,10,
