prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_13
Sumatera Utara,Kab. Simalungun,Siantar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80BA04DB-2EF5-E011-9562-376293EBFB8A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202319,SLB Negeri Simalungun,10202319,Jl.maka Dame Raya Perumnas Batu Vi,LESTARI INDAH,KEC. SIANTAR,KAB. SIMALUNGUN,PROV. SUMATERA UTARA,NEGERI,SLB,SDLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,01-01-1983,01-01-1983,No. 420/374/BID.PK/X/2022,28-10-2022,Lihat SK Operasional,2022-11-29 12,B,"9,372",1. -,2. Telkom Speedy,PLN,0,,sdlbperumnasbatu6@gmail.com,,3.000600000000,99.175600000000,6,15,14,11,Pendidikan Khusus SDLB 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,0,0,1,2,3,0,0,3,3,0,1,2,4,2,1,3,2,1,1,0,1,0,0,3,0,6,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,10,1,0,0,0,
Sumatera Utara,Kab. Simalungun,Siantar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9C00AACE-956B-49D7-BCDB-0880D0021D07,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202773,SMA NEGERI 1 SIANTAR,10202773,JL. MAHONI RAYA NO 4 PERUMNAS BATU VI,SITALASARI,KEC. SIANTAR,KAB. SIMALUNGUN,PROV. SUMATERA UTARA,NEGERI,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1900,,,Silakan Upload SK,,A,"10,000",1. Telkom Speedy,2. Telkom Speedy,PLN,,06227551413,SMAN1.SIANTAR@YAHOO.COM,http,2.972500000000,99.132100000000,60,346,642,30,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Telkom Speedy,"1,300",30,2,1,2,52,0,1,7,10,0,15,35,49,11,0,54,6,3,2,5,6,5,10,29,17,43,,,,,,,,,,10,10,10,30,0,0,0,1,0,0,0,
Sumatera Utara,Kab. Simalungun,Siantar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/649307B9-14DE-4114-9083-9D53A79FC1B2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202659,SMA SWASTA ASSISI SIANTAR,10202659,JL. ASAHAN KM. 6,SEJAHTERA,KEC. SIANTAR,KAB. SIMALUNGUN,PROV. SUMATERA UTARA,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PUTERI HATI KUDUS,AK4073,99/I05/A/1995,19-04-1995,421.3/2072/DIS PM PPTSP/6/XI/2019,25-11-2019,Lihat SK Operasional,2020-01-17 09,A,"6,237",1. Telkom Speedy,2. Lainnya (Serat Optik),PLN,,7551164,smaassisi@gmail.com,http,2.965100000000,99.125800000000,22,165,179,11,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Telkom Speedy,"23,000",18,4,1,2,0,0,21,5,22,0,0,0,10,12,0,19,3,8,3,3,4,1,3,0,8,14,,,,,,,,,,4,3,4,0,18,0,0,0,1,0,0,
Sumatera Utara,Kab. Simalungun,Siantar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/533F9824-D60B-4596-8380-ABBC2DC19A1C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202670,SMA SWASTA ISLAM PROYEK UISU SIANTAR,10202670,"JL. ASAHAN KM. 4,5  SIANTAR",SIANTAR ESTATE,KEC. SIANTAR,KAB. SIMALUNGUN,PROV. SUMATERA UTARA,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan BP. YAYASAN UISU Siantar,AK4067,01 Tahun 1980,20-08-1980,188.420/504.A/MN/Disdik/2014,19-02-2014,Lihat SK Operasional,2015-08-07 09,A,"15,000",1. -,2. Telkom Speedy,PLN,06227553220,06227551624,smaswastauisusiantar@yahoo.co.id,http,2.967300000000,99.102900000000,14,92,87,6,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Tidak Ada,"2,200",6,2,1,2,2,0,14,0,12,0,1,1,10,4,0,14,0,1,0,5,0,1,2,5,7,7,,,,,,,,,,2,2,2,6,0,0,0,1,0,0,0,
Sumatera Utara,Kab. Simalungun,Siantar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A96D10BD-4DA0-4ED2-BB58-CBD5F78B5552,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202672,SMA SWASTA PGRI-29 PERUMNAS Bt.6 Simalungun,10202672,JL. MAHONI RAYA NO. 04 PERUMNAS Bt. 6,SITALASARI,KEC. SIANTAR,KAB. SIMALUNGUN,PROV. SUMATERA UTARA,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Perwakilan YPLP PGRI Provinsi Sumatera Utara,AB7774,1420/3427/MN/2008,08-01-2008,188.420/2109/MN/Disdik/2013,20-08-2013,Silakan Upload SK,,A,0,,2.,,,0,Pgri29.perumnas@yahoo.co.id,,2.972500000000,99.132100000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
Sumatera Utara,Kab. Simalungun,Siantar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E4DF52D3-47CB-4F6A-93B1-BA9FF187BBC2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202721,SMA SWASTA SINAR SURYA,10202721,JL. MAHONI RAYA UJUNG,SITALASARI,KEC. SIANTAR,KAB. SIMALUNGUN,PROV. SUMATERA UTARA,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Sinar Surya,AK4057,,01-01-1900,,,Silakan Upload SK,,B,"4,128",,2.,,0,0,sinarsurya@gmail.com,,2.913300000000,99.116000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
Sumatera Utara,Kab. Simalungun,Siantar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DBBF158B-2690-4F9A-A525-C1E96DD459A8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10260483,SMK NEGERI 1 SIANTAR,10260483,"Jl. Sangnawaluh Km.3,5",PEMATANG SIMALUNGUN,KEC. SIANTAR,KAB. SIMALUNGUN,PROV. SUMATERA UTARA,NEGERI,SMK,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,188.420/4517.A/MN/Disdik/2010,11-11-2010,188.420/4517.A/MN/Disdik/2010,11-11-2010,Lihat SK Operasional,2022-08-15 10,A,"6,910",1. Lainnya,2. Telkom Speedy,PLN,,06227355069,smkn1siantar@gmail.com,http,2.967400000000,99.097700000000,69,296,722,30,SMK 2013 REV. Teknik Komputer dan Jaringan,Pagi/6 hari,,2022/2023-2,Lainnya,"11,000",30,0,1,2,27,0,1,41,45,0,20,4,29,40,0,61,8,14,11,9,10,8,11,6,17,52,,,,,,,,,,10,10,10,1,29,0,0,1,0,0,0,0
Sumatera Utara,Kab. Simalungun,Siantar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4E834006-AC4B-45DA-A7DE-BFB7CFFDFBAB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202755,SMK SWASTA ASSISI SIANTAR,10202755,JL. ASAHAN KM 6 SIANTAR,DOLOK HATARAN,KEC. SIANTAR,KAB. SIMALUNGUN,PROV. SUMATERA UTARA,SWASTA,SMK,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PUTERI HATI KUDUS,AK4073,87/105/A/1995,11-04-1995,421.5/1288,01-10-2020,Lihat SK Operasional,2020-11-04 13,A,"9,588",1. -,2. Telkom Speedy,PLN,,06227554285,smk_sw_assisi@yahoo.co.id,http,2.963200000000,99.124500000000,10,39,62,6,SMK 2013 REV. Rekayasa Perangkat Lunak,Pagi/6 hari,,2022/2023-2,Tidak Ada,"16,000",6,0,1,2,0,0,8,4,10,0,0,0,3,7,0,5,5,4,3,1,0,0,2,0,3,7,,,,,,,,,,2,2,2,6,0,0,0,1,0,0,0,0
Sumatera Utara,Kab. Simalungun,Siantar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/835FB386-0DC1-4E07-B3BA-C6435498A8A4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202734,SMK SWASTA GKPS 2 PEMATANGSIANTAR,10202734,JL. MEREK RAYA PEMATANG SIANTAR,SIANTAR ESTATE,KEC. SIANTAR,KAB. SIMALUNGUN,PROV. SUMATERA UTARA,SWASTA,SMK,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PENDIDIKAN GKPS,AE9720,23532-58,01-01-1900,421.5/342,03-07-2021,Silakan Upload SK (link file tidak valid) => [702849-857855--],2022-09-08 08,B,"8,085",1. Lainnya,2. Telkom Speedy,PLN,06227551382,06227552140,smkgkps2@gmail.com,http,2.963600000000,99.078500000000,50,349,12,22,SMK 2013 REV. Teknik dan Bisnis Sepeda Motor,Pagi/6 hari,,2022/2023-2,Lainnya,"33,000",37,2,1,4,0,0,60,1,47,0,3,0,45,5,0,47,3,0,0,4,3,13,11,19,29,21,,,,,,,,,,7,8,7,0,26,11,0,0,1,0,0,0
Sumatera Utara,Kab. Simalungun,Siantar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5DC018DB-C140-4048-9829-AC6D2EB7D474,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10259971,SMK SWASTA ISLAM PROYEK UISU SIANTAR,10259971,JALAN ASAHAN KM 4.5,SIANTAR ESTATE,KEC. SIANTAR,KAB. SIMALUNGUN,PROV. SUMATERA UTARA,SWASTA,SMK,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan UISU,AK4059,C-566.HT.03.02-Th. 1998,01-01-1900,188.420 / 2159/MN/Disdik/2016,06-07-2011,Silakan Upload SK (link file tidak valid) => [425324-281646--],2021-03-01 01,B,"15,000",1. Lainnya,2. Telkom Speedy,PLN,06227553220,06227551624,smkuisu_siantar@yahoo.co.id,http,2.967300000000,99.102800000000,20,229,93,12,SMK 2013 REV. Teknik dan Bisnis Sepeda Motor,Pagi/6 hari,,2022/2023-2,Lainnya,"1,200",12,0,1,2,0,0,17,4,20,0,0,0,5,15,0,16,4,4,2,9,1,2,2,0,9,11,,,,,,,,,,4,4,4,12,0,0,0,1,0,0,0,0
