prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,program_/_layanan,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
Jawa Barat,Kab. Garut,Samarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A6AAE935-9D7D-4447-AA35-03B879E4E39F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69971374,Al Hikmah,69971374,Kp. Rancabeet,PARAKAN,KEC. SAMARANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,.000000000000,.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Garut,Samarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B6EBD05B-F5A6-4EBA-B0EE-323647586631,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20280304,MAS AL BARKAH SAMARANG,20280304,Jl. Raya Samarang No.6,SAMARANG,KEC. SAMARANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,w.i/PP.006.1/297/1989,21-10-1989,,21-10-1989,Lihat SK Operasional,2015-11-26 09,,0 m2,1.,2.,,,,,,-7.217800000000,107.841700000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Garut,Samarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/096B31F4-FF63-4835-91A2-41CFBFE9F3B5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20280316,MAS MUSLIMIN SAMARANG,20280316,Jln. Cimencek No. 02 Samarang,CINTAASIH,KEC. SAMARANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,Yayasan As-Syafi'iyah,AD4275,,,,,Silakan Upload SK,,A,0 m2,1.,2.,,,,,,-7.222700000000,107.839300000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Garut,Samarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20FDDE15-2CF5-E011-9C44-F72777905D8C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20258193,SLB BC AL BARKAH,20258193,Jl Raya Samarang No 6,SAMARANG,KEC. SAMARANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Al - Barkah,AD4277,1,02-01-2002,421.9/3426.DISDIK 2002,27-06-2002,Lihat SK Operasional,2020-08-27 15,,350 m2,1. Indosat IM3,2. Telkom Speedy,PLN,0,,Slb.albarkah@yahoo.com,,-7.217700000000,107.841700000000,"SDLB, SMPLB,  dan SMLB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Garut,Samarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0668DD9A-CF94-4ED8-9343-6D61596ED84E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69944359,SMA NURUL AMIN,69944359,Kp. Pasirmuncang RT 03 RW 07,CINTARAKYAT,KEC. SAMARANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Nurul Amin Garut,AD4276,425.11/2632-Disdik,15-02-2016,425.11/2632-Disdik,15-02-2016,Lihat SK Operasional,2016-06-24 07,B,5.000 m2,1. Telkomsel Flash,2. Telkom Speedy,PLN,,,smanurulamin@gmail.com,http,-7.218800000000,107.850200000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Garut,Samarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E2AE98CC-0004-4195-9909-4BD199B6D4F4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20227472,SMAN 17 GARUT,20227472,JL. RAYA SAMARANG KM 45,CINTARAKYAT,KEC. SAMARANG,KAB. GARUT,PROV. JAWA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,13a/O/1998,29-01-1998,13a/O/1998,29-01-1998,Lihat SK Operasional,2015-09-17 21,A,10.090 m2,1. Telkomsel Flash,2. Telkom Speedy,PLN,,542079,sman17grtsamarang@gmail.com,http,-7.212500000000,107.857900000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Garut,Samarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/77C2345D-2EE3-4E76-8B8F-F4948BB45A3E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69888462,SMK AL MADANI GARUT,69888462,JL. RAYA SAMARANG,SAMARANG,KEC. SAMARANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Widya Kusumah Garut,AD4268,425.11/3109-DISDIK,27-12-2013,425.11/3109-DISDIK,27-12-2013,Lihat SK Operasional,2015-01-28 09,C,2.350 m2,1. -,2. Telkom Speedy,PLN,085352754949,02622804759,smkalmadani.garut84@gmail.com,http,-7.216200000000,107.842900000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Garut,Samarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DEF70409-83CF-4FC2-AED2-0C7640C75E40,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20271022,SMK ASSALAM SAMARANG,20271022,JL. CIMENCEK NO.4 KP. NANGKELAN,CINTAASIH,KEC. SAMARANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pendidikan Islam Assalam,AD4267,12/YPI-ASSALAM/IV/2010,10-04-2010,425.11/033-DISDIK,04-01-2011,Lihat SK Operasional,2020-08-28 10,B,3.291 m2,1. Smartfren,2. Telkom Speedy,PLN,,,smk.assalam10@yahoo.co.id,http,-7.223100000000,107.839900000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Garut,Samarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/03FD0C4F-1DC5-4545-8124-95F064FC09FD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69758140,SMK PLUS AL ISTIQOMAH SAMARANG,69758140,Kp. Samarangawi,TANJUNGANOM,KEC. SAMARANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan AL-JAMHURIYAH,AA2729,06/Y-AJ/KP/2012,06-06-2012,425.11/3822-DISDIK,06-06-2012,Lihat SK Operasional,2015-03-04 15,B,7.000 m2,1. 3 (Tri),2. Telkom Speedy,PLN,,02622801655,smkalistiqomah554@gmail.com,https,-7.206700000000,107.827900000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Garut,Samarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4C76F275-EF7A-4645-A3EE-0FE0922254D4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69904251,SMK SYIS BADRUZZAMAN,69904251,Surya Tanjung Anom-Zawiyah Samarang Garut,SAMARANG,KEC. SAMARANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Syis Badruzzaman,AD4263,012/SK-YSBZ/V/2013,01-05-2013,425.11/2019-Disdik,25-06-2015,Lihat SK Operasional,2022-10-12 09,C,36.300 m2,1. XL (GSM),2. Telkom Speedy,PLN,,,Smksyisbadruzzaman13@gmail.com,http,-7.217700000000,107.842200000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
