prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_13
Sumatera Utara,Kota Medan,Medan Marelan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FEA4FA8B-4869-486E-88A5-4B784FFAF531,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69984148,SMA PLUS SEDAYU NUSANTARA,69984148,JL. MARELAN IV PASAR 3 LINGKUNGAN 26,RENGAS PULAU,KEC. MEDAN MARELAN,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN IMIENS NUSANTARA,AK4711,421.3/1736/DIS PMPPTSP/6/XII/2018,06-12-2018,421.3/1736/DIS PMPPTSP/6/XII/2018,06-12-2018,Lihat SK Operasional,2020-11-12 10,A,800,1. -,2. Telkom Speedy,PLN,,,info@sedayunusantara.sch.id,https,3.708873000000,98.652581000000,34,346,229,17,SMA 2013 MIPA,Sore/6 hari,,2022/2023-2,Tidak Ada,"9,900",17,4,1,2,0,1,39,1,34,0,0,0,3,31,5,20,9,16,7,8,2,1,0,0,23,11,6,6,5,17,0,0,0,1,0,0,0,
Sumatera Utara,Kota Medan,Medan Marelan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/67FA43DC-507E-4941-AC9B-E324EDF03B5A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69943068,SMA SWASTA AL HIKMAH,69943068,JL. MARELAN I PASAR IV,RENGAS PULAU,KEC. MEDAN MARELAN,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PERGURUAN AL-HIKMAH,AM0403,420/333.PPMP/2016,03-03-2016,420/333.PPMP/2016,03-03-2016,Lihat SK Operasional,2016-04-26 18,B,"1,103",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,0616841769,sma_al_hikmah@yahoo.co.id,,3.705349900000,98.647751500000,24,186,302,13,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"6,600",13,1,1,2,0,1,25,2,24,0,0,0,3,21,0,14,10,18,3,1,0,2,0,0,9,15,4,6,3,13,0,0,0,1,0,0,0,
Sumatera Utara,Kota Medan,Medan Marelan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CA7B8271-2E88-405C-974A-7BB8A070C83B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10210718,SMA SWASTA BUDI AGUNG,10210718,Jl. Platina Raya No. 7A Medan,RENGAS PULAU,KEC. MEDAN MARELAN,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PERGURUAN BUDI AGUNG,AM0411,22,28-01-1987,202008-2819-5100-1734-032/0220000812383,28-08-2020,Lihat SK Operasional,2021-12-03 23,A,"3,300",1. Telkomsel Flash,2. Telkom Speedy,PLN,6852807,,smabudiagung@gmail.com,http,3.718600000000,98.659800000000,46,307,445,23,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"13,200",25,2,1,18,1,0,46,3,45,0,1,0,10,36,0,38,8,29,7,1,3,2,2,2,17,29,8,8,7,25,0,0,0,1,0,0,0,
Sumatera Utara,Kota Medan,Medan Marelan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0846AE71-AB23-46FD-833C-28A7113F8D27,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70039260,SMA Swasta Islam Plus Al Fatih,70039260,Jl. Marelan II Psr IV Timur Link 27,RENGAS PULAU,KEC. MEDAN MARELAN,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,No. AHU-0002334.AH.01.04.Tahun 2021,23-01-2021,No. 421.3/130,02-05-2023,Lihat SK Operasional,2023-05-25 12,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Sumatera Utara,Kota Medan,Medan Marelan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B2A462FD-8FA2-4335-A648-997C5DE46476,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10210863,SMAN 16 MEDAN,10210863,JL. KAPTEN RAHMAT BUDDIN,T E R J U N,KEC. MEDAN MARELAN,KOTA MEDAN,PROV. SUMATERA UTARA,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,,,,Silakan Upload SK,,A,"11,450",1. -,2. Telkom Speedy,PLN,,88810834,smanegeri16medan@yahoo.co.id,http,3.711400000000,98.640600000000,56,336,662,29,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Tidak Ada,"32,999",14,3,0,11,36,0,1,19,22,0,21,13,34,22,0,52,4,9,8,11,4,8,6,10,18,38,11,8,10,9,1,4,15,0,0,0,1,
Sumatera Utara,Kota Medan,Medan Marelan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/776BA817-370E-4F18-B4E4-38724ECF6358,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10258535,SMAS ANUGRAH HARAPAN BANGSA,10258535,JL. AMD LINGKUNGAN 22 GG. SERASI,RENGAS PULAU,KEC. MEDAN MARELAN,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,-1-,03-01-2008,420/7708/Dikmenjur/2016,18-05-2016,Lihat SK Operasional,2018-09-28 15,A,"4,128",1. Telkomsel Flash,2. Lainnya,PLN,,0616841514,anugerah_harapanbangsa@yahoo.com,,3.719600000000,98.667000000000,16,83,61,7,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,23,6,4,1,2,0,0,18,0,16,0,0,0,3,13,0,15,1,2,4,4,3,0,1,2,7,9,3,2,2,6,0,0,1,1,0,0,0,
Sumatera Utara,Kota Medan,Medan Marelan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/88F3204B-1DC5-41DE-8CDA-B41228736787,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10257604,SMAS BINA TARUNA,10257604,JL. MARELAN RAYA NO.100,RENGAS PULAU,KEC. MEDAN MARELAN,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PENDIDIKAN BINATARUNA JAYA,AK4716,420/18506/Dikmenjur/2015,31-12-2015,420/18506/Dikmenjur/2015,31-12-2015,Silakan Upload SK (link file tidak valid) => [813082-936432--],2023-04-09 04,B,"15,990",1. Telkom Speedy,2. Telkomsel Flash,PLN,,6860513,smas.binataruna@yahoo.co.id,http,3.660200000000,98.650400000000,11,53,59,4,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Telkom Speedy,"1,300",4,3,2,2,0,0,8,4,11,0,0,0,3,8,2,7,2,2,3,1,1,0,1,3,2,9,2,1,1,0,0,4,0,0,2,0,0,
Sumatera Utara,Kota Medan,Medan Marelan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9E6C2A69-9101-48BE-ACAE-BD177A16CA77,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60728995,SMAS BRIGJEND KATAMSO II,60728995,JL MARELAN RAYA PSR III,RENGAS PULAU,KEC. MEDAN MARELAN,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Perguruan Nasional Brigjend Katamso,AK4680,420/11068.PPMP/2012,,420/11068/PPMP/2012,,Silakan Upload SK,,A,"17,400",1. Telkom Speedy,2. Telkom Speedy,PLN,,69996459,Katamso2@yahoo.co.id,http,3.735000000000,98.624400000000,38,255,437,18,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,Telkom Speedy,20,27,1,1,1,2,1,36,2,36,0,0,2,12,26,0,31,7,10,12,3,6,0,4,3,18,20,7,5,6,27,0,0,0,1,0,0,0,
Sumatera Utara,Kota Medan,Medan Marelan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/76FB6A47-CED8-4ABA-9218-5E3ECDE60106,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10210871,SMAS HARAPAN MEKAR,10210871,JL. MARELAN RAYA NO. 77,RENGAS PULAU,KEC. MEDAN MARELAN,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Harapan Mekar,AK4682,85/105/KEP/2001,31-10-2001,420/2637 dIKMENJUR/2011,14-02-2011,Lihat SK Operasional,2015-04-14 08,A,"6,000",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,smahrpnmkr16208@gmail.com,http,3.718900000000,98.655300000000,10,76,88,6,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"13,000",7,2,1,1,0,0,13,0,10,0,0,0,5,5,0,8,2,3,1,2,1,2,1,0,4,6,2,2,2,0,4,3,0,0,1,0,0,
Sumatera Utara,Kota Medan,Medan Marelan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/19403A43-E9D4-4D30-A89D-2136A6B41CA8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69733775,SMAS INDONESIA MEMBANGUN TARUNA MARELAN,69733775,JL. MARELAN I PASAR IV BARAT,T E R J U N,KEC. MEDAN MARELAN,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PERGURUAN INDONESIA MEMBANGUN TARUNA,AK4564,421.3/552/DPMPPTSP/6/XVIII.1/VII/2017,25-07-2017,421.3/552/DPMPPTSP/6/XVIII.1/VII/2017,25-07-2017,Lihat SK Operasional,2021-06-28 01,A,"10,075",1. Telkomsel Flash,2. Telkom Speedy,PLN,,0616859247,yapim.marelan@gmail.com,,3.727400000000,98.647300000000,13,40,110,6,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"33,000",4,4,1,2,0,0,12,2,13,0,0,0,3,10,0,12,1,5,1,3,2,0,0,2,5,8,2,2,2,4,0,0,0,1,0,0,0,
