prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,program_/_layanan,kurikulum,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,akses_internet_sekolah_kita,rombel_tingkat_13
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,TALANG UBI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B96E9F72-CC24-4984-A2C5-8386D5266395,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69995605,LA TANSA MUSTIKA,69995605,JL. MERDEKA KM. 10,KEC. TALANG UBI,KAB. PENUKAL ABAB LEMATANG ILIR,PROV. SUMATERA SELATAN,INDONESIA,SWASTA,MA,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,C,0,,2.,,,,,,.000000000000,.000000000000,0,30,59,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,TALANG UBI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/532C21D6-54F8-4265-A231-272AD613B970,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70033033,MA YPI AL-RUMI ZAHRAAN,70033033,DUSUN JAMBU MENTE,SEMANGUS,KEC. TALANG UBI,KAB. PENUKAL ABAB LEMATANG ILIR,PROV. SUMATERA SELATAN,SWASTA,MA,Kementerian Agama,,,,,917 TAHUN 2022,25-05-2022,Silakan Upload SK (link file tidak valid) => [233175-958333-https,2022-09-06 10,,0,,2.,,,,,,.000000000000,.000000000000,0,0,1,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,TALANG UBI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/88836EB3-87D4-4802-A9E6-F13597AA02F2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69753648,MAS YPII TALANG UBI,69753648,JL. JENDRAL SUDIRMAN NO.32,TALANG UBI TIMUR,KEC. TALANG UBI,KAB. PENUKAL ABAB LEMATANG ILIR,PROV. SUMATERA SELATAN,SWASTA,MA,Kementerian Agama,,,akta pendirian yayasan,18-02-1998,wf/6-d/PP.03.2/0416/1998,18-02-1998,Lihat SK Operasional,2016-01-14 14,C,0,,2.,,,,,,-3.303400000000,103.743400000000,0,27,25,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,TALANG UBI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FDD4ABED-AF01-446B-9721-562D6A6DD8EB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69987462,SLB NEGERI PALI,69987462,Jl. Raya PALI - MUBA Talang Kerangan,TALANG UBI UTARA,KEC. TALANG UBI,KAB. PENUKAL ABAB LEMATANG ILIR,PROV. SUMATERA SELATAN,NEGERI,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,422/001/SLB.PALI.SS/2019,01-04-2019,420/3273/PKLK-SARPRAS/DISDIK.SS/2019,26-03-2019,Lihat SK Operasional,2019-08-29 11,,"8,880",,2.,,,,slbnpalisumsel@gmail.com,,-3.243700000000,103.821800000000,17,0,0,0,,,2022/2023-2,,0,0,0,0,1,2,1,14,16,0,1,0,0,17,0,13,4,11,2,1,2,1,0,0,4,13,0,0,0,0,0,0,0,0,,Pendidikan Khusus SMPLB 2013,,,,,,,,,,,,,,
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,TALANG UBI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/383989E1-02DB-4405-9ED0-9BB1721A60F7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70014798,SMA IT QOLBUN SALIM,70014798,Jln Merdeka Desa Talang Bulang,TALANG BULANG,KEC. TALANG UBI,KAB. PENUKAL ABAB LEMATANG ILIR,PROV. SUMATERA SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PESANTREN TERPADU QOLBUN SALIM (PTQS),AW8340,008/YYS-QS/X/2021,26-02-2021,420/9660/SMA.3/Disdik.SS/2021,27-09-2021,Silakan Upload SK (link file tidak valid) => [792788-658881--],2023-03-03 17,,"5,888",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,smaitqolbunsalim@gmail.com,,-3.372400000000,103.944800000000,8,12,10,2,Sehari Penuh/5 hari,,2022/2023-2,900,2,0,1,2,0,0,3,5,8,0,0,0,0,8,0,5,3,4,2,1,1,0,0,0,4,4,0,2,0,0,0,1,0,0,,SMA 2013 MIPA,,,,,,,,,,1,1,0,Telkomsel Flash,
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,TALANG UBI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B0D84170-74CC-4550-AE70-0396D99BBC59,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69946679,SMA NEGERI 6 TALANG UBI,69946679,Jln. Raya Pertamina Pendopo Desa Talang Bulang,TALANG BULANG,KEC. TALANG UBI,KAB. PENUKAL ABAB LEMATANG ILIR,PROV. SUMATERA SELATAN,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,318/KPTS/DISDIKBUD/2016,30-05-2016,335/KPTS/DISDIKBUD/2016,06-06-2016,Lihat SK Operasional,2022-11-21 14,C,"13,596",1. Telkom Speedy,2. Telkomsel Flash,PLN,,,sman6talangubi@yahoo.com,http,-3.402700000000,103.965300000000,14,59,50,3,Pagi/6 hari,,2022/2023-2,900,3,0,0,2,2,4,0,8,13,0,1,0,2,12,0,9,5,7,4,2,1,0,0,0,7,7,3,0,0,0,0,0,0,0,,SMA 2013 IPS,,,,,,,,,,1,1,1,Telkom Speedy,
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,TALANG UBI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AB924779-4A05-4448-852A-E446957B5DA7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10646003,SMA PGRI TALANG UBI,10646003,JL. TALANG AKAR PENDOPO SIMPANG LIMA,TALANG UBI TIMUR,KEC. TALANG UBI,KAB. PENUKAL ABAB LEMATANG ILIR,PROV. SUMATERA SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Perwakilan YPLP PGRI Provinsi Sumatera Selatan,AC0789,381/I11/F/1995,21-01-2014,381/I 11/F/1995,21-01-2014,Lihat SK Operasional,2020-08-31 08,B,"3,500",1. Telkomsel Flash,2. Telkom Speedy,PLN,,0713390996,smapgritalangubi@yahoo.co.id,,-3.239100000000,103.801800000000,18,69,52,5,Siang/6 hari,,2022/2023-2,900,12,0,0,0,4,2,0,12,15,0,2,1,5,13,0,14,4,5,4,3,2,2,1,1,5,13,4,3,5,0,0,0,0,1,,SMA 2013 MIPA,,,,,,,,,,1,2,2,Telkomsel Flash,
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,TALANG UBI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/95707DBD-C7C1-4E58-BD1D-159BACEE3517,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10645819,SMA YKPP PENDOPO,10645819,JL. CEMARA NO. 18P KOMPERTA PENDOPO,TALANG UBI UTARA,KEC. TALANG UBI,KAB. PENUKAL ABAB LEMATANG ILIR,PROV. SUMATERA SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,AHU-2905 AH.01.02 Tahun 2008,03-07-2008,AHU-2905 AH.01.02 Tahun 2008,03-07-2008,Lihat SK Operasional,2020-08-31 13,A,"5,775",1. Telkomsel Flash,2. Telkom Speedy,PLN & Diesel,390315,390055,smaykpp18p@gmail.com,http,-3.264700000000,103.820400000000,23,109,130,10,Sehari Penuh/5 hari,,2022/2023-2,"3,000",14,3,1,11,0,3,19,7,18,4,1,0,9,14,0,18,5,7,2,2,7,2,0,3,6,17,14,0,0,0,1,0,0,0,,SMA 2013 MIPA,,,,,,,,,,4,3,3,Telkomsel Flash,
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,TALANG UBI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E04D42C2-CCF4-4304-845F-3D97F13D294F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10645166,SMA YPIP PENDOPO,10645166,JL. TELAGA SAID NO. 2 PENDOPO,TALANG UBI UTARA,KEC. TALANG UBI,KAB. PENUKAL ABAB LEMATANG ILIR,PROV. SUMATERA SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PERGURUAN ISLAM PENDOPO,AM1947,AHU-0007177.AH.01.04.Tahun 2017,20-04-1903,AHU-0007177.AH.01.04.Tahun 2017,20-04-2017,Lihat SK Operasional,2020-08-27 09,B,"7,500",,2.,,,0713390134,smaperis@gmail.com,,-3.282200000000,103.835600000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,SMA 2013 IPS,,,,,,,,,,,,,,
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,TALANG UBI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A36DFF05-AE83-4168-9C3C-E9DA1CC8D456,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10600903,SMAN 1 TALANG UBI,10600903,Jl. Beringin Talang Subur,TALANG UBI SELATAN,KEC. TALANG UBI,KAB. PENUKAL ABAB LEMATANG ILIR,PROV. SUMATERA SELATAN,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0283/0/1991,30-05-1991,0283/0/1991,30-05-1991,Lihat SK Operasional,2015-04-27 09,A,"8,450",1. Telkomsel Flash,2. Telkom Speedy,PLN,07133921615,07133921615,admin@sman1pali.sch.id,http,-3.282900000000,103.826900000000,50,315,426,21,Sehari Penuh/5 hari,,2022/2023-2,"3,300",20,2,0,13,35,7,0,8,31,0,15,4,24,26,0,46,4,9,9,11,10,5,0,6,14,36,16,0,4,0,0,0,0,1,,SMA 2013 IPS,,,,,,,,,,7,7,7,Telkomsel Flash,
