prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,program_/_layanan,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_13
Jawa Barat,Kab. Kuningan,Jalaksana,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CCCCBA21-7CC1-41D1-9D74-D4CE08DDFB68,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70026155,MA AL-MUTTAQIEN MANISLOR,70026155,Komplek PonPes Al-Muttaqien Manislor Dusun 1 RT 02 RW 01 Desa Manislor,MANISLOR,KEC. JALAKSANA,KAB. KUNINGAN,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,,,614 TAHUN 2021,28-05-2021,Silakan Upload SK (link file tidak valid) => [196410-762745-https,2022-02-21 13,,2.881 m2,1.,2.,,,,,,.000000000000,.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Kuningan,Jalaksana,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/647E277F-FBA2-47B9-9A6B-FF6D6BCC7FA4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20277210,MAS AL-MAEMUN SINDANGBARANG,20277210,Jl. Raya Sindangbarang No. 25,SINDANGBARANG,KEC. JALAKSANA,KAB. KUNINGAN,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,10.4/4PP.00.6/8188/009,10-11-2009,D/Kw.10/MA/400/2009,10-11-2009,Lihat SK Operasional,2020-01-13 09,B,0 m2,1.,2.,,,,,,-6.936000000000,108.517400000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Kuningan,Jalaksana,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/64F9581B-AFB8-4DE3-B383-C74EF2336F7F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20277214,MAS HUSNUL KHOTIMAH,20277214,Jl. Desa Maniskidul,MANISKIDUL,KEC. JALAKSANA,KAB. KUNINGAN,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,Wi/I/HK.008/29/1995,07-02-1995,Wi/I/HK008/29/1995,07-02-1995,Silakan Upload SK (link file tidak valid) => [411046-268377--],2021-01-19 08,A,0 m2,1.,2.,,,,,,-6.910000000000,108.482400000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Kuningan,Jalaksana,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D514F252-A41A-47C3-BAC0-182F3BF5B0C1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20277221,MAS NURUL FALAAH JALAKSANA,20277221,Jl. Raya Jalaksana Gg. Harapan Rt.02 Rw.01,JALAKSANA,KEC. JALAKSANA,KAB. KUNINGAN,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,-w.i/I/KP.07.6/1418/1996,01-01-1901,32-08/MA/0010/2010,01-01-1900,Lihat SK Operasional,2015-05-28 11,B,0 m2,1.,2.,,,,,,-6.922200000000,108.487100000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Kuningan,Jalaksana,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B0FEE115-2CF5-E011-86F9-9FA1F13CF3B0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20256801,SLB B-C DHARMA WANITA,20256801,Jl. Raya Jalaksana No. 168 Kuningan,JALAKSANA,KEC. JALAKSANA,KAB. KUNINGAN,PROV. JAWA BARAT,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN DIPATI EWANGGA,AA3388,2,12-03-1990,421.9/620-PLB,08-01-2004,Lihat SK Operasional,2022-10-12 09,,985 m2,1. -,2. Telkom Speedy,PLN,,02328881377,Slb_Dharmawanita@yahoo.co.id,,-6.919700000000,108.487000000000,"SDLB, SMPLB,  dan SMLB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Kuningan,Jalaksana,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B765DA8E-989C-4210-AA8A-840C08938577,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20252882,SMA IT AL-MULTAZAM,20252882,JL. DESA MANISKIDUL-JALAKSANA-KUNINGAN,MANISKIDUL,KEC. JALAKSANA,KAB. KUNINGAN,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan YPI Al-Multazam Husnul Khotimah,AA3420,642/10-Disdik/2006,01-09-2005,642/10-DISDIK/2006,02-01-2006,Lihat SK Operasional,2015-11-18 11,A,"7,000",1. Telkom Speedy,2. Telkom Speedy,PLN,0232614349,0232613805,smait@almultazam.sch.id,http,-6.910200000000,108.483500000000,,34,0,399,12,SMA 2013 Bhs&Budaya,Sehari Penuh/6 hari,,2022/2023-2,Telkom Speedy,"59,700",22,4,1,2,0,0,37,1,34,0,0,0,18,16,0,28,6,5,9,10,8,1,1,0,14,20,3,4,5,22,0,0,0,1,0,0,0,
Jawa Barat,Kab. Kuningan,Jalaksana,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8F47CD7E-C6EA-437B-B766-674A5A14D966,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20212963,SMA NEGERI 1 JALAKSANA,20212963,JL. RAYA PADAMENAK NO. 64,PADAMENAK,KEC. JALAKSANA,KAB. KUNINGAN,PROV. JAWA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,642.2/KPTS.59/DTRC,06-03-2006,291/O/1999,20-10-1999,Lihat SK Operasional,2019-01-09 18,A,"9,625",1. Lainnya,2. Telkom Speedy,PLN,0,0232874407,sman1jlksn.ops@gmail.com,http,-6.917400000000,108.491000000000,,65,355,890,36,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,Lainnya,"9,000",32,4,1,4,38,19,0,8,27,0,6,32,43,22,1,57,7,7,14,4,7,8,12,13,40,25,13,12,11,31,0,1,2,1,0,0,0,
Jawa Barat,Kab. Kuningan,Jalaksana,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D1A2368B-AA98-4EC7-9BDB-0432964EC526,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20247295,SMAS ITUS JALAKSANA,20247295,JL. PAJAJARAN NO. 1A PEUSING,PEUSING,KEC. JALAKSANA,KAB. KUNINGAN,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan UMAR SJARIFUDDIN,AA3428,4213/1297-Disdik/2004,13-03-2004,421.3/1297-Disdik/2004,13-03-2004,Lihat SK Operasional,2020-08-24 20,A,"2,650",1. -,2. Telkom Speedy,PLN,02328617662,02328617661,smaitusjalaksana@gmail.com,http,-6.901800000000,108.474300000000,,12,28,25,3,SMA 2013 Bhs&Budaya,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"6,000",6,5,1,2,0,0,9,5,12,0,0,0,4,8,0,8,4,4,2,2,4,0,0,0,2,10,1,1,1,6,0,0,0,1,0,0,0,
Jawa Barat,Kab. Kuningan,Jalaksana,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6C9BC6E1-135B-48A4-A74A-876E68CF732A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20247269,SMK BAKTI INDONESIA,20247269,JL. RAYA JALAKSANA SADAMANTRA KM 10 NO. 12,SADAMANTRA,KEC. JALAKSANA,KAB. KUNINGAN,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Kesehatan Bakti Indonesia,AJ7590,642.2/1017-Disdik/2004,01-06-2004,642.2/1017-Disdik/2004,01-06-2004,Lihat SK Operasional,2015-07-09 10,A,"7,098",1. Telkom Speedy,2. Telkom Speedy,PLN,0232614061,0232614061,smk_bi_kng@yahoo.co.id,http,-6.915400000000,108.487200000000,,37,46,356,15,SMK 2013 REV. Farmasi Klinis dan Komunitas,Sehari Penuh/5 hari,,2022/2023-2,Telkom Speedy,"13,000",21,0,1,16,1,0,39,6,36,0,1,0,13,24,0,28,9,5,8,7,14,1,1,1,13,24,5,4,6,21,0,0,0,1,0,0,0,0
Jawa Barat,Kab. Kuningan,Jalaksana,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F26C28B5-3397-4AF6-9F31-C2B8BE48814C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20254698,SMK MUHAMMADIYAH 3 JALAKSANA,20254698,Jln. Raya Jalaksana No.188,JALAKSANA,KEC. JALAKSANA,KAB. KUNINGAN,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Jawa Barat,AO5349,421.5/1125-DISDIKPORA/2009,01-04-2009,,01-04-2009,Lihat SK Operasional,2018-10-15 15,B,"2,400",1. Lainnya,2. Telkom Speedy,PLN,,02328910228,smkmuh3kng@gmail.com,http,-6.922400000000,108.486900000000,,14,69,27,12,SMK 2013 REV. Teknik Kendaraan Ringan Otomotif,Sehari Penuh/5 hari,,2022/2023-2,Lainnya,0,5,0,1,2,0,1,19,0,14,0,0,0,4,10,0,14,0,3,2,4,2,1,2,0,7,7,4,4,4,5,0,0,0,1,0,0,0,0
