prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,akses_internet_sekolah_kita,rombel_tingkat_13
Sumatera Selatan,Kota Palembang,Ilir Timur I,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/794074E7-6D38-48B2-99EB-8A7A94558AD4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10609630,SMA BINA KARYA PALEMBANG,10609630,JL. LETNAN KASNARIYANSYAH 1200 PLG,20 ILIR I,KEC. ILIR TIMUR I,KOTA PALEMBANG,PROV. SUMATERA SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PENDIDIKAN BINA KARYA PALEMBANG,AC0858,34/I 11 2B/F 4E/1985,28-05-1985,420/7086/SMA.3/Disdik.SS/2020,16-09-2015,Lihat SK Operasional,2021-09-23 05,C,"1,490",,2.,,,415492,binakarya303@yahoo.com,,-2.958200000000,104.732100000000,9,0,0,0,SMA 2013 IPS,,,2022/2023-2,,0,0,0,0,4,0,4,1,5,0,4,0,5,4,0,6,3,0,1,1,2,2,2,1,2,7,,,,0,0,0,0,0,0,0,0,,
Sumatera Selatan,Kota Palembang,Ilir Timur I,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/65B0E50F-EDD4-469A-ABD1-0428B8568C12,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69856916,SMA IGNATIUS GLOBAL SCHOOL (IGS) PALEMBANG,69856916,JL. Mayor Ruslan No.118,20 ILIR I,KEC. ILIR TIMUR I,KOTA PALEMBANG,PROV. SUMATERA SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Ignatius Edukasi Cendekia,AC0863,421.3/483-SK/26.8/PN/2012,05-03-2012,421.3/173-SK/Disdik/2020,16-10-2020,Lihat SK Operasional,2021-08-31 11,A,"4,678",1. Telkom Speedy,2. Lainnya (Serat Optik),PLN,0711318088,0711377159,admsmaigs17@gmail.com,http,-2.975600000000,104.766000000000,63,568,563,34,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,"555,000",36,4,1,20,0,0,82,7,63,0,0,0,0,63,0,46,17,47,8,3,3,0,1,1,23,40,13,11,10,36,0,0,0,1,0,0,0,Telkom Speedy,
Sumatera Selatan,Kota Palembang,Ilir Timur I,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5ED8E577-005D-479E-A905-4C5AF1BE588A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10609656,SMA METHODIST 02 PALEMBANG,10609656,JL. KOL .ATMO 450 PALEMBANG,17 ILIR,KEC. ILIR TIMUR I,KOTA PALEMBANG,PROV. SUMATERA SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Gereja Methodist Indonesia Wilayah II,AC0872,697/I.11.4A/I.12.79,23-10-1979,697/I.11.4A/I.12.79,23-10-1979,Lihat SK Operasional,2015-04-14 08,A,"2,925",1. Biznet (Kabel),2. Biznet (Kabel),PLN & Diesel,374155,351473,methodist2plg@yahoo.com,http,-2.984100000000,104.760600000000,26,177,208,13,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,"148,500",13,4,1,4,0,0,12,17,26,0,0,0,9,17,0,21,5,10,5,0,0,5,3,3,8,18,4,5,4,13,0,0,0,1,0,0,0,Biznet (Kabel),
Sumatera Selatan,Kota Palembang,Ilir Timur I,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1F3F030F-792C-4F64-A8D1-32D4A083CAAE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10603846,SMA NEGERI 15 PALEMBANG,10603846,JL. KS. TUBUN NO. 10 PALEMBANG,17 ILIR,KEC. ILIR TIMUR I,KOTA PALEMBANG,PROV. SUMATERA SELATAN,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0363/0/1991,20-06-1991,0363/0/1991,20-06-1991,Lihat SK Operasional,2015-03-12 14,A,"5,810",1. Telkom Speedy,2. Biznet (Serat Optik),PLN,0711351846,0711351846,sman15palembang1991@gmail.com,http,-2.979800000000,104.757900000000,54,369,479,25,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,"14,999",26,2,1,2,37,6,0,11,15,0,19,20,41,13,0,51,3,9,1,1,5,10,10,18,12,42,8,8,9,25,1,0,0,1,0,0,0,Telkom Speedy,
Sumatera Selatan,Kota Palembang,Ilir Timur I,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D5853836-1C68-44A2-991D-F0FF84E6CD13,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10609684,SMA QUR ANIYAH PALEMBANG,10609684,JL. SEGARAN 15 ILIR PALEMBANG,15 ILIR,KEC. ILIR TIMUR I,KOTA PALEMBANG,PROV. SUMATERA SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Quraniah,AF2605,26.29 Mei 1957,29-05-1957,420/3485/SMA.3/Disdik.SS/2020,13-03-2020,Silakan Upload SK (link file tidak valid) => [340858-331062--],2020-08-26 14,B,"1,250",1. CBN,2. CBN,PLN,,,smaquraniah@gmail.com,,-2.982300000000,104.763200000000,23,82,85,6,SMA 2013 MIPA,Siang/6 hari,,2022/2023-2,"5,200",6,0,1,3,1,0,14,9,22,0,1,0,6,17,1,16,6,7,2,3,5,2,2,2,4,19,2,2,2,6,0,0,0,1,0,0,0,CBN,
Sumatera Selatan,Kota Palembang,Ilir Timur I,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/21642989-5D40-44C2-8F3B-FC1BBB78B55C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10609690,SMA SUMSEL JAYA PALEMBANG,10609690,JL.LETKOL ISKANDAR NO.453,15 ILIR,KEC. ILIR TIMUR I,KOTA PALEMBANG,PROV. SUMATERA SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Lembaga Sumsel Jaya Baru,AC0869,343 / I 11 / F / 1991,01-01-1991,420/7085/SMA.3/Disdik.SS/2020,18-08-2020,Lihat SK Operasional,2020-09-14 16,B,"1,500",1. -,2. Lainnya (Serat Optik),PLN,,0711356467,smasumseljaya@rocketmail.com,http,-2.982300000000,104.760800000000,17,85,47,6,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,"7,000",6,2,1,3,2,0,10,6,15,0,2,0,10,7,0,16,1,3,4,0,3,4,2,1,6,11,2,2,2,6,0,0,0,1,0,0,0,Tidak Ada,
Sumatera Selatan,Kota Palembang,Ilir Timur I,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3F52948B-303E-4430-8081-DBBFE4D36946,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10609693,SMA TAMAN SISWA PALEMBANG,10609693,JL. TAMANSISWA NO. 261 PLG,20 ILIR I,KEC. ILIR TIMUR I,KOTA PALEMBANG,PROV. SUMATERA SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Persatuan Perguruan Tamansiswa Cabang Palembang,AC0870,002/1955,21-07-1981,420/8163/SMA.3/Disdik.SS/2019,09-04-2015,Lihat SK Operasional,2020-08-24 20,A,900,1. CBN,2. Telkom Speedy,PLN,0711350010,0711350010,smatamansiswap@gmail.com,http,-2.976000000000,104.758400000000,19,52,40,4,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,0,9,3,2,2,2,1,12,5,17,0,2,0,2,17,1,10,8,7,1,1,3,1,2,4,4,15,1,1,2,9,0,0,0,2,0,0,0,CBN,
Sumatera Selatan,Kota Palembang,Ilir Timur I,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D1577476-43CD-4C62-ABC4-9CE2F9F8D057,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10609706,SMA XAVERIUS 03 PALEMBANG,10609706,JL. KOL ATMO NO. 132 PLG,17 ILIR,KEC. ILIR TIMUR I,KOTA PALEMBANG,PROV. SUMATERA SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN XAVERIUS PALEMBANG,AC0905,192/I11.4/F4e/1987,30-04-1987,420/6770/SMA.3/Disdik.SS/2020,14-08-2020,Lihat SK Operasional,2021-07-21 11,A,"2,205",1. Lainnya,2. Lainnya (Serat Optik),PLN & Diesel,0711321298,0711321158,humas@smaxaverius3.sch.id,http,-2.983800000000,104.759400000000,41,310,314,19,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,"55,000",24,3,1,3,0,0,48,5,41,0,0,0,27,14,0,38,3,4,6,5,5,6,11,4,23,18,5,7,7,24,0,0,0,1,0,0,0,Lainnya,
Sumatera Selatan,Kota Palembang,Ilir Timur I,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D79933E1-A9F7-4E69-AA3C-B73E6946889D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69772973,SMK KESEHATAN ATHALLA PUTRA PALEMBANG,69772973,Jl. Kopral Daud No.2193 Gedung B RSU YK Madira Palembang,20 ILIR I,KEC. ILIR TIMUR I,KOTA PALEMBANG,PROV. SUMATERA SELATAN,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan ALIF ATHALLA PUTRA,AC0861,24 tahun 2011,15-03-2011,421.3/502-SK/26.8/PN/2020,01-07-2020,Lihat SK Operasional,2022-03-31 09,A,"15,000",1. Telkomsel Flash,2. Telkom Speedy,PLN & Diesel,,351502,smkathalla@gmail.com,www.smkathallaputra.sch.id/,-2.975200000000,104.784800000000,33,10,100,6,SMK 2013 REV. Asisten Keperawatan,Sehari Penuh/5 hari,,2022/2023-2,"2,300",7,2,1,2,0,0,13,21,33,0,0,0,0,33,0,22,11,20,7,4,1,1,0,0,7,26,2,2,2,0,6,1,0,0,1,0,0,Telkomsel Flash,0
Sumatera Selatan,Kota Palembang,Ilir Timur I,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EC376FD3-E409-488A-B788-FA94665856A5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69838800,SMK METHODIST 02 PALEMBANG,69838800,JL. KOLONEL ATMO N0 450,17 ILIR,KEC. ILIR TIMUR I,KOTA PALEMBANG,PROV. SUMATERA SELATAN,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Gereja Methodist Indonesia Wilayah II,AC0872,13/YGMI-Wil.II/XI/08,28-07-2004,421.3/002-SK/26.8/PN/2014,10-01-2014,Lihat SK Operasional,2021-08-20 17,B,"2,880",1. Smartfren,2. Biznet (Serat Optik),PLN,0711374155,0711351473,smkmeth2plg@gmail.com,http,-2.985000000000,104.767200000000,21,146,105,9,SMK 2013 REV. Teknik Komputer dan Jaringan,Sehari Penuh/5 hari,,2022/2023-2,"85,000",9,4,1,2,0,0,3,20,21,0,0,0,0,21,0,16,5,13,3,1,0,0,2,2,9,12,3,3,3,9,0,0,0,1,0,0,0,Smartfren,0
