prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,program_/_layanan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Jawa Barat,Kab. Cirebon,Sumber,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B8DF729B-63C2-466A-B361-35AF1811C789,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20280249,MAS ASH SHIDIQQIYAH,20280249,Ponpes Tarbiyatul Banin Kaliwadas Sumber Cirebon,KALIWADAS,KEC. SUMBER,KAB. CIREBON,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,D/W.i/MA/58B/1995,06-11-1995,Kw.10.4/4/PP.00.6/2738/2010,28-04-2010,Lihat SK Operasional,2015-11-19 09,A,"3,720",,2.,,,,,,-6.747500000000,108.482200000000,0,96,153,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Cirebon,Sumber,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1754A0A3-A3C6-452A-8573-D71CCA1D744F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69983481,MAS ASH-SHALAH,69983481,JL. KH. AHMAD NAWAWI,MATANGAJI,KEC. SUMBER,KAB. CIREBON,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,1075 TAHUN 2018,02-07-2018,1075 TAHUN 2018,02-07-2018,Silakan Upload SK (link file tidak valid) => [-],2018-12-07 14,B,0,,2.,,,,,,.000000000000,.000000000000,0,28,16,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Cirebon,Sumber,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9A63AD68-7DDF-4F94-9544-C323047DA3DD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70007043,MAS TIHAMAH PUTRA,70007043,JL. FATAHILLAH GG PESANTREN NO. 64,WATUBELAH,KEC. SUMBER,KAB. CIREBON,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,Yayasan Al-Khairiyah Cirebon,AA3638,0052/IPM/2020,14-07-2020,749 Tahun 2020,14-07-2020,Lihat SK Operasional,2021-01-18 07,,"13,500",,2.,,,,,,.000000000000,.000000000000,0,100,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Cirebon,Sumber,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7AB4C500-D4ED-4666-86A4-0B12A2135961,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70007044,MAS TIHAMAH PUTRI,70007044,JL. FATAHILLAH GG PESANTREN NO. 64,WATUBELAH,KEC. SUMBER,KAB. CIREBON,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,Yayasan Al-Khairiyah Cirebon,AA3638,0053/IPM/2020,14-07-2020,750 Tahun 2020,14-07-2020,Lihat SK Operasional,2021-01-18 07,,"13,500",,2.,,,,,,.000000000000,.000000000000,0,0,110,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Cirebon,Sumber,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BC7DBF35-8020-48E5-8805-58BF8545EB2F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69946961,SLB AKIRRA 2,69946961,Blok Blencong Kidul RT. 003 RW. 003,PASALAKAN,KEC. SUMBER,KAB. CIREBON,PROV. JAWA BARAT,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan ILMI AKIRRA 2,AA3654,421.9/Kep.21/I/SLB-BPMPT/,01-07-2016,421.9/Kep.21/I/SLB-BPMPT/,01-07-2016,Lihat SK Operasional,2016-08-03 14,B,797 m2,1. Telkom Speedy,2. Telkom Speedy,PLN,,,slb.akirra2@gmail.com,,-6.732900000000,108.488900000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SDLB, SMPLB,  dan SMLB",,,,,,
Jawa Barat,Kab. Cirebon,Sumber,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CEBC4008-632C-42AD-A89E-56BCCAE637B7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69952597,SMA ISLAM QURANI ALBAHJAH,69952597,Jl. Pangeran Cakrabuana No. 179 Sendang,SENDANG,KEC. SUMBER,KAB. CIREBON,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Lembaga Pengembangan Dakwah Al Bahjah,AA3642,421.3/Kpts.3329.1/Disdik,25-10-2016,422.1/0289/Dikmen,29-01-2016,Lihat SK Operasional,2021-01-12 12,A,"3,650",1. -,2. Telkom Speedy,PLN,,02318820584,humas@smaiqualbahjahpusat.sch.id,http,-6.755700000000,108.504000000000,31,178,169,11,Sehari Penuh/5 hari,,2022/2023-2,"48,000",18,8,2,13,0,0,18,18,31,0,0,0,2,29,0,19,12,25,4,2,0,0,0,0,18,13,18,0,0,0,2,0,0,0,,SMA 2013 MIPA,Tidak Ada,5,3,3,
Jawa Barat,Kab. Cirebon,Sumber,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8EDF636A-BE6D-4F2B-A18D-B659987672D0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20214989,SMAN 1 SUMBER,20214989,JL. SUNAN MALIK IBRAHIM NO.4,SUMBER,KEC. SUMBER,KAB. CIREBON,PROV. JAWA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0473/0/1983,09-11-1983,0473/0/1983,09-11-1983,Lihat SK Operasional,2015-09-10 10,A,"29,750",1. XL (GSM),2. Telkom Speedy,PLN,0231321261,0231321261,sman1sumber.crb@gmail.com,http,-6.760800000000,108.478500000000,73,545,735,36,Sehari Penuh/5 hari,,2022/2023-2,0,28,4,1,11,34,19,0,20,41,0,13,19,37,36,0,66,7,14,18,7,5,7,8,14,29,44,26,0,2,2,1,0,0,0,,SMA 2013 MIPA,XL (GSM),12,12,12,
Jawa Barat,Kab. Cirebon,Sumber,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5109D9BD-B392-4B26-8BB9-57CC0D827646,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69899812,SMK NASIONAL SUMBER,69899812,Jl. Fatahilah Gg. Pesantren - Sumber - Kabupaten Cirebon,WATUBELAH,KEC. SUMBER,KAB. CIREBON,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan BHAKTI KUSUMA,AM8540,422.1/4044/Disdik,17-11-2014,421.3/Kpts.3085.3/Disdik,17-11-2014,Lihat SK Operasional,2020-08-24 19,B,"4,135",1. -,2. Telkom Speedy,PLN,02318821575,02318821575,smk.nasber@gmail.com,http,-6.742400000000,108.495300000000,16,88,42,7,Pagi/6 hari,,2022/2023-2,"2,200",13,0,1,0,0,0,15,4,16,0,0,0,1,15,0,12,4,5,9,0,2,0,0,0,8,8,0,13,0,0,0,1,0,0,,SMK 2013 REV. Geologi Pertambangan,Tidak Ada,2,2,2,1
Jawa Barat,Kab. Cirebon,Sumber,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FD6AD309-66EF-46DA-8454-439FE7F20EFE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20270754,SMKS AL WASLIYAH SUMBER,20270754,JL. PANGERAN CAKRABUANA NO. 19,SUMBER,KEC. SUMBER,KAB. CIREBON,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN AL-WASHLIYAH CIREBON,AA3665,422.1/1686/Disdik,23-03-2011,421.5/Kpts.3505.1/Disdik,31-12-2014,Lihat SK Operasional,2015-06-30 11,B,"2,650",1. Telkomsel Flash,2. Telkom Speedy,PLN,,02318820176,smkalwashliyah@ymail.com,https,-6.759530000000,108.491920000000,20,19,10,13,Pagi/6 hari,,2022/2023-2,"10,500",14,0,1,2,0,0,25,1,20,0,0,0,4,16,1,18,1,5,4,6,2,2,1,0,13,7,14,0,0,0,1,0,0,0,,SMK 2013 REV.  Otomatisasi dan Tata Kelola Perkantoran,Telkomsel Flash,4,4,5,0
Jawa Barat,Kab. Cirebon,Sumber,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BBEC5FC3-A506-49D0-9916-18A9E8342BF1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20244684,SMKS BUDI TRESNA CIREBON,20244684,JL. FATAHILLAH WATUBELAH NO. 40,WATUBELAH,KEC. SUMBER,KAB. CIREBON,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Jawa Barat,AO5349,074/I.02.Kep/E/1983,01-06-1983,074/I.02.Kep/E/1983,01-06-1983,Lihat SK Operasional,2020-08-24 19,A,"4,750",1. Lainnya,2. Telkom Speedy,PLN,0231320174,0231320174,smk_budi_tresna@yahoo.co.id,http,-6.742700000000,108.492300000000,47,472,365,28,Sehari Penuh/5 hari,,2022/2023-2,"22,998",23,0,1,8,0,0,30,20,47,0,0,0,10,37,2,34,11,18,12,4,8,1,1,3,25,22,23,0,0,0,1,0,0,0,,SMK 2013 REV.  Akuntansi dan Keuangan Lembaga,Lainnya,10,9,9,0
