prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Sulawesi Selatan,Kab. Bantaeng,Tompobulu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0868125B-7E08-41F7-8F87-0D3BE67C8362,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40320365,MAS AL-MURAHAMAH BANYORANG,40320365,JL.BAJI ARENG BANYORANG,BANYORANG,KEC. TOMPOBULU,KAB. BANTAENG,PROV. SULAWESI SELATAN,SWASTA,MA,Kementerian Agama,,,Skep 01/YASMI/1/2005,03-01-2005,D.Kw.21/MA/04/2007,25-01-2007,Lihat SK Operasional,2020-01-23 15,B,0,,2.,,,,,,-5.454426000000,120.018796000000,0,49,51,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Bantaeng,Tompobulu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AA71D50C-4E07-443B-BE95-CCF8138EB446,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40320363,MAS ASADIYAH ERENG-ERENG,40320363,JL.H.MUH.THAHIR NO.4,ERENG-ERENG,KEC. TOMPOBULU,KAB. BANTAENG,PROV. SULAWESI SELATAN,SWASTA,MA,Kementerian Agama,,,4/XX-AL/79,20-12-1972,4/XX-AL/79,11-01-1979,Lihat SK Operasional,2016-02-22 15,B,"1,500",,2.,,,,,,-5.438218000000,120.035620000000,0,33,74,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Bantaeng,Tompobulu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/76C80C25-B201-4D84-94D7-22654CAE10E5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40320364,MAS ASSADIYAH PATTIRO,40320364,"Jl. Arabica, Pattiro",LABBO,KEC. TOMPOBULU,KAB. BANTAENG,PROV. SULAWESI SELATAN,SWASTA,MA,Kementerian Agama,,,Wt/PP.011/PP.03.2/III/90,16-01-1990,D/Kw.21/MA Swasta/56/2010,18-06-2010,Lihat SK Operasional,2022-01-07 05,C,0,,2.,,,,,,-5.419200000000,120.029600000000,0,12,16,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Bantaeng,Tompobulu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C5D1DE8B-FB07-40BF-B748-96390EE6CAA2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40320361,MAS MAARIF BANYORANG,40320361,JL.PENDIDIKAN NO.26 BANYORANG,BANYORANG,KEC. TOMPOBULU,KAB. BANTAENG,PROV. SULAWESI SELATAN,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-5.450100000000,120.039600000000,0,60,38,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Bantaeng,Tompobulu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A51424EA-9565-4627-84A1-20EBA1616272,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40320362,MAS MUHAMMADIYAH ERENG-ERENG,40320362,JL.PENDIDIKAN ERENG-ERENG,ERENG-ERENG,KEC. TOMPOBULU,KAB. BANTAENG,PROV. SULAWESI SELATAN,SWASTA,MA,Kementerian Agama,,,5/XX-Al/79,01-11-1979,5/XX-Al/79,01-11-1979,Lihat SK Operasional,2023-01-30 14,C,0,,2.,,,,,,-5.433600000000,120.035100000000,0,30,35,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Bantaeng,Tompobulu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B989C7A2-3156-4FC1-90C4-CA8FF6739816,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69941831,MAS Syekh Muh Ja far,69941831,JL.PENDIDIKAN NO.28 BANYORANG UTARA,BANYORANG,KEC. TOMPOBULU,KAB. BANTAENG,PROV. SULAWESI SELATAN,SWASTA,MA,Kementerian Agama,Lainnya,,,19-12-2016,,19-12-2016,Silakan Upload SK,,C,0,,2.,,,,,,-5.444200000000,120.038400000000,0,23,16,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Bantaeng,Tompobulu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8DCA6442-FA21-4B6C-81CA-9EF8E6B9AB83,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69983618,MAS YAPAKH BIRING ERE,69983618,BIRING ERE,KEC. TOMPOBULU,KAB. BANTAENG,PROV. SULAWESI SELATAN,INDONESIA,SWASTA,MA,Kementerian Agama,,,706 TAHUN 2018,29-06-2018,706 TAHUN 2018,29-06-2018,Silakan Upload SK (link file tidak valid) => [-],2018-12-07 14,C,0,,2.,,,,,,.000000000000,.000000000000,0,19,25,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Bantaeng,Tompobulu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E4C72A3B-5086-4395-B322-92AD4A1F8585,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40318949,MAS YAPNI BONTO TAPPALANG,40318949,BONTO TAPPALANG,BONTO TAPPALANG,KEC. TOMPOBULU,KAB. BANTAENG,PROV. SULAWESI SELATAN,SWASTA,MA,Kementerian Agama,,,2011,,,,Silakan Upload SK,,C,0,,2.,,,,,,-5.416648000000,120.000152000000,0,23,22,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Bantaeng,Tompobulu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7FBE8643-64E2-4BD6-BFCC-383B33355AEA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69894919,Riyadus Shalihin,69894919,Boronglayya,BONTO-BONTOA,KEC. TOMPOBULU,KAB. BANTAENG,PROV. SULAWESI SELATAN,SWASTA,MA,Kementerian Agama,Lainnya,,1628 Tahun 2014,21-11-2014,1628 Tahun 2014,21-11-2014,Lihat SK Operasional,2022-11-23 15,C,0,,2.,,,,,,-5.458700000000,120.048500000000,0,71,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Bantaeng,Tompobulu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B2BCA081-3CB6-4AA2-9286-42B97E83DA12,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69904671,SMA IT KHAIRUL UMMAH,69904671,Karampung Bella,PATTALLASSANG,KEC. TOMPOBULU,KAB. BANTAENG,PROV. SULAWESI SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pendidikan Khairul Ummah,AH6715,01/YP-KHU/PTLS/I/2014,03-01-2014,204 Tahun 2015,27-08-2015,Lihat SK Operasional,2015-09-29 02,C,"1,000",1. Smartfren,2. Telkomsel Flash,PLN,,,smaitkhairulummah@gmail.com,,-5.469042600000,120.047895000000,14,14,12,3,Pagi/6 hari,,2022/2023-2,950,3,0,1,2,0,0,15,0,14,0,0,0,0,14,0,10,4,2,6,4,1,1,0,0,5,9,0,3,0,0,0,1,0,0,SMA 2013 IPS,Smartfren,1,1,1,
