prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
Jawa Barat,Kab. Bogor,Ciampea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CA4D76E6-4BFA-45BB-BB08-D9B11BE932EC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70029710,SMK TI Bazma,70029710,Kp. Cicadas RT. 001 RW. 001,CICADAS,KEC. CIAMPEA,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN BAITUZZAKAH PERTAMINA,AX3492,5/011060a/DPMPTSP/2022,18-04-2022,5/011060a/DPMPTSP/2022,18-04-2022,Lihat SK Operasional,2022-06-16 09,,"13,000",1. Telkom Speedy,2. Telkom Speedy,PLN,,02518427775,info@smktibazma.sch.id,https,-6.574227600000,106.688999200000,6,42,0,2,"SMK 2013 REV. Sistem Informatika, Jaringan dan Aplikasi",Sehari Penuh/5 hari,,2022/2023-2,Telkom Speedy,"5,370",2,0,1,0,0,0,11,1,6,0,0,0,0,6,0,5,1,6,0,0,0,0,0,0,2,4,1,1,0,0,2,0,0,0,1,0,0,0
Jawa Barat,Kab. Bogor,Ciampea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7BDC247B-D36F-4718-ADA7-C782D83100DE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20280136,MAS DARUL FALLAH,20280136,Jl. Raya Bogor Ciampea Km 12 Kp. Lemahduhur Rt.02/04,CIAMPEA,KEC. CIAMPEA,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,A,0,,2.,,,,,,-6.551400000000,106.702300000000,0,53,62,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Jawa Barat,Kab. Bogor,Ciampea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/06513197-9A2B-4B38-828C-F5C3A5B095D4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20280145,MAS DARUT TAFSIR,20280145,Kp. Pabuaran Kaum 03/02,CIBANTENG,KEC. CIAMPEA,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,3/10/10/06/04,22-11-1981,3/10/10/06/04,22-11-1981,Lihat SK Operasional,2023-06-07 08,A,0,,2.,,,,,,-6.558400000000,106.715600000000,0,25,32,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Jawa Barat,Kab. Bogor,Ciampea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C2982CA9-40A9-4367-AA39-FF98A8C2A0EC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20280169,MAS NURUL ILMI,20280169,Jl Siliwangi Km 02 Kebon Kopi Rt.02 Rw.01,CIAMPEA UDIK,KEC. CIAMPEA,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,A,0,,2.,,,,,,-6.601000000000,106.687300000000,0,73,69,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Jawa Barat,Kab. Bogor,Ciampea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EC34C960-1C4A-42B1-A3F9-54AF25E20B5F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20276322,MAS NURUL UMMAH,20276322,Jl Cikampak Km 05 Nagrog Rt 02 Rw 07,CIBUNTU,KEC. CIAMPEA,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,32-01/MA/0041/2010,28-04-2010,32-01/MA/0041/2010,28-04-2010,Lihat SK Operasional,2021-09-01 07,A,0,,2.,,,,,,-6.601200000000,106.685300000000,0,94,123,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Jawa Barat,Kab. Bogor,Ciampea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5B5AF952-EC28-4F7A-ADDD-83179265D988,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20200676,SMAN 1 CIAMPEA,20200676,JL. RAYA CIBADAK KM. 15  DESA CIBADAK,CIBADAK,KEC. CIAMPEA,KAB. BOGOR,PROV. JAWA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,13.a/b/1998,27-04-1998,13a/O/1998,27-04-1998,Silakan Upload SK (link file tidak valid) => [570296-728185--],2022-01-17 00,A,"8,410",1. -,2. Telkom Speedy,PLN,,02518628156,smanic_cpa@yahoo.co.id,http,-6.556100000000,106.689900000000,45,365,538,26,SMA 2013 Bhs&Budaya,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"21,000",25,3,1,3,21,16,1,7,25,0,10,10,26,19,0,43,2,6,4,3,10,6,7,9,16,29,9,9,8,,1,24,0,0,0,1,0,0
Jawa Barat,Kab. Bogor,Ciampea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0E5C6CA2-9733-4200-ADC5-F93F31EC371E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20200670,SMAS DARUTAFSIR,20200670,JL. KP. PABUARAN KAUM DS. CIBANTENG RT 03/02,CIBANTENG,KEC. CIAMPEA,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan YPPPDT,AJ6263,300/102/Kep/OT/1998,04-05-1998,300/102/Kep/OT/1998,04-05-1998,Lihat SK Operasional,2020-08-24 19,A,"80,000",1. Telkomsel Flash,2. Telkom Speedy,PLN,0258626047,02518626047,smasdaruttafsir@yahoo.co.id,http,-6.558400000000,106.715300000000,15,31,47,3,SMA 2013 Bhs&Budaya,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"1,200",3,1,1,2,0,0,16,0,15,0,0,0,0,15,3,11,1,5,1,0,1,1,5,2,7,8,1,1,1,,0,3,0,0,0,1,0,0
Jawa Barat,Kab. Bogor,Ciampea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/30516DD2-9B30-4B77-B311-E7B2C45ACBB7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20232337,SMAS HANURA,20232337,JL. BABAKAN KEMANG DS. CIHIDEUNG UDIK,CIHIDEUNG UDIK,KEC. CIAMPEA,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PENDIDIKAN ISLAM DARUSSALAM,AJ6287,732/102.5.9/PR/2000,08-08-2000,420/249/Kpts/Huk/2002,08-08-2002,Lihat SK Operasional,2023-04-19 08,B,"17,360",1. Linknet,2. Telkom Speedy,PLN,,,hanura_sma@yahoo.co.id,http,-6.565700000000,106.711500000000,10,94,36,3,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Linknet,"1,200",6,1,1,2,0,0,8,4,10,0,0,0,2,8,5,4,1,1,2,2,2,1,1,1,2,8,1,1,1,,6,0,0,0,1,0,0,0
Jawa Barat,Kab. Bogor,Ciampea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/055B6A39-B60C-43E1-82EB-5D3269DA1D35,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20200674,SMAS TARBIYATUL FALAH,20200674,JL. ABDUL FATAH KM 4 DESA CINANGKA,CINANGKA,KEC. CIAMPEA,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",yayasan pendidikan pondok pesantren tarbiyatul falah madani,AJ6254,448,,,,Silakan Upload SK,,B,"5,248",1. Indosat IM3,2. Telkom Speedy,PLN,,,vivisukmawati@ymail.com,http,-6.585300000000,106.705500000000,11,104,109,6,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,Indosat IM3,"1,300",5,1,1,2,0,0,10,2,11,0,0,0,1,10,0,7,4,4,2,2,2,0,0,1,5,6,2,2,2,,5,0,0,2,1,0,0,0
Jawa Barat,Kab. Bogor,Ciampea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1206DB6E-BD99-4B4E-99BC-FC574A5354A3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69895414,SMK KOMPUTER INDONESIA,69895414,JL. RAYA CIBADAK KP KERTASARI RT01/03,BOJONG RANGKAS,KEC. CIAMPEA,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Sirung Asha Indonesia,AA5002,001/SK-YSAI/X/2013,01-10-2013,421.4/495-DIKMEN,31-03-2015,Lihat SK Operasional,2021-08-30 13,B,"1,333",1. Telkom Speedy,2. Lainnya (Serat Optik),PLN,0,02518474555,smakommail.bogor@gmail.com,http,-6.558800000000,106.689200000000,14,101,42,6,SMK 2013 REV. Multimedia,Sehari Penuh/5 hari,,2022/2023-2,Telkom Speedy,"13,200",8,0,2,2,0,0,10,7,14,0,0,0,0,14,1,8,5,6,4,0,1,2,1,0,8,6,2,2,2,0,8,0,0,0,2,0,0,0
