prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_13
Jawa Barat,Kab. Purwakarta,Sukatani,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DB92526A-5BBD-4BFB-A514-F07E6760F6C6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20277266,MAS IBNU ZAIN,20277266,Kampung Cianip Rt.12/04,CIANTING,KEC. SUKATANI,KAB. PURWAKARTA,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-6.615300000000,107.394800000000,0,32,13,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Purwakarta,Sukatani,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/23CF299C-FA02-49D4-B1AD-2BCAD2A07DA5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70040231,SMA AQL ISLAMIC SCHOOL 2,70040231,Jl. Citapen,SUKAJAYA,KEC. SUKATANI,KAB. PURWAKARTA,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,17/011050/DPMPTSP/III/2023,31-03-2023,17/011050/DPMPTSP/III/2023,31-03-2023,Lihat SK Operasional,2023-06-16 09,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Purwakarta,Sukatani,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2B9D743F-5AFD-4923-B62B-11C4BD25583B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20217358,SMAN 1 SUKATANI,20217358,JL. JATI JAJAR NO. 20,SUKATANI,KEC. SUKATANI,KAB. PURWAKARTA,PROV. JAWA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0601/0/1985,22-11-1985,0601/0/1985,22-11-1985,Silakan Upload SK,,A,"16,385",1. Telkom Astinet,2. Telkom Speedy,PLN,,02648315177,smanisukatani@gmail.com,http,-6.613500000000,107.411300000000,38,213,649,26,Sehari Penuh/5 hari,,2022/2023-2,"52,999",18,2,1,8,19,10,0,9,20,0,10,8,23,15,0,35,3,11,4,2,6,3,6,6,16,22,0,11,7,5,0,0,1,0,9,9,8,SMA 2013 IPS,Telkom Astinet,
Jawa Barat,Kab. Purwakarta,Sukatani,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7ED48506-A3AF-46B2-ABA8-0FAC26CF81F4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69858458,SMAN 2 SUKATANI,69858458,JL. Panyindangan KM. 11 Sukatani,PANYINDANGAN,KEC. SUKATANI,KAB. PURWAKARTA,PROV. JAWA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,421/Kep.504-Disdikpora/20,26-05-2014,420/2092/Dikmen/2014,02-07-2014,Silakan Upload SK (link file tidak valid) => [390242-864291--],2020-10-17 06,C,"7,740",1. XL (GSM),2. Lainnya (Kabel),PLN,,,sman2sukatani@gmail.com,,-6.577000000000,107.351600000000,11,48,60,4,Sehari Penuh/5 hari,,2022/2023-2,"2,200",2,0,2,2,2,0,0,9,9,0,1,1,3,8,0,9,2,2,4,1,3,0,0,1,4,7,2,0,0,0,2,0,0,0,2,1,1,SMA 2013 MIPA,XL (GSM),
Jawa Barat,Kab. Purwakarta,Sukatani,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80D625BD-C267-48B4-8A79-635055E36C89,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69774530,SMKN 1 SUKATANI,69774530,JL. RAYA SUKATANI KM. 11 Kp. Pertanian Rt / Rw 04 / 01,SUKATANI,KEC. SUKATANI,KAB. PURWAKARTA,PROV. JAWA BARAT,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,425.1/Kep 42.C-Disdikpora,10-01-2013,420/341/Dikmen/2013,11-02-2013,Lihat SK Operasional,2015-03-12 08,B,"11,552",1. -,2. Telkom Speedy,PLN,,,smkn.sukatani@yahoo.com,,-6.615900000000,107.408900000000,65,789,392,36,Sehari Penuh/5 hari,,2022/2023-2,"2,600",36,1,1,18,12,31,0,22,53,0,11,1,22,43,0,56,9,8,11,14,14,10,8,0,41,24,36,0,0,0,1,0,0,0,12,12,12,SMK 2013 REV. Rekayasa Perangkat Lunak,Tidak Ada,0
Jawa Barat,Kab. Purwakarta,Sukatani,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2F087CA5-3B5C-478C-83CF-2EA489EB071E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69849090,SMKN 3 SUKATANI,69849090,JL. Desa Sukamaju Rt.002/001,SUKAMAJU,KEC. SUKATANI,KAB. PURWAKARTA,PROV. JAWA BARAT,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,421/Kep.505-Disdikpora/2014,26-05-2014,420/2102/Dikmen/2014,02-07-2014,Silakan Upload SK (link file tidak valid) => [751150-496482--],2023-01-04 11,C,"11,379",1. Telkom Astinet,2. Telkom Astinet,PLN,,,smkn3sukatani2014@gmail.com,http,-6.611100000000,107.394100000000,32,267,136,15,Sehari Penuh/5 hari,,2022/2023-2,"12,000",17,0,1,2,8,6,0,18,31,0,1,0,6,26,0,31,1,9,12,8,1,1,1,0,18,14,17,0,0,0,1,0,0,0,5,5,5,SMK 2013 REV. Teknik Komputer dan Jaringan,Telkom Astinet,0
Jawa Barat,Kab. Purwakarta,Sukatani,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9D3226A7-6B2B-4DCC-AF8C-E6103439BA4D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69942618,SMKS AL-MUHAJIRIN,69942618,KP. CITAPEN RT 09/03 SUKAJAYA SUKATANI,SUKAJAYA,KEC. SUKATANI,KAB. PURWAKARTA,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN AL'MUHAJIRIN PURWAKARTA,AW7722,47/YM/SK/IV/2016,04-04-2016,420/1140/DIKMEN/2016,06-04-2016,Lihat SK Operasional,2020-09-01 07,B,"500,000",1. -,2. Lainnya (Serat Optik),PLN & Diesel,8282355,,smkalmuhajirinpwk@gmail.com,http,-6.608300000000,107.412000000000,9,35,21,3,Sehari Penuh/5 hari,,2022/2023-2,"3,500",6,1,1,2,0,0,10,1,9,0,0,0,1,8,0,7,2,5,2,1,0,1,0,0,7,2,6,0,0,0,1,0,0,0,1,1,1,SMK 2013 REV.  Perbankan Syariah,Tidak Ada,0
Jawa Barat,Kab. Purwakarta,Sukatani,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/81B12771-F9E3-4894-8407-28F0A69616A7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20275988,SMKS TEKNOLOGI SAIN DAN AGROBISNIS,20275988,JL.RAYA CIANTING SUKATANI PURWAKARTA,CIANTING,KEC. SUKATANI,KAB. PURWAKARTA,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AL3478,05/KET.CUTI-MPPN/III-05/2009,02-07-2009,420/626/DIKMEN/2013,27-09-2013,Lihat SK Operasional,2015-04-01 08,B,"2,646",1. Telkom Speedy,2. Telkom Speedy,PLN,085974868579,,hermawanfuri@yahoo.co.id,http,-6.638000000000,107.432200000000,13,126,42,7,Sehari Penuh/5 hari,,2022/2023-2,"1,300",8,0,1,2,0,0,17,1,13,0,0,0,1,12,0,11,2,3,7,2,1,0,0,0,7,6,8,0,0,0,1,0,0,0,3,2,2,SMK 2013 REV. Teknik dan Bisnis Sepeda Motor,Telkom Speedy,0
Jawa Barat,Kab. Purwakarta,Sukatani,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/19B32809-C8B4-4929-8F8B-7121BAD41869,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20217356,SMKS UTAMA PURWAKARTA,20217356,Jl. Pasar Anyar Desa. Sukatani Kec. Sukatani Kab. Purwakarta 41167,SUKATANI,KEC. SUKATANI,KAB. PURWAKARTA,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pendidikan dan Teknologi (YASPITEK),AL3466,704/102.1/Kep/OT/96,16-08-1996,704/102.1/Kep/OT/96,16-08-1996,Lihat SK Operasional,2020-08-24 19,C,"1,000,000",1. -,2. Telkomsel Flash,PLN,02648286220,02648286220,smksutamasukatani@gmail.com,http,-6.608800000000,107.410100000000,9,39,53,4,Sehari Penuh/5 hari,,2022/2023-2,900,6,0,1,2,0,0,5,4,9,0,0,0,1,8,0,8,1,1,1,1,2,1,1,2,6,3,6,0,0,0,1,0,0,0,2,1,1,SMK 2013 REV.  Otomatisasi dan Tata Kelola Perkantoran,Tidak Ada,0
Jawa Barat,Kab. Purwakarta,Sukatani,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4BE2870A-E6D7-41D0-804B-6ED541D59418,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20229760,SMKS YPB PURWAKARTA,20229760,JL. RAYA SUKATANI KM.10,SUKATANI,KEC. SUKATANI,KAB. PURWAKARTA,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,010/YPB/PWK/VI/98,18-06-1998,1135/IO2.1/Kep/OT/2000,30-03-2000,Lihat SK Operasional,2020-08-24 19,C,"1,500",1. -,2. Smartfren,PLN,,,smkypbpurwakarta@yahoo.co.id,http,-6.639600000000,107.426400000000,17,65,29,5,Sehari Penuh/5 hari,,2022/2023-2,"1,500",16,1,1,1,1,0,11,8,16,0,1,0,2,15,0,14,3,1,2,7,1,1,4,1,10,7,16,0,0,0,1,0,0,0,1,2,2,SMK 2013 REV. Teknik Kendaraan Ringan Otomotif,Tidak Ada,0
