prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13,program_/_layanan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
D.K.I. Jakarta,Kota Jakarta Pusat,Senen,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C84993C3-1EAE-460C-BD1C-6BB3193979FA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60725003,MAS JAKARTA PUSAT,60725003,Jl. Kalibaru Timur V No 104,BUNGUR,KEC. SENEN,KOTA JAKARTA PUSAT,PROV. D.K.I. JAKARTA,SWASTA,MA,Kementerian Agama,,,271 TAHUN 2016,15-01-2016,271 TAHUN 2016,15-01-2016,Lihat SK Operasional,2016-10-10 11,B,0,,2.,,,,,,-6.172200000000,106.849000000000,0,68,75,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Pusat,Senen,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0B39825A-6DE4-44BC-8742-7B06129634A8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20100199,SMAN 68 JAKARTA,20100199,JL. SALEMBA RAYA 18,KENARI,KEC. SENEN,KOTA JAKARTA PUSAT,PROV. D.K.I. JAKARTA,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,021/90/1981,29-08-1981,1096/1.851.36,08-06-2015,Lihat SK Operasional,2015-06-11 13,A,"19,200",1. Telkom Astinet,2. Lainnya (Serat Optik),PLN,3919868,3142929,emailsman68@gmail.com,http,-6.197900000000,106.850900000000,51,384,499,24,Sehari Penuh/5 hari,,2022/2023-2,"185,000",24,5,1,10,39,6,0,6,20,0,23,8,31,20,0,44,7,6,2,2,8,7,10,16,25,26,24,0,0,0,1,0,0,0,SMA 2013 IPS,Telkom Astinet,8,8,8,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Pusat,Senen,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E4B8EF4E-86E6-4DA4-8C8E-4BDA27DBE7C1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20108498,SMAS ADVENT 1 JAKARTA,20108498,JL. KRAMAT PULO NO. 16,KRAMAT,KEC. SENEN,KOTA JAKARTA PUSAT,PROV. D.K.I. JAKARTA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Perguruan Advent 1 Jakarta,AD1592,947/SMAA/XI/84,06-07-1985,SP.415/101.1A/I.85,06-07-1985,Silakan Upload SK (link file tidak valid) => [776294-281036--],2023-02-13 13,A,"1,800",1. -,2. Biznet (Serat Optik),PLN,0213920280,0213155371,smaadvent1@yahoo.com,http,-6.179200000000,106.843800000000,16,89,80,7,Sehari Penuh/5 hari,,2022/2023-2,"53,000",15,5,1,2,0,0,17,2,16,0,0,0,6,10,0,13,3,5,2,0,2,0,2,5,4,12,0,15,0,0,0,1,0,0,SMA 2013 IPS,Tidak Ada,2,3,2,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Pusat,Senen,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/06F3AF0F-4CF0-4E26-8993-ABCFC9215E36,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20100175,SMAS ADVENT SALEMBA,20100175,JL. SALEMBA RAYA NO. 47,PASEBAN,KEC. SENEN,KOTA JAKARTA PUSAT,PROV. D.K.I. JAKARTA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Perguruan Advent Salemba Gereja Masehi Advent Hari Ketujuh Salemba,AD1629,452/101-1.A1/I/90,19-03-1990,625/-1.851.68,30-01-2014,Lihat SK Operasional,2015-09-09 13,A,"1,017",1. Telkom Speedy,2. Biznet (Serat Optik),PLN,31505232,3150116,smaadventsalemba@gmail.com,http,-6.196900000000,106.851500000000,20,94,89,7,Sehari Penuh/5 hari,,2022/2023-2,"104,985",8,4,1,2,0,0,21,4,20,0,0,0,7,13,1,19,0,3,4,2,2,1,2,6,10,10,0,8,0,0,0,1,0,0,SMA 2013 IPS,Telkom Speedy,3,2,2,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Pusat,Senen,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D2555AA9-666C-46DB-A7FE-F92D9BA5B969,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20100489,SMAS FRANSISKUS 1 JAKARTA,20100489,JL. KRAMAT RAYA NO. 67,KRAMAT,KEC. SENEN,KOTA JAKARTA PUSAT,PROV. D.K.I. JAKARTA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN SANTO FRANSISKUS,AD1591,34,18-09-1965,5281/-1.851.68,10-04-2014,Lihat SK Operasional,2020-03-18 09,A,224,1. Linknet,2. Linknet,PLN,3907157,3909254,sma1_st.fransiskus@yahoo.co.id,http,-6.187900000000,106.846200000000,18,41,43,6,Sehari Penuh/5 hari,,2022/2023-2,900,6,4,1,2,0,0,12,8,15,1,2,0,6,12,1,15,2,7,1,2,1,1,2,4,4,14,6,0,0,0,0,1,0,0,SMA 2013 IPS,Linknet,2,2,2,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Pusat,Senen,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/139E4728-752C-4286-B1AF-67256AB059AF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20100195,SMAS MUHAMMADIYAH 1 JAKARTA,20100195,JL. KRAMAT RAYA NO. 49,KRAMAT,KEC. SENEN,KOTA JAKARTA PUSAT,PROV. D.K.I. JAKARTA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. D.K.I. Jakarta,AO5348,SP..019/I01.1A/I,11-11-1983,0001/IO/SMA/I/2016,26-01-2016,Silakan Upload SK (link file tidak valid) => [597263-916330--],2022-03-07 22,A,"3,320",1. -,2. Telkom Speedy,PLN,3101338,3101338,dosq1jakarta@gmail.com,,-6.188000000000,106.846100000000,25,266,223,16,Sehari Penuh/5 hari,,2022/2023-2,"45,000",16,2,1,4,0,0,15,11,25,0,0,0,9,16,0,23,2,8,3,1,3,3,6,1,10,15,16,0,0,0,1,0,0,0,SMA 2013 Bhs&Budaya,Tidak Ada,6,5,5,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Pusat,Senen,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C06E6B96-CDAE-4872-9A98-F7B99ED7E5A2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20100183,SMAS MUHAMMADIYAH 16 JAKARTA,20100183,JL. KALIBARU BARAT NO. 52D,BUNGUR,KEC. SENEN,KOTA JAKARTA PUSAT,PROV. D.K.I. JAKARTA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. D.K.I. Jakarta,AO5348,SP.527/101.1A/I.86,10-02-1986,9941/-1-851.68,25-11-2013,Lihat SK Operasional,2020-08-24 19,B,0,1. -,2. Telkom Speedy,PLN,,4202952,sma.muhammadiyah16@gmail.com,smamuh16jkt.sch.id,-6.169900000000,106.846500000000,16,83,80,6,Pagi/6 hari,,2022/2023-2,"24,000",11,1,1,2,1,0,14,2,15,0,1,0,5,11,0,15,1,4,2,1,4,1,0,4,8,8,11,0,0,0,1,0,0,0,SMA 2013 IPS,Tidak Ada,2,2,2,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Pusat,Senen,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4DEA8856-67E0-42D0-A221-745907369C39,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20100490,SMAS PSKD 1 JAKARTA,20100490,JL. DIPONEGORO NO. 80,KENARI,KEC. SENEN,KOTA JAKARTA PUSAT,PROV. D.K.I. JAKARTA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan PSKD,AA0084,SP.240/I01.1A/I,10-03-1984,7869/-1.851.68,17-07-2014,Lihat SK Operasional,2020-08-26 12,A,"60,845",1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,,0213904418,tatausaha@sma1pskd.com,http,-6.180300000000,106.840100000000,20,50,61,8,Sehari Penuh/5 hari,,2022/2023-2,"33,000",11,5,1,2,0,0,6,16,20,0,0,0,1,19,0,17,3,10,7,1,0,1,1,0,7,13,11,0,0,0,1,0,0,0,SMA 2013 MIPA,Lainnya (Serat Optik),2,3,3,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Pusat,Senen,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6DD04A1F-C311-4D0D-9BBA-0F5E1C9F4FC3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20100483,SMAS PSKD 3 JAKARTA,20100483,JL. KWINI I NO. 1,SENEN,KEC. SENEN,KOTA JAKARTA PUSAT,PROV. D.K.I. JAKARTA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Perkumpulan Sekolah Kristen Djakarta (PSKD),AD1619,1142 /104-4/4-1980,05-09-1980,7498/-1.581.68,16-09-2013,Lihat SK Operasional,2020-08-24 19,B,"10,000",1. -,2. Biznet (Serat Optik),PLN,3805731,3456193,kasek_smapskd3@yahoo.com,http,-6.180600000000,106.838400000000,14,34,22,6,Sehari Penuh/5 hari,,2022/2023-2,"15,000",6,3,1,2,0,0,14,3,14,0,0,0,6,8,0,13,1,3,3,0,0,1,1,6,5,9,4,2,0,0,0,1,0,0,SMA 2013 MIPA,Tidak Ada,2,2,2,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Pusat,Senen,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7AE5C636-518D-4451-96CA-3043D7BFAB75,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20100166,SMKN 34 JAKARTA,20100166,JL. KRAMAT RAYA NO. 93,PASEBAN,KEC. SENEN,KOTA JAKARTA PUSAT,PROV. D.K.I. JAKARTA,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0189,,,,Silakan Upload SK,,A,"3,018",1. XL (Serat Optik),2. Telkom Astinet,PLN,0213927963,0213909035,smknjakarta34@gmail.com,http,-6.190400000000,106.847700000000,48,486,103,20,Sehari Penuh/5 hari,,2022/2023-2,"82,500",29,0,3,2,24,14,0,10,32,0,9,7,33,15,0,42,6,8,5,8,9,6,3,9,30,18,16,13,0,0,0,3,0,0,SMK 2013 REV. Teknik Kendaraan Ringan Otomotif,XL (Serat Optik),6,7,7,0,,,,,,,,,,
