prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Nusa Tenggara Timur,Kab. Malaka,Malaka Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6A423BA5-A9F5-4C1D-BFA8-43DE442415AC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69971535,SM AGAMA KATOLIK SANTA MARIA FATIMA BETUN,69971535,Desa Wehali Rt 001/ Rw 001,WEHALI,KEC. MALAKA TENGAH,KAB. MALAKA,PROV. NUSA TENGGARA TIMUR,SWASTA,SMAg.K,Kementerian Agama,YAYASAN PENDIDIKAN KATOLIK LIURAI MALAKA,AO4489,1904 TAHUN 2017,02-08-2017,1904 TAHUN 2017,02-08-2017,Lihat SK Operasional,2018-01-04 14,C,"8,500",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,smakstamariafatima.betun@gmail.com,http,-9.574200000000,124.902900000000,21,47,117,8,SMA Bimas Katolik - IPS,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"1,200",6,0,0,2,0,0,22,1,21,0,0,0,0,21,1,20,0,11,5,4,1,0,0,0,9,12,0,4,2,0,0,0,0,0,,,,
Nusa Tenggara Timur,Kab. Malaka,Malaka Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/07A779CE-9669-42C2-8A0B-528369DBD460,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69919910,SMA NEGERI HALIOAN,69919910,HALIOAN,BARENE,KEC. MALAKA TENGAH,KAB. MALAKA,PROV. NUSA TENGGARA TIMUR,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,43/HK/2015,25-04-2015,43/HK/2015,25-04-2015,Lihat SK Operasional,2015-11-18 15,C,"6,000",1. Telkomsel Flash,2. Telkomsel Flash,PLN,0,,smanegerihalioan@gmail.com,http,-9.603500000000,124.806900000000,17,45,51,6,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"1,300",3,0,0,2,2,4,0,11,16,0,1,0,1,16,0,15,2,4,6,2,3,2,0,0,2,15,0,3,0,3,0,0,0,0,2,2,2,
Nusa Tenggara Timur,Kab. Malaka,Malaka Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8F08AD15-B913-488B-87E0-70AC5F43A5B9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50309319,SMA NEGERI HAREKAKAE,50309319,JL. Jurusan Translok Harekakae,HAREKAKAE,KEC. MALAKA TENGAH,KAB. MALAKA,PROV. NUSA TENGGARA TIMUR,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,127/HR/2007,29-05-2007,127/HR/2007,29-05-2007,Silakan Upload SK,,B,"19,380",1. Lainnya,2. Telkomsel Flash,PLN,0,,smanharekakae2021@gmail.com,,-9.559474000000,124.924082000000,79,357,573,30,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,Lainnya,"5,000",30,2,1,8,23,13,0,43,59,1,18,1,17,62,1,67,11,13,22,15,15,8,4,2,30,49,19,11,0,0,1,0,0,0,10,11,9,
Nusa Tenggara Timur,Kab. Malaka,Malaka Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7396EAFD-C2EA-4247-B3C8-8E4DD80FD529,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69969786,SMA PLUS ST. ALBERTUS AGUNG WELEUN,69969786,JALAN JURUSAN BETUN - BESIKAMA,BAKIRUK,KEC. MALAKA TENGAH,KAB. MALAKA,PROV. NUSA TENGGARA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pendidikan St. Albertus Agung,AO4476,001/YPSTAAM/I/2017,09-01-2017,848/313/Pend/2017,18-10-2017,Lihat SK Operasional,2017-11-16 23,B,"30,916",1. Telkomsel Flash,2. Lainnya (Wavelan),PLN,,,smapstalbertusagungmalakantt@gmail.com,,-9.586900000000,124.885600000000,21,134,190,12,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"2,200",7,0,0,0,2,0,21,2,18,1,1,1,3,18,0,18,3,5,8,5,0,0,2,1,7,14,0,0,7,3,0,0,0,0,3,5,4,
Nusa Tenggara Timur,Kab. Malaka,Malaka Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B790C647-C6E3-4FB3-8118-FED6AB0F9C86,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69979990,SMA SWASTA BUDI MULIA BAKIRUK,69979990,JLN. UMASUKAER-BENENAI,BAKIRUK,KEC. MALAKA TENGAH,KAB. MALAKA,PROV. NUSA TENGGARA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Rodivas Malaka,AO4487,848/82/Pend/2018,26-06-2018,848/82/Pend/2018,26-06-2018,Lihat SK Operasional,2018-09-05 21,C,"4,300",1. -,2. -,PLN,,,smasbudimuliabakiruk2018@gmail.com,,-9.585500000000,124.882200000000,16,82,42,6,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,6,0,0,0,0,0,10,7,16,0,0,0,1,15,1,11,4,7,7,1,0,0,0,1,4,12,0,2,4,0,0,0,0,0,2,2,2,
Nusa Tenggara Timur,Kab. Malaka,Malaka Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DAC35F8E-C3A7-48A7-862C-C0B104E96AE5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69862587,SMAN BOLAN,69862587,DEBURAIMUTIK,FAHILUKA,KEC. MALAKA TENGAH,KAB. MALAKA,PROV. NUSA TENGGARA TIMUR,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,08-01-2014,06/HK/2014,08-01-2014,Lihat SK Operasional,2015-04-15 10,B,"4,089",1. -,2. Telkomsel Flash,PLN,0,,smanbolan2016@gmail.com,http,-9.600105000000,124.953408000000,31,100,158,10,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,Tidak Ada,"3,500",7,0,1,1,15,5,0,11,20,0,11,0,5,26,0,27,4,5,10,9,1,2,1,3,9,22,5,2,0,0,0,0,1,0,3,3,4,
Nusa Tenggara Timur,Kab. Malaka,Malaka Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B2C9F6C3-98A3-47D1-94DC-D09143744F03,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50309383,SMAS BINA MANDIRI SUKABI,50309383,Jl. Susteran Wedik-Desa Kamanasa,KAMANASA,KEC. MALAKA TENGAH,KAB. MALAKA,PROV. NUSA TENGGARA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Diannanda Malaka,AO4479,04/YDM.BF-97.00.03/VII/2010,17-07-2010,PPO.421/1553/VII/2012,16-07-2012,Lihat SK Operasional,2022-01-02 18,C,"3,750",1. -,2. Telkomsel Flash,PLN,,,smasbm8@gmail.com,http,-9.550600000000,124.919900000000,52,227,211,14,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,300",15,0,1,1,0,0,43,14,52,0,0,0,1,51,0,41,11,27,15,8,2,0,0,0,12,40,0,15,0,0,0,1,0,0,4,5,5,
Nusa Tenggara Timur,Kab. Malaka,Malaka Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/293127D1-3D72-49AD-AAF6-56AFA3013344,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50309590,SMAS SINAR PANCASILA BETUN,50309590,Jln. Bakateu No.09 Betun,WEHALI,KEC. MALAKA TENGAH,KAB. MALAKA,PROV. NUSA TENGGARA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan MARLILU,AO4480,KSR.022.4/116/79,01-11-1979,KSR.022.4/116/79,01-11-1979,Lihat SK Operasional,2016-04-08 10,Sertifikat Kedaluwarsa,"3,240",1. Telkomsel Flash,2. Telkom Speedy,PLN,0,,smassinarpancasilabetun@gmail.com,http,-9.567200000000,124.907400000000,28,183,273,14,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"3,600",19,1,1,4,0,0,23,10,27,0,1,0,2,26,2,11,15,9,9,3,2,0,2,3,11,17,13,1,5,0,0,1,0,0,3,4,7,
Nusa Tenggara Timur,Kab. Malaka,Malaka Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3CB24268-0786-42BA-9111-6D3D2199675A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50309591,SMAS ST IGNATIUS FAHILUKA BOLAN,50309591,Jln.Kampung Misi Desa Fahiluka Kec.Malaka Tengah Kab.Malaka,FAHILUKA,KEC. MALAKA TENGAH,KAB. MALAKA,PROV. NUSA TENGGARA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Bler Bolan Baki Besi,AO4499,05/YB4/KP/VI/2008,21-06-2008,PPO.421/1551/VII/2012,16-07-2012,Lihat SK Operasional,2022-04-22 14,Sertifikat Kedaluwarsa,384,1. Telkomsel Flash,2. Lainnya (Satelit),PLN,,,smasfahiluka@gmail.com,http,-9.609700000000,124.954800000000,22,100,105,8,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"1,300",8,1,1,2,0,0,22,1,22,0,0,0,1,21,0,17,5,10,4,6,1,1,0,0,6,16,8,0,0,0,1,0,0,0,2,3,3,
Nusa Tenggara Timur,Kab. Malaka,Malaka Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/460555E3-8CDD-4971-8F83-6B0F1DC64226,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69969545,SMK SANTA GENOVEVA MALAKA,69969545,DESA WEHALI,WEHALI,KEC. MALAKA TENGAH,KAB. MALAKA,PROV. NUSA TENGGARA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,006/YKM-Pd/SMK-G/VII/2015,23-07-2015,421/275/Pend/2017,22-08-2017,Lihat SK Operasional,2017-11-13 14,C,"4,032",1. -,2. -,PLN,,,genovevamalaka@gmail.com,http,-9.570743000000,124.894982000000,11,54,92,6,SMK 2013 REV.  Usaha Perjalanan Wisata,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,200",5,0,0,1,0,0,1,11,11,0,0,0,0,11,0,3,8,8,2,0,0,0,1,0,3,8,3,2,0,0,0,0,0,0,2,2,2,0
