prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,program_/_layanan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_13
Banten,Kota Tangerang Selatan,Pondok Aren,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1BE33580-4449-4491-AE56-8C81736D1622,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70006805,SMA KHALIFA INSAN MADANI SEJAHTERA,70006805,Jl. Tentara Pelajar No. 75 RT 003 RW 001 Kampung Lio,PERIGI,KEC. PONDOK AREN,KOTA TANGERANG SELATAN,PROV. BANTEN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Khalifa Insan Madani Sejahtera Satu,AW8474,1.570/10/OPS/DPMPTSP/X/2020,07-10-2020,1.570/10/OPS/DPMPTSP/X/2020,07-10-2020,Silakan Upload SK (link file tidak valid) => [592871-411194--],2022-02-18 08,,"1,664",1. Lainnya,2. Lainnya,PLN,,,smakhalifaims15@gmail.com,http,-6.264300000000,106.690400000000,12,12,8,3,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Lainnya,"12,000",3,1,0,2,0,0,14,1,12,0,0,0,0,12,0,12,0,8,3,1,0,0,0,0,4,8,1,2,0,3,0,0,0,0,0,0,0,,,,,,,,,,,
Banten,Kota Tangerang Selatan,Pondok Aren,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C00A8C95-980D-4D95-849F-F34312C235FF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20623310,MAS AL IKHWANIYAH,20623310,JL. PANTI ASUHAN KP. CEGER  JURANG MANGU BARAT,JURANG MANGGU BARAT,KEC. PONDOK AREN,KOTA TANGERANG SELATAN,PROV. BANTEN,SWASTA,MA,Kementerian Agama,,,WI/1/HK.008/482/94,09-12-1994,D/W.i/MA/560/94/97,17-06-1997,Lihat SK Operasional,2018-07-28 14,A,0,,2.,,,,,,-6.253200000000,106.728800000000,0,57,60,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kota Tangerang Selatan,Pondok Aren,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/81F9EEC7-A985-46F0-85EF-1257E059444F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20623312,MAS AL-AMANAH AL-GONTORY,20623312,"JL PON-PES AL AMANAH AL GONTORY, PARIGI BARU, PONDOK AREN, TANGERANG SELATAN",PERIGI BARU,KEC. PONDOK AREN,KOTA TANGERANG SELATAN,PROV. BANTEN,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,A,0,,2.,,,,,,-6.261292000000,106.750998000000,0,476,508,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kota Tangerang Selatan,Pondok Aren,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A033BB77-D842-44E1-B1B2-1EB990C3D293,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20623311,MAS DARUSSALAM,20623311,JLN H RASAM RT. 003/02,JURANG MANGGU BARAT,KEC. PONDOK AREN,KOTA TANGERANG SELATAN,PROV. BANTEN,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-6.277939000000,106.730479000000,0,28,18,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kota Tangerang Selatan,Pondok Aren,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2C5B8DF7-A00B-4A50-A71D-715ABE207599,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20623313,MAS JAMIYYAH ISLAMIYYAH,20623313,JL.PESANTREN KP. CEGER RT 003/003,JURANG MANGGU TIMUR,KEC. PONDOK AREN,KOTA TANGERANG SELATAN,PROV. BANTEN,SWASTA,MA,Kementerian Agama,,,W.I/HK.008/375/1989,13-12-1989,KW.28.4/PP.00/7109/2012,27-11-2012,Lihat SK Operasional,2017-04-10 11,A,"1,690",,2.,,,,,,-6.251859300000,106.731575100000,0,144,112,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kota Tangerang Selatan,Pondok Aren,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/51131504-D06D-4A5D-8C2D-5CBC69B8ED36,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69972026,SEKOLAH KHUSUS MULTI COLOUR LEARNING CENTER,69972026,Ruko Bintaro Baru Jalan Jombang Raya No 28-29,PERIGI,KEC. PONDOK AREN,KOTA TANGERANG SELATAN,PROV. BANTEN,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN TRI BINTANG GEMILANG,AX1027,570/50-OPSK-dINDIK/DPMPTSP/XI/2017,30-11-2017,570/16/OPSK/DPMPTSP/XI/2020,12-11-2020,Silakan Upload SK (link file tidak valid) => [413360-637072--],2021-01-25 17,C,0,1. -,2. Telkom Speedy,PLN,,02122213030,mclc.jakarta@gmail.com,http,-6.284612000000,106.713646000000,6,10,1,7,TKLB 2013,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"22,000",4,0,1,0,0,0,7,0,6,0,0,0,0,6,0,6,0,4,1,1,0,0,0,0,3,3,0,0,0,0,4,0,0,0,1,0,0,"TKLB, SDLB,  dan SMPLB",1,1,0,1,1,1,1,0,1,
Banten,Kota Tangerang Selatan,Pondok Aren,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9BB8DFE5-929C-42A7-A277-052EA3E8E7E6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69974066,SEKOLAH KHUSUS SAYAP IBU,69974066,Jl. Raya Graha Bintaro No. 33 B RT. 004 RW.01,PONDOK KACANG BARAT,KEC. PONDOK AREN,KOTA TANGERANG SELATAN,PROV. BANTEN,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,570/49-OPSK.Dindik/DPMPTSP/XI/2017,29-11-2017,570/32/OPSK/DPMPTSP/XII/2020,11-12-2020,Lihat SK Operasional,2021-02-16 18,C,573,1. Lainnya (Serat Optik),2. Telkom Speedy,PLN,7331007,7331004,sekolahkhusus.ysi@gmail.com,,-6.245782000000,106.687208000000,6,11,20,7,Pendidikan Khusus SMALB 2013,Sehari Penuh/5 hari,,2022/2023-2,Lainnya (Serat Optik),"23,000",6,0,0,2,0,0,4,3,6,0,0,0,0,6,1,4,1,0,4,1,0,1,0,0,2,4,0,2,0,6,0,0,0,0,0,0,0,SDLB dan SMLB,1,0,1,0,3,0,0,0,0,
Banten,Kota Tangerang Selatan,Pondok Aren,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80F5E3A1-2E44-E211-ACED-656236A986CD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69727319,SKh Citra Anindya,69727319,Jl. Taman Makam Bahagia  Abri No. 38B Parigi Kec. Pondok Aren  Kota Tangerang,PERIGI BARU,KEC. PONDOK AREN,KOTA TANGERANG SELATAN,PROV. BANTEN,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pelita Hati Bangsa,AJ5175,08 Tgl. 08-11-1999 dan no,16-03-2006,800/494-DISPEND/2008,15-12-2008,Silakan Upload SK (link file tidak valid) => [142597-593116-481499-90215497-428016856.PDF],2016-11-11 18,B,"3,106",1. -,2. Telkom Speedy,PLN,02174867775,02174867774,scitraanindya@gmail.com,http,-6.281900000000,106.701600000000,14,37,13,12,TKLB 2013,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"16,500",10,0,1,7,0,0,22,1,14,0,0,0,1,13,2,11,1,3,3,1,4,2,1,0,4,10,1,1,1,1,7,2,0,0,1,0,0,"TKLB, SDLB, SMPLB,  dan SMLB",1,1,0,2,1,1,1,1,1,
Banten,Kota Tangerang Selatan,Pondok Aren,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/29AB5574-248B-4064-8BED-B63FF7825989,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70011281,SKH MINDSET SCHOOL,70011281,Jl. Pondok Kacang  Prima Gang. Hadi Rt.003 / Rw 005 No.124,PONDOK KACANG TIMUR,KEC. PONDOK AREN,KOTA TANGERANG SELATAN,PROV. BANTEN,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN MUNIS ARRAZIQ PONDOK AREN,AX0727,570/434/OPSK/DPMPTSP/III/2021,12-03-2021,570 / 43/ OPSK /  DPMPTSP /III/ 2021,12-03-2021,Lihat SK Operasional,2021-07-09 10,,0,1. -,2. Lainnya (Wavelan),PLN,,,,,.000000000000,.000000000000,3,6,9,2,Pendidikan Khusus SMPLB 2013,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"2,200",4,0,0,0,0,0,8,0,3,0,0,0,0,3,0,2,1,2,0,0,1,0,0,0,1,2,0,0,0,4,0,0,0,0,0,0,0,SDLB dan SMPLB,0,0,0,1,0,0,0,0,1,
Banten,Kota Tangerang Selatan,Pondok Aren,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A5767149-4EA5-472F-9B61-F8FB9CD774DC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70012340,SKH NEGERI 01 KOTA TANGERANG SELATAN,70012340,Jl.Raya Pondok  Kacang Timur RT 001 RW 003,PONDOK KACANG TIMUR,KEC. PONDOK AREN,KOTA TANGERANG SELATAN,PROV. BANTEN,NEGERI,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,800/149-Dindikbud/2021,19-05-2021,800/149-Dindikbud/2021,19-05-2021,Lihat SK Operasional,2023-01-12 11,,"5,596",1. -,2. Telkomsel Flash,PLN,,,skhn01tangerangselatan@gmail.com,,-6.251700000000,106.688100000000,18,46,21,28,Pendidikan Khusus SMALB 2013,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"2,200",9,0,0,4,15,0,0,3,3,0,12,3,16,2,0,18,0,1,0,2,1,5,4,5,5,13,2,0,0,9,0,0,0,0,0,0,0,"SDLB, SMPLB,  dan SMLB",7,0,6,10,0,0,3,0,0,
