prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_13,program_/_layanan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Jawa Tengah,Kab. Kebumen,Karanganyar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2DDAF94B-A0EF-4F5D-807F-0592A1554B50,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20330282,SMAN 1 KARANGANYAR,20330282,JL. KEMAKMURAN NO. 51 KARANGANYAR,PLARANGAN,KEC. KARANGANYAR,KAB. KEBUMEN,PROV. JAWA TENGAH,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0601/0/1985,22-11-1985,0601/0/1985,22-11-1985,Lihat SK Operasional,2022-09-01 02,A,"10,800",1. Telkom Astinet,2. Telkom Speedy,PLN,551094,551094,smansaka_kbm@yahoo.co.id,http,-7.634723300000,109.580395000000,51,363,664,30,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Telkom Astinet,"80,999",25,4,1,2,31,10,0,10,25,0,13,13,29,22,0,47,4,5,10,4,7,2,7,16,19,32,10,10,10,25,0,0,0,1,0,0,0,,,,,,,,,,,
Jawa Tengah,Kab. Kebumen,Karanganyar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F6C42D71-376D-44D9-B354-B121FECF2934,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20330331,SMKN 1 KARANGANYAR,20330331,JL. REVOLUSI NO. 31 KARANGANYAR,KARANGANYAR,KEC. KARANGANYAR,KAB. KEBUMEN,PROV. JAWA TENGAH,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,106/UKK3/1968,01-01-1900,,01-01-1900,Silakan Upload SK (link file tidak valid) => [568786-10350--],2022-01-14 06,A,"8,957",1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,0287551035,0287551035,smkn1kra@yahoo.co.id,http,-7.634340000000,109.572331700000,73,32,"1,248",36,SMK 2013 REV.  Otomatisasi dan Tata Kelola Perkantoran,Sehari Penuh/5 hari,,2022/2023-2,Lainnya (Serat Optik),"128,000",32,1,1,6,41,18,0,14,39,0,26,8,49,24,0,68,5,8,16,9,8,12,9,11,27,46,12,12,12,32,0,0,0,1,0,0,0,0,,,,,,,,,,
Jawa Tengah,Kab. Kebumen,Karanganyar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A90F1EB8-791C-4CB3-A51C-D4C741A3D30B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20330289,SMKS BINA KARYA 1 KARANGANYAR,20330289,JL. KARTINI 6 KARANGANYAR,KARANGANYAR,KEC. KARANGANYAR,KAB. KEBUMEN,PROV. JAWA TENGAH,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Bina Karya Kebumen,AI3181,13581/503.1.2/Cf.1985,11-08-1985,13581/503.1.2/Cf.1985,11-08-1985,Lihat SK Operasional,2015-08-11 13,B,"1,728",1. Smartfren,2. Telkom Speedy,PLN,,0287551160,binakaryasatu@yahoo.com,http,-7.628521700000,109.574561700000,46,774,83,31,SMK 2013 REV. Teknik Pemesinan,Double Shift/6 hari,,2022/2023-2,Smartfren,"64,000",29,1,1,2,0,0,36,16,46,0,0,0,23,23,3,40,3,11,8,10,5,4,5,3,30,16,10,10,11,29,0,0,0,1,0,0,0,0,,,,,,,,,,
Jawa Tengah,Kab. Kebumen,Karanganyar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6470A9EC-A24A-459B-BA46-F8C1F55EE879,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20330290,SMKS BINA KARYA 2 KARANGANYAR,20330290,Jl. Revolusi No. 471 Karanganyar,PANJATAN,KEC. KARANGANYAR,KAB. KEBUMEN,PROV. JAWA TENGAH,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Bina Karya Kebumen,AI3181,386/103/I/1995,02-03-1995,386/103/I/1995,02-03-1995,Lihat SK Operasional,2020-09-08 07,B,"5,440",1. -,2. Telkom Speedy,PLN,,0287551583,smkbk2kebumen@yahoo.co.id,http,-7.626410000000,109.563275000000,30,291,14,15,SMK 2013 REV. Teknik Kendaraan Ringan Otomotif,Double Shift/6 hari,,2022/2023-2,Tidak Ada,"35,000",20,1,1,2,0,0,33,6,30,0,0,0,20,10,0,24,6,2,4,4,7,8,3,2,21,9,5,5,5,15,5,0,0,0,1,0,0,0,,,,,,,,,,
Jawa Tengah,Kab. Kebumen,Karanganyar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EF3D9E6C-10AC-48E3-9FCF-D969F0702F24,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20360658,SMKS FARMASI BHAKTI HUSADA KARANGANYAR,20360658,"Jalan Raya Timur Km 2,5 Karanganyar, Kebumen",CANDI,KEC. KARANGANYAR,KAB. KEBUMEN,PROV. JAWA TENGAH,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN SATRIA HUSADA PURWOKERTO,AD8317,421.9/1138/,22-03-2010,421.9/1138,22-03-2010,Lihat SK Operasional,2021-08-27 09,C,"1,475",1. Telkomsel Flash,2. Telkom Speedy,PLN,,0287551966,smkfbhaktihusada@gmail.co.id,https,-7.645300000000,109.581600000000,17,63,280,10,SMK 2013 REV. Farmasi Klinis dan Komunitas,Double Shift/6 hari,,2022/2023-2,Telkomsel Flash,"11,000",5,0,1,4,0,0,24,0,17,0,0,0,4,13,1,15,1,1,6,5,0,0,2,3,5,12,4,4,2,4,1,0,0,1,0,0,0,0,,,,,,,,,,
Jawa Tengah,Kab. Kebumen,Karanganyar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3878EF3A-2572-4B81-B0F6-7A5163E45DB3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20330293,SMKS KOMPUTER KARANGANYAR,20330293,JL. REVOLUSI NO.42 JATILUHUR KARANGANYAR,JATILUHUR,KEC. KARANGANYAR,KAB. KEBUMEN,PROV. JAWA TENGAH,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan NURYASIN AL ANWAR INDONESIA,AW9710,421/1208/2004,03-05-2004,421/1208/2004,03-05-2004,Lihat SK Operasional,2022-06-06 15,B,0,1. -,2. Lainnya (Serat Optik),PLN,,551736,smk_komputer04@yahoo.com,http,-7.638455000000,109.575358300000,8,33,24,3,SMK 2013 REV. Teknik Komputer dan Jaringan,Pagi/6 hari,,2022/2023-2,Tidak Ada,"13,200",9,1,1,8,0,0,10,1,8,0,0,0,4,4,0,8,0,1,2,2,2,1,0,0,4,4,1,1,1,9,0,0,0,1,0,0,0,0,,,,,,,,,,
Jawa Tengah,Kab. Kebumen,Karanganyar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C1B2B442-9EB8-4101-B950-8ECA52D19D7A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20330314,SMKS PELITA KARANGANYAR KEBUMEN,20330314,JL. MASJID NO. 09 KARANGANYAR,KARANGANYAR,KEC. KARANGANYAR,KAB. KEBUMEN,PROV. JAWA TENGAH,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan LEMBAGA PENDIDIKAN PELITA,AI3164,394/103/1/1993,26-02-1993,394/103/1/93,26-02-1993,Lihat SK Operasional,2015-08-29 05,Tidak Terakreditasi,"5,078",,2.,,0287551349,0287551311,wachidandadan@yahoo.com,http,-7.629738300000,109.572825000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,
Jawa Tengah,Kab. Kebumen,Karanganyar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/69DFB4DA-4C72-4BC1-B1E8-4852FB9A3C5E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20330322,SMKS TAMANSISWA KARANGANYAR,20330322,Jl.Perlawanan No.01 Karanganyar,KARANGANYAR,KEC. KARANGANYAR,KAB. KEBUMEN,PROV. JAWA TENGAH,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Persatuan Perguruan Tamansiswa Cabang Karanganyar,AI3176,420/310,02-02-2003,421.5/1086,13-04-2003,Lihat SK Operasional,2015-08-06 08,B,"5,120",1. -,2. Telkom Speedy,PLN,,0287551756,tamansiswa_s@yahoo.com,,-7.629300000000,109.575300000000,12,64,25,6,SMK 2013 REV. Teknik Kendaraan Ringan Otomotif,Pagi/6 hari,,2022/2023-2,Tidak Ada,"15,300",9,0,1,2,0,0,11,2,12,0,0,0,8,4,1,10,1,0,3,2,6,0,0,1,5,7,2,2,2,2,2,5,0,0,0,1,0,0,,,,,,,,,,
Jawa Tengah,Kab. Kebumen,Karanganyar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/19E626E9-0A97-4123-B7C3-CE4414994E97,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20330324,SMKS TAMTAMA KARANGANYAR,20330324,JLN. KEMAKMURAN NO. 39 KARANGANYAR KEBUMEN,PLARANGAN,KEC. KARANGANYAR,KAB. KEBUMEN,PROV. JAWA TENGAH,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan pendidikan Tamtama,AN0731,05/YPT/IA/KM/1972,30-12-1985,209/77/EA,03-02-1977,Lihat SK Operasional,2015-09-02 11,A,"8,446",1. Telkom Speedy,2. Telkom Astinet,PLN & Diesel,0287551703,0287551080,ypttamtamaka@yahoo.co.id,http,-7.634136700000,109.577385000000,48,419,740,35,SMK 2013 REV.  Akuntansi dan Keuangan Lembaga,Double Shift/6 hari,,2022/2023-2,Telkom Speedy,"105,800",33,1,1,16,0,0,56,8,48,0,0,0,35,13,2,45,1,7,7,4,6,4,5,15,27,21,14,11,10,33,0,0,0,1,0,0,0,0,,,,,,,,,,
Jawa Tengah,Kab. Kebumen,Karanganyar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/304D2320-A4FC-E111-AA5C-7FE978DCC205,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69761865,SPKH NEGERI KARANGANYAR,69761865,"Karanganyar, Kebumen",PLARANGAN,KEC. KARANGANYAR,KAB. KEBUMEN,PROV. JAWA TENGAH,NEGERI,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,421.8/71/2012,10-07-2012,421.8/71/2012,10-07-2012,Lihat SK Operasional,2017-03-17 09,B,"8,664",1. -,2. Telkom Speedy,PLN,,02876655106,SPKhN_Karanganyar@yahoo.com,,-7.631296700000,109.578793300000,15,60,39,24,Pendidikan Khusus SMALB 2013,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"7,700",9,0,0,5,2,9,0,4,13,0,2,0,8,7,0,12,3,7,5,0,0,0,2,1,4,11,1,2,0,2,2,5,0,0,0,0,0,,"SDLB, SMPLB,  dan SMLB",3,1,2,2,2,2,3,3,3
