prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur
Jawa Timur,Kota Malang,Kedungkandang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A46E10BE-464D-4E44-8B57-5DFD5558484A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016284,Akademi Kebidanan Brawijaya Husada,70016284,"Jl. Manisa No, 18B Kedungkandang - Malang",KEDUNGKANDANG,KEC. KEDUNGKANDANG,KOTA MALANG,PROV. JAWA TIMUR,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,112DO2009,03-08-2009,,,Silakan Upload SK,,,0 m2,1.,2.,,0341-754216,0341-754216,cs.abeha@gmail.com,http,,
Jawa Timur,Kota Malang,Kedungkandang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/790214DC-8F44-4DCB-99DF-F152E32D7A56,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016481,Akademi Kebidanan Wijaya Kusuma Malang,70016481,JL. LETJEN S. PARMAN NO.26-A MALANG,LESANPURO,KEC. KEDUNGKANDANG,KOTA MALANG,PROV. JAWA TIMUR,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,22,31-01-2007,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,
Jawa Timur,Kota Malang,Kedungkandang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E340B442-4494-4F11-80CD-5929A0E7B1BF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016791,Akademi Pariwisata Ardjuna Malang,70016791,,KEC. KEDUNGKANDANG,KOTA MALANG,PROV. JAWA TIMUR,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,,,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,
Jawa Timur,Kota Malang,Kedungkandang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FBF5AF7A-A63C-42B8-AA1A-06E73BDCE0D7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016795,Akademi Pariwisata Dan Perhotelan Ganesha,70016795,"Jalan Teluk Mandar Tomol Pos 5, Arjosari -  Malang",MERGOSONO,KEC. KEDUNGKANDANG,KOTA MALANG,PROV. JAWA TIMUR,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,03DO2005,17-01-2005,,,Silakan Upload SK,,,0 m2,1.,2.,,0341-0000,0341-0000,info@apartel-ganesha.ac.id,http,-7.934657400000,112.614157500000
Jawa Timur,Kota Malang,Kedungkandang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2C70E281-9907-45CC-80D6-3CB47ACA86A1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017981,Institut Agama Islam (IAI) Al-Qolam,70017981,,KEC. KEDUNGKANDANG,KOTA MALANG,PROV. JAWA TIMUR,INDONESIA,SWASTA,Institut,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,Nomor,05-11-2014,,,Silakan Upload SK,,,5.484 m2,1.,2.,,0341-878661,0341-878661,info@alqolam.ac.id,http,-8.152586100000,112.643052800000
Jawa Timur,Kota Malang,Kedungkandang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6027895E-5172-4230-9B9C-BF5AC9E61F2A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018213,Institut Teknologi dan Bisnis Asia Malang,70018213,,KEC. KEDUNGKANDANG,KOTA MALANG,PROV. JAWA TIMUR,INDONESIA,SWASTA,Institut,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,744/KPT/I/2019,23-08-2019,,,Silakan Upload SK,,,3.921 m2,1.,2.,,(0341)-4345225,(0341)-478877,asia@asia.ac.id,asia.ac.id,-7.937797400000,112.626621700000
Jawa Timur,Kota Malang,Kedungkandang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1E4A36D8-D50C-4397-B761-BA2744EF50D0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018290,"Institut Teknologi, Sains, dan Kesehatan RS.DR. Soepraoen Kesdam V/BRW",70018290,,KEC. KEDUNGKANDANG,KOTA MALANG,PROV. JAWA TIMUR,INDONESIA,SWASTA,Institut,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,593/M/2020,24-06-2020,,,Silakan Upload SK,,,11.453 m2,1.,2.,,,0341 351275,informasi@itsk-soepraoen.ac.id,https,-7.988239900000,112.620143700000
Jawa Timur,Kota Malang,Kedungkandang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CCA6DDBF-1585-4A7B-B356-3174995B85EF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019151,Politeknik Kesehatan Wira Husada Nusantara Malang,70019151,,KEC. KEDUNGKANDANG,KOTA MALANG,PROV. JAWA TIMUR,INDONESIA,SWASTA,Politeknik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,029/D/OT/2021,22-02-2021,,,Silakan Upload SK,,,0 m2,1.,2.,,0341-558873,0341-558873,poltekes@whn.ac.id,whn.ac.id,,
Jawa Timur,Kota Malang,Kedungkandang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6FC36677-3F5A-4517-B0D0-A7CDC00FCBB9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019158,Politeknik Kota Malang,70019158,Jl. Raya Tlogowaru No. 3 Kecamatan Kedungkandang Kota MalangJawa Timur,ARJOWINANGUN,KEC. KEDUNGKANDANG,KOTA MALANG,PROV. JAWA TIMUR,SWASTA,Politeknik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,104D02008,12-06-2008,,,Silakan Upload SK,,,0 m2,1.,2.,,0341-754088,0341-754088,info@poltekom.ac.id,www.poltekom.ac.id,-8.033600600000,112.648862400000
Jawa Timur,Kota Malang,Kedungkandang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D0A21AB7-1CB0-422C-94E8-6FEF59855E8C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20541615,Politeknik Unisma Malang,20541615,Jalan MT Haryono 193,KOTALAMA,KEC. KEDUNGKANDANG,KOTA MALANG,PROV. JAWA TIMUR,SWASTA,Politeknik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,19D02002,28-01-2002,,,Silakan Upload SK,,,110.000 m2,1.,2.,,0341-574137,0341-574137,admin@polisma.ac.id,www.polisma.ac.id,-7.936351400000,112.606327800000
