prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
D.K.I. Jakarta,Kota Jakarta Pusat,Tanah Abang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6E1062C3-588D-4BAD-87BE-440F655FF07D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20107712,Akademi Akuntansi Artawiyata Indo-lpi,20107712,Jalan Tengku Cik Ditiro No 9,BENDUNGAN HILIR,KEC. TANAH ABANG,KOTA JAKARTA PUSAT,PROV. D.K.I. JAKARTA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,291DIKTIKEP1992,22-06-1992,,,Silakan Upload SK,,,0 m2,1.,2.,,,85024100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Pusat,Tanah Abang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/006C0333-F899-47C4-A289-07A2DF9DBF82,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016119,Akademi Akuntansi YAI Jakarta,70016119,Jl. P. Diponegoro No 74 Jakarta Pusat,KEC. TANAH ABANG,KOTA JAKARTA PUSAT,PROV. D.K.I. JAKARTA,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,032801990,01-05-1990,,,Silakan Upload SK,,,0 m2,1.,2.,,3914591,3928075,webmail@yai.ac.id,www.yai.ac.id,-6.196592900000,106.849172100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Pusat,Tanah Abang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/82FB1454-0686-4086-9C56-D8D1528F9B3D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016146,Akademi Bahasa Asing BSI Jakarta,70016146,Jalan Salemba Tengah N0 45,KARET TENGSIN,KEC. TANAH ABANG,KOTA JAKARTA PUSAT,PROV. D.K.I. JAKARTA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,266/D/O/2002,30-12-2002,,,Silakan Upload SK,,,0 m2,1.,2.,,021-3908739,021-3100041,aba.jakarta@bsi.ac.id,www.bsi.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Pusat,Tanah Abang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D1412D51-8986-4869-B5E8-83C29B7910DE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20107716,Akademi Bahasa Asing Saint Mary,20107716,Jalan AM Sangaji No 6,KAMPUNG BALI,KEC. TANAH ABANG,KOTA JAKARTA PUSAT,PROV. D.K.I. JAKARTA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,143,23-06-2004,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Pusat,Tanah Abang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/74D0B16B-A30F-4CCF-ACF6-EACAFA161FAB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20107717,Akademi Farmasi Hang Tuah Jakarta,20107717,Jakarta,PETAMBURAN,KEC. TANAH ABANG,KOTA JAKARTA PUSAT,PROV. D.K.I. JAKARTA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,HK.00.0.6.1.1.2508,03-04-2008,,,Silakan Upload SK,,,0 m2,1.,2.,,021 5732438,021 5732438,farmasi@akfar.ac.id,www.akfar.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Pusat,Tanah Abang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/41F571F2-2663-47D7-96C4-4179A445FC30,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016285,Akademi Kebidanan Budi Kemuliaan,70016285,,KEC. TANAH ABANG,KOTA JAKARTA PUSAT,PROV. D.K.I. JAKARTA,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,156/D/O/2010,01-11-2010,,,Silakan Upload SK,,,0 m2,1.,2.,,021. 3450804,021. 384828,akbidbk2gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Pusat,Tanah Abang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DD2BE998-124A-4DF3-8AAE-D3E13360536A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016343,Akademi Kebidanan Jakarta Mitra Sejahtera,70016343,Gedung Triguna Lt-IV Jl Hang Lekir III No 17,GELORA,KEC. TANAH ABANG,KOTA JAKARTA PUSAT,PROV. D.K.I. JAKARTA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,173DO2007,07-09-2007,,,Silakan Upload SK,,,0 m2,1.,2.,,021-7266007,021-7266113,akbid_jms@yahoo.co.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Pusat,Tanah Abang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0FF937F2-EFF1-4677-88C2-A69E383850D5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016440,Akademi Kebidanan RSPAD Gatot Soebroto,70016440,Jl. Dr. Abdul Rahman Saleh No. 24 Jakarta Pusat,KEC. TANAH ABANG,KOTA JAKARTA PUSAT,PROV. D.K.I. JAKARTA,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,05/D/O/2011,07-01-2011,,,Silakan Upload SK,,,0 m2,1.,2.,,021-3454373,021-3441008 / 2241,baak@akbidrspad.ac.id,www.akbidrspad.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Pusat,Tanah Abang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AA76E13A-9A53-47C9-90A3-6275F9EA28C6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20107728,Akademi Keperawatan Hang Tuah Jakarta,20107728,KOMPLEKS RSAL DR. MINTOHARDJOJL. BENDUNGAN HILIR NO. 17,KEBON KACANG,KEC. TANAH ABANG,KOTA JAKARTA PUSAT,PROV. D.K.I. JAKARTA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,2551DT2008,11-08-2008,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Pusat,Tanah Abang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/874C370C-F257-4666-8CE5-837D97F5B1FA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016634,Akademi Keperawatan RS Husada,70016634,Jl. Mangga Besar Raya no. 137 - 139Jakarta Pusat,GELORA,KEC. TANAH ABANG,KOTA JAKARTA PUSAT,PROV. D.K.I. JAKARTA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,108KEPDIKNAKESV1989,25-09-1989,,,Silakan Upload SK,,,0 m2,1.,2.,,02162305434,0216259984,akper_rs_husada_89@yahoo.com,www.akperhusada.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
