prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B3885550-7F4D-4077-94B1-CED3C9243A4C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016928,Al al-Bayt University,70016928,"Al-Mafraq, Jordan",AULANI,KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,NEGERI,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,5299/Dikti/Kep/IJLN201,07-11-2014,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/76584122-74C4-47F0-BCE1-0CB9236534F2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017037,Asia Pacific Theological Seminary,70017037,"444 Ambuklao Rd, Baguio, Benguet, Philippines",AULANI,KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,NEGERI,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,75 Tahun 2021,03-02-2021,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F8F001E1-1687-4250-9A5D-39B3AD7B124E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017038,Asia Pacific Theological Seminary - The Phillippines,70017038,"444 Ambuklao Rd., Baguio, 2600, Philippines",AULANI,KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,SWASTA,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,75 Tahun 2021,03-02-2021,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/94D061AF-B320-4D9E-AB53-FF282CBCBB66,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017039,Asia Pacific University of Technology and Innovation,70017039,"Jalan Teknologi 5, Taman Teknologi Malaysia, 57000 Kuala Lumpur, Wilayah Perseku",AULANI,KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,NEGERI,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,1725/Belmawa/Kep/IJLN/2020,20-07-2020,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C623D2F7-7EB0-40D7-A9C3-681DB29B8D28,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017094,Bastyr University,70017094,"14500 Juanita Dr NE, Kenmore, WA 98028, United States",KERENA,KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,SWASTA,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,2701/Belmawa/Kep/IJLN/2016,22-11-2016,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4BB66461-C9DA-4489-8434-DCA86267CD09,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017101,Beijing International Studies University,70017101,"China, Beijing, Chaoyang,",KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,INDONESIA,SWASTA,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,3475/BELMAWA/KEP/IJLN/2018,01-10-2018,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8C600F36-AE1F-49FC-8BFA-320B02DBA28F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017188,Cadi Ayyad University,70017188,"Marrakesh, Morocco",MARLO,KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,SWASTA,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,Nomor 6419 Tahun 2019,12-11-2019,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4615E092-0A68-47DE-9A8B-8BCB66C671CC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017238,Cedarville College,70017238,"251 N Main St, Cedarville, OH 45314, United States",MARLO,KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,SWASTA,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,0793/Belmawa/Kep/IJLN/2020,18-06-2020,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E356DA51-A890-4DD0-8E53-F051626FA8DE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017245,Central European University,70017245,"Budapest, Nador u. 9, 1051 Hungary",DUNDU,KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,NEGERI,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,3672/Belmawa/Kep/IKLN/2019,06-11-2019,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8C1B4D79-06F0-4FF8-B7BE-D57E7AA6FA49,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017262,Centre Sevres,70017262,"35 Bis Rue de Sèvres, 75006 Paris, France",KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,INDONESIA,NEGERI,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,3698/BELMAWA/KEP/IJLN/2017,04-10-2017,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C03ED0FB-EE9B-4771-B9DA-7E4C3FB9CF9D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017300,China University Of Geosciences,70017300,"388 Lumo Rd, Hongshan, Wuhan, Hubei, China",KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,INDONESIA,NEGERI,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,2271/Belmawa/Kep/IJLN/2021,16-07-2021,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4970FACD-E75D-4746-9FAB-4CEB87A89E64,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017303,Chinese Academy of Agricultural Sciences,70017303,,KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,INDONESIA,NEGERI,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,2824/Belmawa/Kep/IJLN/2021,29-08-2021,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D1F8BEEE-F367-4CD3-8FD3-8A885000A761,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017359,Colegio de San Jose,70017359,,KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,3/58/D2/2000,14-08-2000,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6F37E720-E924-44A7-8D2A-18CBA3016DA2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017363,College Of Foreign Language Kokusai Kotoba Gakuin,70017363,"3-2-28 Yahata, Suruga-ku, Shizuoka-shi, Shizuoka 422-8076",PURUGI,KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,SWASTA,Institut,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,2656/Belmawa/Kep/IJLN/2021,11-08-2021,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3EBD3460-66D0-4553-AFC5-BD5E513E79B8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017372,Collegium Humanum Warsaw Management University,70017372,"Stanislawa Moniuszki 1A, 00-014 Warszawa, Poland",AULANI,KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,SWASTA,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,0773/Belmawa/Kep/IJLN/2021,28-02-2021,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/30ED0451-BCC5-4A88-A50E-09E310F3A476,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017463,Discipleship Training Centre,70017463,33A Chancery Lane Singapore,MARLO,KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,0840/Belmawa/Kep/IJLN/2019,05-03-2019,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BAD00D79-ECAE-4960-BE9C-E4F8E069F515,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017495,Earlham College,70017495,"801 National Rd W, Richmond, IN 47374, United States",MARLO,KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,SWASTA,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,4649/Dikti/Kep/IJLN/2014,23-09-2014,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7EF51593-F419-4C8E-96B5-8A85B776A4E0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017547,Ecole Pratique Des Hautes Etudes,70017547,"Les Patios Saint-Jacques, 4-14 Rue Ferrus, 75014 Paris, France",LAWOR,KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,SWASTA,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,1764/Belmawa/Kep/IJLN/2019,12-06-2019,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/45E994C5-216D-4396-BF8C-A149A070C433,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017563,Emir Abdelkader University,70017563,"Rue Filali, Constantine, Algeria",AULANI,KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,NEGERI,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,DPIY/SK-195/S-2/X/2006,06-10-2006,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4C19EB1D-61C2-4B44-AE2E-FFD480C3FFC4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017593,Fachhochschule Biberach,70017593,"Karlstraße 9-11, 88400 Biberach an der Riß, Germany",KERENA,KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,NEGERI,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,0950/Kep.Dikti/IJLN/2008,24-06-2008,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2A3BF677-F41C-42B4-A6D5-94D5F5B1900F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017598,Fachhochschule Coburg,70017598,"Friedrich-Streib-Straße 2, 96450 Coburg, Germany",KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,INDONESIA,SWASTA,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,5621/BELMAWA/KEP/IJLN/2016,06-12-2016,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3B70E9CD-34CA-412F-A467-9973DED44218,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017657,Folkwang Universität der Künste,70017657,"Klemensborn 39, 45239 Essen, Germany",KERENA,KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,NEGERI,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,0688/Belmawa/Kep/IJLN/2020,16-03-2020,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40D396A5-5AF3-42DD-9167-978F1CF85971,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017707,Global University,70017707,"Patrakyieh, Bayrut, Lebanon",PURUGI,KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,SWASTA,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,0844/Belmawa/Kep/IJLN/2019,05-03-2019,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EA252DDD-E7EE-4B6A-9C48-EA2FA485957A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017714,Goldey–Beacom College,70017714,"4701 Limestone Rd, Wilmington, DE 19808, United States",KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,INDONESIA,NEGERI,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,433/Dikti/Kep/IJLN/2020,08-03-2011,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/109F25C8-4132-49FE-8DB7-8FAB202ED686,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017722,Graduate School Of Chinese Academy Of Agricultural Sciences,70017722,,KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,INDONESIA,NEGERI,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,2824/Belmawa/Kep/IJLN/2021,29-08-2021,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FACFB6CC-C759-41BE-B093-E06D15269303,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017791,Heilongjiang University,70017791,"74 Xuefu Rd, Nangang, Harbin, Heilongjiang",KERENA,KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,NEGERI,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,4888/BELMAWA/KEP/IJLN/2017,19-12-2017,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/85EE908A-E732-4C23-A247-9233606D143B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017833,Hogeschool der Kunsten Den Haag,70017833,,KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,INDONESIA,NEGERI,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,1400/Belmawa/Kep/IJLN/2020,23-07-2020,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
