prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
Jawa Tengah,Kab. Pati,Pucakwangi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3C6CBF55-3CEB-4C36-A6B5-182DB477C8E2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70003163,KB AL-IKHLAS,70003163,Desa Jetak,JETAK,KEC. PUCAKWANGI,KAB. PATI,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,23/17/07/2017,17-07-2017,421.1/8672,16-06-2020,Lihat SK Operasional,2020-07-30 07,,378,1. -,2. -,PLN,,,,,-6.830806700000,111.220721600000,1,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,0,2,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0
Jawa Tengah,Kab. Pati,Pucakwangi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/08443F3F-CB75-4180-9CEF-38E4475759B6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69893128,KB AN NUR,69893128,DESA PUCAKWANGI,PUCAKWANGI,KEC. PUCAKWANGI,KAB. PATI,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan KB AN NUR,AI3817,,01-01-1900,421.9/4226,03-07-2014,Lihat SK Operasional,2015-04-12 13,,300,1. Lainnya,2. Lainnya (Wavelan),PLN,,,kbannur72@gmail.com,,-6.832000000000,111.180400000000,4,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Lainnya,450,2,0,0,0,0,0,3,1,4,0,0,0,0,4,0,2,2,2,1,0,1,0,0,0,0,4,0,2,0,0,0,0,0,0
Jawa Tengah,Kab. Pati,Pucakwangi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4FDB14B8-1D94-42AE-8CD7-3F9EC83E14CB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69893130,KB ANGGREK,69893130,DESA PELEMGEDE RT 08/02,PELEMGEDE,KEC. PUCAKWANGI,KAB. PATI,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",yayasan Bina Anak Rahayu,AI3837,,01-01-1900,421.9/01307,04-03-2015,Lihat SK Operasional,2015-04-12 13,,0,1. Lainnya,2. Lainnya,PLN,,,anggrekkb@gmail.com,,-6.828629000000,111.179945000000,1,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Lainnya,450,1,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
Jawa Tengah,Kab. Pati,Pucakwangi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6D470E3B-7008-4FB1-AE86-F827F988DC4C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69893134,KB BELIA,69893134,DESA LUMBUNGMAS RT 08/02,LUMBUNGMAS,KEC. PUCAKWANGI,KAB. PATI,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,421.1 / 03260,27-04-2017,420.9/7998,25-07-2014,Silakan Upload SK (link file tidak valid) => [513209-328347--],2021-09-07 03,B,200,1. Telkomsel Flash,2. Lainnya (Wavelan),PLN,,,kbbelia45@gmail.com,,-6.885300000000,111.818500000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,450,1,0,0,2,0,0,3,0,2,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Jawa Tengah,Kab. Pati,Pucakwangi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BC26CD90-C518-4350-820D-95433D4E9D0A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70000653,KB BQ AL HIKMAH,70000653,Sukopuluhan,SOKOPULUHAN,KEC. PUCAKWANGI,KAB. PATI,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,002/YPHL/VII/2017,10-07-2017,421.1/16978,29-11-2019,Lihat SK Operasional,2020-03-02 10,,960,1. Telkomsel Flash,2. Telkom Speedy,PLN,,,bqalhikah@gmail.com,,-6.902508000000,111.177870500000,4,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"1,300",0,0,0,2,0,0,4,1,4,0,0,0,0,4,0,2,2,2,2,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0
Jawa Tengah,Kab. Pati,Pucakwangi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/43524D72-B8FB-4978-8392-34C9692185F7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69964890,KB BQ NETRAL,69964890,Dk. Puluhan Rt. 03 Rw. 05,SOKOPULUHAN,KEC. PUCAKWANGI,KAB. PATI,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan HADZA MIN FADLLI RABBI,AI3845,016/2015,16-08-2016,421.1/03254,27-04-2017,Lihat SK Operasional,2021-09-11 08,,690,1. Telkom Astinet,2. Lainnya (Wavelan),PLN,,,kbbqnetral@gmail.com,,-6.839475900000,111.169933600000,3,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Telkom Astinet,"4,400",2,0,0,2,0,0,3,1,3,0,0,0,0,3,0,0,3,1,0,2,0,0,0,0,0,3,0,2,0,0,0,0,0,0
Jawa Tengah,Kab. Pati,Pucakwangi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D2ADE050-F13E-449C-8B15-472682314E7F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69845276,KB CAHAYA UMAT,69845276,DS. KARANGWOTAN,KARANGWOTAN,KEC. PUCAKWANGI,KAB. PATI,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AI3833,13 Juli 2009,13-07-2009,421.1/03255,27-04-2017,Lihat SK Operasional,2018-04-18 11,B,510,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,ch.umat@yahoo.co.id,,-6.842435000000,111.116320000000,3,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,450,4,0,1,1,0,0,0,3,3,0,0,0,0,3,0,0,3,1,0,0,2,0,0,0,0,3,4,0,0,0,1,0,0,0
Jawa Tengah,Kab. Pati,Pucakwangi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F0501634-6847-4996-90C0-8A0284D136C3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69894115,KB CERIA AL IKHLAS,69894115,DESA PLOSOREJO,PLOSOREJO,KEC. PUCAKWANGI,KAB. PATI,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AI3825,,01-01-1900,421.9/8353,06-10-2014,Lihat SK Operasional,2015-05-04 09,,875,,2.,,,,kb.ceriaalikhlas@gmail.com,,-6.825809400000,111.147847000000,2,0,0,0,2013,,,2022/2023-2,,,0,0,0,0,0,0,3,0,2,0,0,0,0,2,0,0,2,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0
Jawa Tengah,Kab. Pati,Pucakwangi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/76B5F0C1-1F03-4D4F-97D6-06BD9EB93B4C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69893155,KB INSAN CERIA,69893155,DESA TRIGUNO,TRIGUNO,KEC. PUCAKWANGI,KAB. PATI,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan al istiqomah,AI3838,421.9/04572,02-01-2012,421.9/7999,25-09-2014,Lihat SK Operasional,2022-01-27 10,,"30,000",1. -,2. 3 (Tri),PLN,,,devirizkimaulitasari18@gmail.com,,-5.443757000000,114.421127000000,1,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,450,2,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Jawa Tengah,Kab. Pati,Pucakwangi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/31555635-814F-401E-A3E4-E95D88FC5E9D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69893164,KB MATHALI UL FALAH,69893164,jl.soko winong km.03,KARANGREJO,KEC. PUCAKWANGI,KAB. PATI,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Mutiara Hati karangrejo,AI3840,421.9/02765,17-03-2016,421.9/02765,17-03-2016,Lihat SK Operasional,2016-08-31 08,,300,1. Smartfren,2. Telkomsel Flash,PLN,0,,kbmathaliulfalah@gmail.com,http,-6.804100000000,111.134300000000,1,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Smartfren,450,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0
