prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur
Sumatera Selatan,Kab. Muara Enim,Kelekar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4E7C6CAF-8BD3-4D9E-ABF5-EF53FED09199,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69952100,KB AL-MUTAKIN,69952100,DESA TANJUNG MEDANG KEC. KELEKAR,TANJUNG MEDANG,KEC. KELEKAR,KAB. MUARA ENIM,PROV. SUMATERA SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,155,16-05-2015,420/154.a/IV/DIKBUD/2016,08-06-2016,Lihat SK Operasional,2016-10-12 14,,400 m2,1.,2.,,,,almutakinp@yahoo.com,,3.272000000000,104.526000000000
Sumatera Selatan,Kab. Muara Enim,Kelekar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/754E23C9-915A-4E5D-8E93-0D917DA74C2E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69832953,KB ARAFAH,69832953,JALAN AMD MANUNGGAL IV,TELUK JAYA,KEC. KELEKAR,KAB. MUARA ENIM,PROV. SUMATERA SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan KB ARAFAH,AJ0112,118,16-12-2011,420/4423/DISDIKBUD-2/2020,04-02-2020,Lihat SK Operasional,2023-01-27 13,C,495 m2,1. -,2. Telkomsel Flash,PLN,,,paudarfteija@gmail.com,,.000000000000,.000000000000
Sumatera Selatan,Kab. Muara Enim,Kelekar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E8D85B70-5098-4806-9310-E0CDCE5F64AE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69909527,KB BUNDA,69909527,DESA MENANTI SELATAN,MENANTI SELATAN,KEC. KELEKAR,KAB. MUARA ENIM,PROV. SUMATERA SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan KB BUNDA,AJ0109,022,15-07-2013,420/198/dikbud/2014,23-10-2014,Lihat SK Operasional,2015-10-15 12,,200 m2,1. -,2. -,PLN,,,paudbunda123oke@gmail.com,,.000000000000,.000000000000
Sumatera Selatan,Kab. Muara Enim,Kelekar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C40FDF49-49DB-4681-84D7-FC2ABA44DA96,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69832955,KB CENDRAWASIH,69832955,DESA PELEMPANG,PELEMPANG,KEC. KELEKAR,KAB. MUARA ENIM,PROV. SUMATERA SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,01,03-06-2014,420/142/IV/DIKBUD/2016,08-06-2016,Lihat SK Operasional,2016-10-31 09,,223 m2,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,kbpaudcendrawasih951@gmail.com,,.000000000000,.000000000000
Sumatera Selatan,Kab. Muara Enim,Kelekar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6701795E-BBB2-4C1D-8F6B-9322A4621E0D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69832952,KB HASANAH,69832952,JL AMD MANUNGGAL IV,EMBACANG KELEKAR,KEC. KELEKAR,KAB. MUARA ENIM,PROV. SUMATERA SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,65,22-11-2021,420/2473/DISDIKBUD-2/2020,08-07-2020,Lihat SK Operasional,2023-02-06 08,Belum Terakreditasi,750 m2,1. -,2. Axis,PLN,,,kb_hasanah@yahoo.com,,-3.280597000000,104.424867000000
Sumatera Selatan,Kab. Muara Enim,Kelekar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/25813BC1-9DEB-48F1-A7EB-A8085084B8FB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69832954,KB MELATI,69832954,MANUNGGAL DESA MENANTI,MENANTI,KEC. KELEKAR,KAB. MUARA ENIM,PROV. SUMATERA SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan KB MELATI,AJ0116,06,01-07-2011,420/200/IV/Dikbud/2014,23-10-2014,Lihat SK Operasional,2016-06-07 12,,192 m2,1.,2.,,,,mul0405@gomail.com,,.000000000000,.000000000000
Sumatera Selatan,Kab. Muara Enim,Kelekar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9E78EC05-63E5-40F1-B78E-9553F647A32E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69832951,KB. AL-FAQI,69832951,EMBACANG KELAKAR DUSUN III,EMBACANG KELEKAR,KEC. KELEKAR,KAB. MUARA ENIM,PROV. SUMATERA SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AJ0110,420/001/PAUD-AF/2013,23-08-2013,420/39/IV/Dikbud/2016,02-02-2016,Lihat SK Operasional,2016-05-31 13,Belum Terakreditasi,264 m2,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,Sumarnifiqi2019@gmail.com,,-3.337526000000,104.475861000000
Sumatera Selatan,Kab. Muara Enim,Kelekar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/633E2BAD-3C8D-42CA-ABC9-32E09B46E5BC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70024907,RA AL- HIDAYAH,70024907,jl. rimbo dusun III Desa Pelempang Kecamatan Kelekar Kabupaten Muara Enim,PELEMPANG,KEC. KELEKAR,KAB. MUARA ENIM,PROV. SUMATERA SELATAN,SWASTA,RA,Kementerian Agama,,,,,530 TAHUN 2021,16-06-2021,Silakan Upload SK (link file tidak valid) => [189263-737489-https,2022-01-21 18,,200 m2,1.,2.,,,,,,.000000000000,.000000000000
Sumatera Selatan,Kab. Muara Enim,Kelekar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/69E09B87-5ED7-4AD0-B2BB-249A5DF42C64,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70026096,RA DARUSSALAM,70026096,Dusun 1,MENANTI,KEC. KELEKAR,KAB. MUARA ENIM,PROV. SUMATERA SELATAN,SWASTA,RA,Kementerian Agama,,,,,439 TAHUN 2021,17-05-2021,Silakan Upload SK (link file tidak valid) => [196334-298362-https,2022-02-21 12,,529 m2,1.,2.,,,,,,.000000000000,.000000000000
Sumatera Selatan,Kab. Muara Enim,Kelekar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/231970EC-1FB1-4ED1-A00D-A12CCA274E30,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70008993,RA TARBIYAH ISLAMIYAH TELUK JAYA,70008993,DS. TELUK JAYA,TELUK JAYA,KEC. KELEKAR,KAB. MUARA ENIM,PROV. SUMATERA SELATAN,SWASTA,RA,Kementerian Agama,,,1991 tahun 2020,28-04-2020,1991 tahun 2020,28-04-2020,Lihat SK Operasional,2021-03-18 08,,5 m2,1.,2.,,,,,,.000000000000,.000000000000
