prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,akses_internet_sekolah_kita
Maluku,Kab. Maluku Tenggara,Kei Kecil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8E140AA5-5CEF-4452-92AD-AB1919C8BB0B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69775964,AL AZIMA,69775964,PEL.MOTOR WATDEK,KEL. OHOIJANG WATDEK,KEC. KEI KECIL,KAB. MALUKU TENGGARA,PROV. MALUKU,SWASTA,SPS,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AC6615,,,421.9/04/2011,,Silakan Upload SK,,,0,,2.,,,,Nabilabisir48@gmail.com,,.000000000000,.000000000000,0,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Maluku,Kab. Maluku Tenggara,Kei Kecil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0F757C83-46B6-4FF3-A60F-73C684FD2D40,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69781603,AL IQRA,69781603,JALAN JEND. SUDIRMAN WATDEK,KEL. OHOIJANG WATDEK,KEC. KEI KECIL,KAB. MALUKU TENGGARA,PROV. MALUKU,SWASTA,SPS,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,,,421.9/04/2012,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Maluku,Kab. Maluku Tenggara,Kei Kecil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/867FC53A-8A02-41DC-A322-CACCA6E8B523,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69775834,FIDTEUW NALAK,69775834,DARMO,LETMAN,KEC. KEI KECIL,KAB. MALUKU TENGGARA,PROV. MALUKU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan PKBM FIDTEUW NALAK,AC6585,,,421.7/056/2007,,Silakan Upload SK,,C,200,1. -,2. -,PLN,,,fidteuwnalakpaud@gmail.com,,.000000000000,.000000000000,5,0,0,0,2013,Pagi/6 hari,,2022/2023-2,0,2,0,0,1,1,0,1,3,4,0,1,0,0,5,2,2,1,0,3,0,1,0,1,0,0,5,2,0,0,0,0,0,0,0,Tidak Ada
Maluku,Kab. Maluku Tenggara,Kei Kecil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/50533CC7-14AB-4B85-8169-C76E8E9B66EE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69775958,KASIH FATIMA,69775958,SATHEAN ISLAM,SATHEAN,KEC. KEI KECIL,KAB. MALUKU TENGGARA,PROV. MALUKU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan KASIH MANDIRI,AM4814,,01-01-1900,421.9/16/2022,03-01-2022,Silakan Upload SK (link file tidak valid) => [734103-551723--],2022-11-11 14,B,"1,200",1. -,2. Telkomsel Flash,PLN,,,,,.000000000000,.000000000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,450,2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,2,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,Tidak Ada
Maluku,Kab. Maluku Tenggara,Kei Kecil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B02416FE-860D-4295-A184-7FC822732D2C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69775941,KASIH KARUNIA,69775941,PELITA - OHOIBUN BARAT,KEL. OHOIJANG WATDEK,KEC. KEI KECIL,KAB. MALUKU TENGGARA,PROV. MALUKU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan VICTORY,AC6603,,,421.9/100/2010,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Maluku,Kab. Maluku Tenggara,Kei Kecil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1934B248-03FB-4C21-B6F4-84BBC1E0CA8D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69784499,KASIH ROSARIO,69784499,NGABUB,NGABUB,KEC. KEI KECIL,KAB. MALUKU TENGGARA,PROV. MALUKU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Kasih Mandiri Ambon,AM4729,,,421.9/08/2012,,Silakan Upload SK,,C,320,,2.,,,,,,.000000000000,.000000000000,3,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,1,2,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,
Maluku,Kab. Maluku Tenggara,Kei Kecil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/37CDC38D-A74B-41E6-802D-5D2758322831,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69784498,KB DHARAS,69784498,JL. TENGIRI PERUMNAS OHOIJANG,KEL. OHOIJANG WATDEK,KEC. KEI KECIL,KAB. MALUKU TENGGARA,PROV. MALUKU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AC6588,,,421.9/28/2012,,Silakan Upload SK,,C,0,,2.,,,,,,.000000000000,.000000000000,3,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,3,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,
Maluku,Kab. Maluku Tenggara,Kei Kecil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/342A69EA-A835-4871-801F-BE9B1BC71CB7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69775827,KB FANGNANAN,69775827,SOEKARNO HATTA OHOIJANG,KEL. OHOIJANG WATDEK,KEC. KEI KECIL,KAB. MALUKU TENGGARA,PROV. MALUKU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AC6596,,,421.9/124/2009,,Silakan Upload SK,,C,180,,2.,,,,,,.000000000000,.000000000000,1,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
Maluku,Kab. Maluku Tenggara,Kei Kecil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2FD60AC9-C030-4B75-A451-CF7E701CD6D6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70011762,KB HARAPAN,70011762,Jalan Sakuda RT.002 RW.004 PERUMNAS,KEL. OHOIJANG WATDEK,KEC. KEI KECIL,KAB. MALUKU TENGGARA,PROV. MALUKU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PENDIDIKAN ADLU SYAKUR,AF7976,24/SK-YS.YPAS/VI/2021,07-07-2021,07/PAUD/DPMPTSP/VIII/2021,07-07-2021,Lihat SK Operasional,2022-09-15 15,,0,1. -,2. Lainnya (Serat Optik),PLN,0,,kbharapanpaud@gmail.com,http,-5.649100000000,132.732500000000,3,0,0,0,2013,Sehari Penuh/5 hari,,2022/2023-2,"1,300",2,0,0,0,0,0,3,1,3,0,0,0,0,3,0,3,0,2,0,1,0,0,0,0,1,2,0,2,0,0,0,0,0,0,Tidak Ada
Maluku,Kab. Maluku Tenggara,Kei Kecil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8377D692-30CE-4C91-B6BA-CC7BA61D7567,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70034209,KB LOBLESAT,70034209,Ohoijang,KEL. OHOIJANG WATDEK,KEC. KEI KECIL,KAB. MALUKU TENGGARA,PROV. MALUKU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,503/03/PAUD/DPMPTSP/VIII/2022,29-08-2022,503/03/PAUD/DPMPTSP/VIII/2022,29-08-2022,Lihat SK Operasional,2022-10-10 14,,0,1. -,2. -,PLN,,,paudloblesat@gmail.com,,-5.650000000000,132.741400000000,3,0,0,0,2013,Pagi/6 hari,,2022/2023-2,900,3,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,3,0,0,1,1,0,0,1,0,3,1,2,0,0,0,0,0,0,Tidak Ada
