prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,akses_internet_sekolah_kita
Jawa Tengah,Kab. Wonosobo,Watumalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9F82EC3B-4EF5-4666-A2C8-1F4B89EFD429,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69897943,Bangkit Nusantara Kuripan,69897943,Desa Kuripan Kecamatan Watumalang,KURIPAN,KEC. WATUMALANG,KAB. WONOSOBO,PROV. JAWA TENGAH,SWASTA,RA,Kementerian Agama,Lainnya,,Kd.11.07/4/PP.00/1542.a/2013,31-12-2013,kd.11.07/4/PP.00/1542/2013,31-12-2013,Lihat SK Operasional,2017-03-23 14,,0,,2.,,,,,,-7.348300000000,109.861700000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Jawa Tengah,Kab. Wonosobo,Watumalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/88F8EAB9-D0AC-4A8B-9AB0-BA244D26F19F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69938884,KB BANGKIT NUSANTARA,69938884,Jl. Raya Kuripan manggis Km 1,KURIPAN,KEC. WATUMALANG,KAB. WONOSOBO,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN BANGKIT NUSANTARA,AL4800,421/3124/2015,23-11-2015,421/3124/2015,23-11-2015,Lihat SK Operasional,2021-05-29 12,,110,1. Telkomsel Flash,2. Telkom Speedy,PLN,,,kbbangkitnusantara@gmail.com,,-7.347800000000,109.860200000000,1,0,0,0,Pagi/6 hari,,2022/2023-2,450,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2013,Telkomsel Flash
Jawa Tengah,Kab. Wonosobo,Watumalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A441F4F6-7C45-4B70-B813-44113DF9DCFB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69847535,KB PAUD ASRI,69847535,PACARMULYO,GONDANG,KEC. WATUMALANG,KAB. WONOSOBO,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan PKBM PROSPEK,AL4798,421/2120/2017,12-04-2017,421/2120/2017,12-04-2017,Lihat SK Operasional,2021-05-30 08,,180,1. Telkomsel Flash,2. Telkom Speedy,PLN,,,paudasri.prospek@gmail.com,,-7.363233000000,109.883513000000,2,0,0,0,Pagi/6 hari,,2022/2023-2,900,1,0,1,2,0,0,1,1,2,0,0,0,0,2,0,1,1,1,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,2013,Telkomsel Flash
Jawa Tengah,Kab. Wonosobo,Watumalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C6DA887D-A905-47A7-828D-CC3A7AC7B25D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69847533,KB PENDAWA,69847533,TEMANGGUNG,KURIPAN,KEC. WATUMALANG,KAB. WONOSOBO,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421/0209C3/2016,03-02-2016,421/0209C3/2016,03-02-2016,Silakan Upload SK (link file tidak valid) => [596445-270238--],2023-02-13 08,,0,1. -,2. Telkom Speedy,PLN,,,kbpendawa@gmail.com,,-7.299723000000,109.846128300000,1,0,0,0,Pagi/6 hari,,2022/2023-2,451,1,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2013,Tidak Ada
Jawa Tengah,Kab. Wonosobo,Watumalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AC463957-ED04-484D-99B6-43B71F219906,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69847537,KB PRATAMA,69847537,GEDANGSARI,WONOKAMPIR,KEC. WATUMALANG,KAB. WONOSOBO,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421/2055/2016,01-09-2016,421/2055/2016,01-09-2016,Lihat SK Operasional,2023-02-13 08,,60,1. Indosat IM3,2. Telkomsel Flash,PLN,,,kbpratama84@gmail.com,,-7.267529900000,109.848949300000,2,0,0,0,Pagi/6 hari,,2022/2023-2,450,1,0,0,1,0,0,0,2,2,0,0,0,0,2,0,1,1,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,2013,Indosat IM3
Jawa Tengah,Kab. Wonosobo,Watumalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5660F738-F825-491B-9A6B-FEDCCE03B3FB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69847536,KB. LATANSA,69847536,BUMIROSO,BUMIROSO,KEC. WATUMALANG,KAB. WONOSOBO,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,420/6/IV/2012,01-10-2012,421/889/2012,02-04-2012,Lihat SK Operasional,2023-02-13 08,,0,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,kblatansabumiroso01@gmail.com,,-7.341210400000,109.812554200000,3,0,0,0,Sehari Penuh/6 hari,,2022/2023-2,450,1,0,0,1,0,0,3,0,3,0,0,0,0,3,0,0,3,0,0,0,0,2,0,1,0,3,1,0,0,0,0,0,0,0,2013,Telkomsel Flash
Jawa Tengah,Kab. Wonosobo,Watumalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2992F99B-0A4E-490C-80D9-B2009891F61D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69847538,KELOMPOK BERMAIN DAHLIA,69847538,WONOKAMPIR 07 RW 03,WONOKAMPIR,KEC. WATUMALANG,KAB. WONOSOBO,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421/003/A/2012,04-01-2012,421 /003 / A / 2012,24-12-2016,Lihat SK Operasional,2023-02-13 08,,0,1. Telkomsel Flash,2. Telkom Speedy,PLN,,,kbdahliawonokampir123@gmail.com,,-7.334075100000,109.811381100000,1,0,0,0,Pagi/6 hari,,2022/2023-2,450,2,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2013,Telkomsel Flash
Jawa Tengah,Kab. Wonosobo,Watumalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/69E64B8F-60B1-476C-B93B-71661DFF9A1F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69913871,PAUD MANDIRI JAYA,69913871,"Dsn. Petir RT 07/RW 03, Ds. Limbangan, Kec. Watumalang, Kab. Wonosobo",LIMBANGAN,KEC. WATUMALANG,KAB. WONOSOBO,PROV. JAWA TENGAH,SWASTA,SPS,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AL4799,421/3876.d/2014,02-12-2014,421/0001.3/2018,02-01-2018,Lihat SK Operasional,2021-05-30 09,,0,1. -,2. Lainnya (Serat Optik),PLN,,,ppmandirijaya123@gmail.com,,-7.344600000000,109.877100000000,2,0,0,0,Pagi/6 hari,,2022/2023-2,450,1,0,0,1,0,0,0,2,2,0,0,0,0,2,0,0,2,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2013,Tidak Ada
Jawa Tengah,Kab. Wonosobo,Watumalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/280AF093-61F8-4ABE-856F-7A2D349945FD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69847684,POS PAUD ARJUNA,69847684,Jalan sindu maya,KRINJING,KEC. WATUMALANG,KAB. WONOSOBO,PROV. JAWA TENGAH,SWASTA,SPS,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,AL4781,421.1/0120/2009,12-10-2009,421/0209C/2016,30-08-2013,Lihat SK Operasional,2023-02-05 21,,0,1. Telkomsel Flash,2. Telkom Speedy,PLN,,,paudarjuna001@gmail.com,,-7.326524100000,109.826193300000,1,0,0,0,Pagi/6 hari,,2022/2023-2,450,2,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,2013,Telkomsel Flash
Jawa Tengah,Kab. Wonosobo,Watumalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B4DE18A7-34CD-4057-BFCD-9AC017B7898B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69847681,POS PAUD BINA TRIWAN,69847681,WATUMALANG,WATUMALANG,KEC. WATUMALANG,KAB. WONOSOBO,PROV. JAWA TENGAH,SWASTA,SPS,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421/3012/2016,22-12-2016,421/3012/2016,22-12-2016,Lihat SK Operasional,2023-04-08 22,,0,1. Lainnya,2. Telkomsel Flash,PLN,,,ppbinatriwanwatumalang@gmail.com,,-7.295641600000,109.866044800000,2,0,0,0,Pagi/6 hari,,2022/2023-2,450,2,0,0,0,0,0,1,1,2,0,0,0,0,2,0,1,1,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2013,Lainnya
