prov,kode_prov,kab,kode_kab,kec,kode_kec
Prov. Jawa Timur,050000  ,Kota Surabaya,056000  ,Kec. Tambaksari,056020  
Prov. Jawa Timur,050000  ,Kota Surabaya,056000  ,Kec. Wonokromo,056011  
Prov. Jawa Timur,050000  ,Kota Surabaya,056000  ,Kec. Sawahan,056017  
Prov. Jawa Timur,050000  ,Kota Surabaya,056000  ,Kec. Gubeng,056010  
Prov. Jawa Timur,050000  ,Kota Surabaya,056000  ,Kec. Sukolilo,056008  
Prov. Jawa Timur,050000  ,Kota Surabaya,056000  ,Kec. Semampir,056023  
Prov. Jawa Timur,050000  ,Kota Surabaya,056000  ,Kec. Rungkut,056007  
Prov. Jawa Timur,050000  ,Kota Surabaya,056000  ,Kec. Sukomanunggal,056016  
Prov. Jawa Timur,050000  ,Kota Surabaya,056000  ,Kec. Krembangan,056026  
Prov. Jawa Timur,050000  ,Kota Surabaya,056000  ,Kec. Mulyorejo,056009  
Prov. Jawa Timur,050000  ,Kota Surabaya,056000  ,Kec. Tandes,056015  
Prov. Jawa Timur,050000  ,Kota Surabaya,056000  ,Kec. Kenjeran,056021  
Prov. Jawa Timur,050000  ,Kota Surabaya,056000  ,Kec. Simokerto,056022  
Prov. Jawa Timur,050000  ,Kota Surabaya,056000  ,Kec. Bubutan,056025  
Prov. Jawa Timur,050000  ,Kota Surabaya,056000  ,Kec. Genteng,056019  
Prov. Jawa Timur,050000  ,Kota Surabaya,056000  ,Kec. Lakarsantri,056014  
Prov. Jawa Timur,050000  ,Kota Surabaya,056000  ,Kec. Wiyung,056013  
Prov. Jawa Timur,050000  ,Kota Surabaya,056000  ,Kec. Tegal Sari,056018  
Prov. Jawa Timur,050000  ,Kota Surabaya,056000  ,Kec. Sambi Kerep,056031  
Prov. Jawa Timur,050000  ,Kota Surabaya,056000  ,Kec. Pakal,056030  
Prov. Jawa Timur,050000  ,Kota Surabaya,056000  ,Kec. Dukuh Pakis,056012  
Prov. Jawa Timur,050000  ,Kota Surabaya,056000  ,Kec. Benowo,056028  
Prov. Jawa Timur,050000  ,Kota Surabaya,056000  ,Kec. Wonocolo,056004  
Prov. Jawa Timur,050000  ,Kota Surabaya,056000  ,Kec. Karang Pilang,056001  
